PrimaryKey,Korea,English,Japanese,Chinese,German,Spanish,Portuguese,French,Italian,Dutch,Russian,Hungarian,Greek,Turkish,Vietnamese,Malay,Indonesian
1930428427,계약 보상,Contract compensation,契約報酬,合同补偿,Vertragsentschädigung,Compensación por contrato,Compensação do contrato,Compensation contractuelle,Compensazione del contratto,Contractcompensatie,Компенсация контракта,Szerződéses kompenzáció,Αποζημίωση,Sözleşme tazminatı,Bồi thường hợp đồng,Pampasan kontrak,Kompensasi kontrak
1930428428,상점,Shop,店,店铺,Geschäft,Comercio,Comprar,Boutique,Negozio,Winkel,Магазин,Üzlet,Κατάστημα,Mağaza,Cửa hàng,Kedai,Toko
1930428429,상점 ( 클랜 ),Shop ( Clan ),ショップ（一族）,商店（家族）,Shop (Clan),Tienda (clan),Loja (clã),Boutique (clan),Negozio (clan),Winkel (clan),Магазин (клан),Üzlet (klán),Κατάστημα (clan),Dükkan (Klan),Cửa hàng (Clan),Kedai (klan),Toko (klan)
1930428430,상점 ( 계약 ),Shop ( Contract ),ショップ（契約）,商店（合同）,Shop (Vertrag),Tienda (contrato),Loja (contrato),Magasin (contrat),Negozio (contratto),Winkel (contract),Магазин (контракт),Üzlet (szerződés),Κατάστημα (σύμβαση),Dükkan (Sözleşme),Cửa hàng (Hợp đồng),Kedai (Kontrak),Toko (Kontrak)
1930428431,미션,Miission Rewards,miissionの報酬,Miission Rewards,Miission Rewards,Recompensas de miission,Miission Rewards,Récompenses mises,Premi di miissione,Miission Rewards,Miission Rewards,Miission jutalom,Ανταμοιβές,Miission Ödülleri,Phần thưởng misisce,Ganjaran miission,Hadiah Miisi
1930428432,미션 ( 방어 ),Mission ( Defence ),ミッション（防衛）,任务（防御）,Mission (Verteidigung),Misión (defensa),Missão (Defesa),Mission (défense),Missione (difesa),Missie (verdediging),Миссия (защита),Misszió (védelem),Αποστολή (άμυνα),Misyon (Savunma),Nhiệm vụ (Quốc phòng),Misi (Pertahanan),Misi (pertahanan)
1930428433,미션 ( 모험 ),Mission ( Adventure ),ミッション（冒険）,任务（冒险）,Mission (Abenteuer),Misión (aventura),Missão (aventura),Mission (aventure),Missione (avventura),Missie (avontuur),Миссия (приключение),Misszió (kaland),Αποστολή (περιπέτεια),Misyon (Macera),Nhiệm vụ (phiêu lưu),Misi (pengembaraan),Misi (petualangan)
1930428434,미션 ( 작전 ),Mission ( Operation ),ミッション（操作）,任务（操作）,Mission (Operation),Misión (operación),Missão (operação),Mission (opération),Missione (operazione),Missie (operatie),Миссия (операция),Misszió (művelet),Αποστολή (λειτουργία),Görev (operasyon),Nhiệm vụ (Hoạt động),Misi (Operasi),Misi (operasi)
1930428435,미션 ( 탐험 ),Mission ( Adventure ),ミッション（冒険）,任务（冒险）,Mission (Abenteuer),Misión (aventura),Missão (aventura),Mission (aventure),Missione (avventura),Missie (avontuur),Миссия (приключение),Misszió (kaland),Αποστολή (περιπέτεια),Misyon (Macera),Nhiệm vụ (phiêu lưu),Misi (pengembaraan),Misi (petualangan)
1930428436,작업장,Workshop,ワークショップ,作坊,Werkstatt,Taller,Oficina,Atelier,Workshop,Workshop,мастерская,Műhely,ΕΡΓΑΣΤΗΡΙ,Atölye,Xưởng,Bengkel,Bengkel
1930428437,배틀 패스,Battle Pass,バトルパス,战斗通行证,Schlachtpass,Pase de batalla,Passe de batalha,Pass de combat,Battle Pass,Battle Pass,Боевой проход,Harci bérlet,Περάσματα μάχης,Savaş kartı,Battle Pass,Pass Battle,Battle Pass
1929379862,,,,,,,,,,,,,,,,,
1931477015,무기 업그레이드 ( 권총 ),Weapon upgrade (pistols),武器のアップグレード（ピストル）,武器升级（手枪）,Waffen -Upgrade (Pistolen),Actualización de armas (pistolas),Atualização de armas (Pistols),Mise à niveau des armes (pistolets),Aggiornamento delle armi (pistole),Wapenupgrade (pistolen),Обновление оружия (пистолеты),Fegyverfrissítés (pisztolyok),Αναβάθμιση όπλων (πιστόλια),Silah yükseltmesi (tabanca),Nâng cấp vũ khí (Súng ngắn),Peningkatan Senjata (Pistols),Peningkatan Senjata (Pistol)
1931477016,무기 업그레이드 ( 기관단총 ),Weapon upgrade (submachine guns),武器のアップグレード（サブマシンガン）,武器升级（冲锋枪）,Waffen -Upgrade (Submachine -Kanonen),Actualización de armas (pistolas de submachín),Upgrade de armas (armas de submetragem),Mise à niveau des armes (mitraillettes),Aggiornamento delle armi (mitragliatrici),Wapenupgrade (machinepistolen),Обновление оружия (Submachine Guns),Fegyverfrissítés (géppisztolyok),Αναβάθμιση όπλων (πυροβόλα όπλα),Silah Yükseltmesi (Subchine Tabancalar),Nâng cấp vũ khí (súng tiểu liên),Peningkatan Senjata (Submachine Guns),Peningkatan Senjata (Senjata Remawi)
1931477017,무기 업그레이드 ( 소총 ),Weapon upgrade (rifles),武器のアップグレード（ライフル）,武器升级（步枪）,Waffen -Upgrade (Gewehre),Actualización de armas (rifles),Atualização de armas (rifles),Mise à niveau des armes (fusils),Aggiornamento delle armi (fucili),Wapenupgrade (geweren),Обновление оружия (винтовки),Fegyverfrissítés (puskák),Αναβάθμιση όπλων (τουφέκια),Silah yükseltmesi (tüfekler),Nâng cấp vũ khí (Súng trường),Peningkatan Senjata (Rifles),Peningkatan Senjata (Senapan)
1931477018,무기 업그레이드 ( 기관총 ),Weapon upgrade (machine guns),武器のアップグレード（機関銃）,武器升级（机枪）,Waffen -Upgrade (Maschinengewehre),Actualización de armas (ametralladoras),Atualização de armas (metralhadoras),Mise à niveau des armes (mitrailleuses),Aggiornamento delle armi (mitragliatrici),Wapenupgrade (machinegeweren),Обновление оружия (пулеметы),Fegyverfrissítés (géppuskák),Αναβάθμιση όπλων (πολυβόλα),Silah yükseltmesi (makineli tüfekler),Nâng cấp vũ khí (súng máy),Peningkatan Senjata (senjata mesin),Peningkatan senjata (senapan mesin)
1931477019,무기 업그레이드 ( 저격총 ),Weapon upgrade (snipers),武器のアップグレード（狙撃兵）,武器升级（狙击手）,Waffen -Upgrade (Scharfschützen),Actualización de armas (francotiradores),Atualização de armas (franco -atiradores),Mise à niveau des armes (tireurs d'élite),Aggiornamento delle armi (cecchini),Wapenupgrade (sluipschutters),Обновление оружия (снайперы),Fegyverfrissítés (orvlövészek),Αναβάθμιση όπλων (ελεύθεροι σκοπευτές),Silah yükseltmesi (keskin nişancılar),Nâng cấp vũ khí (Snipers),Peningkatan Senjata (penembak tepat),Peningkatan senjata (penembak jitu)
1931477020,무기 업그레이드 ( 산탄총 ),Weapon upgrade (shotguns),武器のアップグレード（ショットガン）,武器升级（shot弹枪）,Waffen -Upgrade (Schrotflinten),Actualización de armas (escopetas),Atualização de armas (espingardas),Mise à niveau des armes (fusils de chasse),Aggiornamento delle armi (Shotguns),Wapenupgrade (jachtgeweren),Обновление оружия (дробовики),Fegyverfrissítés (lövészek),Αναβάθμιση όπλων (κυνηγετικά όπλα),Silah yükseltmesi (av tüfeği),Nâng cấp vũ khí (súng ngắn),Peningkatan Senjata (senapang),Peningkatan senjata (senapan)
1931477021,무기 업그레이드 ( 수류탄 ),Weapon upgrade (explosives),武器のアップグレード（爆発物）,武器升级（炸药）,Waffen -Upgrade (Sprengstoff),Actualización de armas (explosivos),Atualização de armas (explosivos),Mise à niveau des armes (explosifs),Aggiornamento delle armi (esplosivi),Wapenupgrade (explosieven),Обновление оружия (взрывчатые вещества),Fegyverfrissítés (robbanóanyagok),Αναβάθμιση όπλων (εκρηκτικά),Silah yükseltmesi (patlayıcılar),Nâng cấp vũ khí (chất nổ),Peningkatan Senjata (Letupan),Peningkatan senjata (bahan peledak)
1931477022,장비 업그레이드 ( 머리 ),Equipment upgrade (heads),機器のアップグレード（ヘッド）,设备升级（头部）,Geräte -Upgrade (Köpfe),Actualización del equipo (cabezas),Atualização do equipamento (cabeças),Mise à niveau de l'équipement (têtes),Aggiornamento dell'attrezzatura (teste),Upgrade van apparatuur (hoofden),Обновление оборудования (головы),Berendezések frissítése (fejek),Αναβάθμιση εξοπλισμού (κεφάλια),Ekipman yükseltmesi (kafalar),Nâng cấp thiết bị (đầu),Peningkatan Peralatan (kepala),Peningkatan Peralatan (Kepala)
1931477023,장비 업그레이드 ( 상의 ),Equipment upgrade (uppers),機器のアップグレード（アッパー）,设备升级（鞋帮）,Geräte -Upgrade (Obermaterial),Actualización del equipo (parte superior),Atualização do equipamento (parte superior),Mise à niveau de l'équipement (tiges),Aggiornamento dell'attrezzatura (tomaia),Upgrade van apparatuur (Upters),Обновление оборудования (верх),A berendezések frissítése (felsőrészek),Αναβάθμιση εξοπλισμού (πάνω),Ekipman yükseltmesi (Upers),Nâng cấp thiết bị (Uppers),Peningkatan Peralatan (Uppers),Upgrade Peralatan (Bagian Atas)
1931477024,장비 업그레이드 ( 장갑 ),Equipment upgrade (hands),機器のアップグレード（手）,设备升级（手）,Geräte -Upgrade (Hände),Actualización del equipo (manos),Atualização do equipamento (mãos),Mise à niveau de l'équipement (mains),Aggiornamento dell'attrezzatura (mani),Upgrade van apparatuur (handen),Обновление оборудования (руки),Berendezések frissítése (kéz),Αναβάθμιση εξοπλισμού (χέρια),Ekipman yükseltmesi (eller),Nâng cấp thiết bị (tay),Peningkatan Peralatan (Tangan),Peningkatan Peralatan (Tangan)
1931477025,장비 업그레이드 ( 하의 ),Equipment upgrade (lower),機器のアップグレード（下）,设备升级（下）,Geräte -Upgrade (niedriger),Actualización del equipo (inferior),Atualização do equipamento (inferior),Mise à niveau de l'équipement (inférieur),Aggiornamento dell'attrezzatura (inferiore),Upgrade van apparatuur (lager),Обновление оборудования (ниже),Berendezések frissítése (alacsonyabb),Αναβάθμιση εξοπλισμού (χαμηλότερη),Ekipman yükseltmesi (daha düşük),Nâng cấp thiết bị (thấp hơn),Peningkatan Peralatan (lebih rendah),Peningkatan Peralatan (lebih rendah)
1931477026,"강화 ( 무기, 장비 )","Upgrade (weapon, gear)",アップグレード（武器）,升级（武器）,Upgrade (Waffe),Actualización (arma),Upgrade (arma),Mise à niveau (arme),Aggiornamento (arma),Upgrade (wapen),Обновление (оружие),Frissítés (fegyver),Αναβάθμιση (όπλο),Yükseltme (Silah),Nâng cấp (vũ khí),Naik taraf (Senjata),Tingkatkan (senjata)
1931477027,강화 ( 무기 ),Upgrade (weapon),アップグレード（武器）,升级（武器）,Upgrade (Waffe),Actualización (arma),Upgrade (arma),Mise à niveau (arme),Aggiornamento (arma),Upgrade (wapen),Обновление (оружие),Frissítés (fegyver),Αναβάθμιση (όπλο),Yükseltme (Silah),Nâng cấp (vũ khí),Naik taraf (Senjata),Tingkatkan (senjata)
1931477028,강화 ( 장비 ),Upgrade (gear),アップグレード（ギア）,升级（齿轮）,Upgrade (Ausrüstung),Actualización (equipo),Upgrade (engrenagem),Mise à niveau (équipement),Aggiornamento (attrezzatura),Upgrade (versnelling),Обновление (передача),Frissítés (Gear),Αναβάθμιση (εργαλεία),Yükseltme (dişli),Nâng cấp (GEAR),Naik taraf (gear),Upgrade (gigi)
1931477029,"각성 ( 무기, 장비 )","Reinforce (weapon, gear)",強化（武器、ギア）,增强（武器，装备）,"Verstärken (Waffe, Ausrüstung)","Reforzar (arma, equipo)","Reforçar (arma, engrenagem)","Renforcement (arme, équipement)","Rinforzare (arma, attrezzatura)","Versterking (wapen, uitrusting)","Усиление (оружие, снаряжение)","Megerősítés (fegyver, fogaskerék)","Ενίσχυση (όπλο, εργαλεία)","Takviye (silah, dişli)","Củng cố (vũ khí, thiết bị)","Memuatkan (senjata, gear)","Perkuat (senjata, perlengkapan)"
1931477030,각성 ( 무기 ),Reinforce (weapon),強化（武器）,增强（武器）,Verstärken (Waffe),Reforzar (arma),Reforçar (arma),Renforcer (arme),Rinforzo (arma),Versterken (wapen),Подкреплять (оружие),Erőss (fegyver),Ενίσχυση (όπλο),Takviye (Silah),Củng cố (vũ khí),Memuatkan (Senjata),Buat (senjata)
1931477031,각성 ( 장비 ),Reinforce (gear),強化（ギア）,增强（齿轮）,Verstärkung (Zahnrad),Reforzar (equipo),Reforçar (engrenagem),Renforcement (équipement),Rinforzare (attrezzatura),Versterking (versnelling),Подкреплять (передача),Megerősítse (felszerelés),Ενίσχυση (εργαλεία),Takviye (dişli),Củng cố (thiết bị),Memuatkan (gear),Perkuat (Perlengkapan)
1931477032,각성 ( 무기 - 권총 ),Reinforce (weapon - pistol),強化（武器 - ピストル）,增强（武器 - 手枪）,Verstärken (Waffe - Pistole),Reforzar (arma - pistola),Reforçar (arma - pistola),Renforcement (arme - pistolet),Rinforzo (arma - pistola),Versterking (wapen - pistool),Подкрепление (оружие - пистолет),Megerősítés (fegyver - pisztoly),Ενίσχυση (όπλο - πιστόλι),Takviye (Silah - Tabanca),Củng cố (vũ khí - Súng lục),Memuatkan (Senjata - Pistol),Buat (senjata - pistol)
1931477033,각성 ( 무기 - 소총 ),Reinforce (weapon - AR),強化（武器-AR）,加强（武器-AR）,Verstärken (Waffe - AR),Reforzar (Arma - AR),Reforçar (arma - ar),Renforcement (arme - ar),Rinforzo (arma - ar),Versterking (wapen - AR),Подкрепление (оружие - AR),Megerősítés (fegyver - AR),Ενίσχυση (όπλο - AR),Takviye (Silah - AR),Củng cố (vũ khí - AR),Memuatkan (Senjata - AR),Buat (senjata - AR)
1931477034,각성 ( 무기 - 저격총 ),Reinforce (weapon - SR),強化（武器-SR）,加强（武器-SR）,Verstärken (Waffe - SR),Reforzar (Arma - SR),Reforçar (arma - sr),Renforcement (arme - sr),Rinforzo (arma - sr),Versterking (wapen - sr),Подкрепление (оружие - ср),Megerősítés (fegyver - sr),Ενίσχυση (όπλο - SR),Takviye (Silah - SR),Củng cố (vũ khí - SR),Memuatkan (Senjata - SR),Buat (Senjata - SR)
1931477035,각성 ( 무기 - 산탄총 ),Reinforce (weapon - SG),強化（武器-SG）,加强（武器-SG）,Verstärken (Waffe - SG),Reforzar (arma - SG),Reforçar (arma - sg),Renforcement (arme - sg),Rinforzo (Weapon - SG),Versterking (wapen - SG),Подкрепление (оружие - SG),Megerősítés (fegyver - sg),Ενίσχυση (όπλο - SG),Takviye (Silah - SG),Củng cố (vũ khí - SG),Memuatkan (Senjata - SG),Buat (Senjata - SG)
1931477036,각성 ( 무기 - 수류탄 ),Reinforce (weapon - Elplosives),強化（武器 - エルプロシブ）,加强（武器 - 弹药板）,Verstärken (Waffe - Ellösiv),Reforzar (Arma - Elplosives),Reforçar (arma - elplosives),Renforcement (arme - elplosives),Rinforzo (Weapon - Elplosives),Versterking (wapen - elplosieven),Подкрепление (оружие - эльплосивные),Megerősítés (fegyver - elplosive),Ενίσχυση (όπλο - elplosives),Takviye (Silah - Elplosivler),Củng cố (vũ khí - Elplosives),Memuatkan (Senjata - Elplosives),Buat (Senjata - Elplosives)
1931477037,각성 ( 장비 - 머리 ),Reinforce (gear - head),強化（ギア - ヘッド）,增强（齿轮 - 头）,Verstärkung (Zahnrad - Kopf),Reforzar (Gear - Head),Reforçar (engrenagem - cabeça),Renforcement (équipement - tête),Rinforzo (marcia - testa),Versterking (versnelling - kop),Усиление (передача - голова),Megerősítés (fogaskerék - fej),Ενίσχυση (Gear - Head),Takviye (dişli - kafa),Củng cố (thiết bị - đầu),Memuatkan (gear - kepala),Buat (Gear - Head)
1931477038,각성 ( 장비 - 상의 ),Reinforce (gear - upper),強化（ギア - アッパー）,增强（齿轮 - 上）,Verstärkung (Getriebe - obere),Reforzar (engranaje - superior),Reforçar (engrenagem - superior),Renforcement (équipement - supérieur),Rinforzo (ingranaggio - superiore),Versterking (versnelling - boven),Подкреплять (передача - верхняя),Megerősítés (felszerelés - felső),Ενίσχυση (Gear - Upper),Takviye (dişli - üst),Củng cố (thiết bị - trên),Mengukuhkan (gear - atas),Buat (Gear - Atas)
1931477039,각성 ( 장비 - 장갑 ),Reinforce (gear - hands),強化（ギア - ハンド）,加强（齿轮 - 手）,Verstärkung (Ausrüstung - Hände),Reforzar (Gear - Hands),Reforçar (engrenagem - mãos),Renforcement (équipement - mains),Rinforzare (marcia - mani),Versterking (versnellingsbak),Подкреплять (передача - руки),Megerősítés (fogaskerék - kezek),Ενίσχυση (Gear - Hands),Takviye (dişli - eller),Củng cố (thiết bị - tay),Mengukuhkan (gear - tangan),Buat (gear - hands)
1931477040,각성 ( 장비 - 하의 ),Reinforce (gear - lower),強化（ギア - 低い）,增强（齿轮 - 下）,Verstärkung (Gear - niedriger),Reforzar (engranaje - más bajo),Reforçar (engrenagem - inferior),Renforcement (équipement - inférieur),Rinforzare (marcia - inferiore),Versterking (versnelling - lager),Усиление (передача - нижняя),Megerősítés (fogaskerék - alacsonyabb),Ενίσχυση (Gear - Lower),Takviye (dişli - daha düşük),Củng cố (thiết bị - thấp hơn),Mengukuhkan (gear - lebih rendah),Buat (Gear - Lower)
1931477041,돌파 ( 무기 ),Limnit Break (weapon),Limnit Break（武器）,Limnit Break（武器）,Limnit Break (Waffe),Break Limnit (arma),Break Limnit (arma),Break limnit (arme),Limnit Break (Arma),Limnit Break (wapen),Limnit Break (оружие),Limnit szünet (fegyver),Χαρακτηριστικό διάλειμμα (όπλο),Limnit Break (Silah),Limnit Break (vũ khí),Limnit Break (Senjata),Limnit Break (senjata)
1931477042,돌파 ( 무기 - 권총 ),Limnit Break (weapon - Pistol),Limnit Break（武器 - ピストル）,Limnit Break（武器 - 手枪）,Limnit Break (Waffe - Pistole),Break Limnit (arma - pistola),Break Limnit (arma - pistola),Break limnit (arme - pistolet),Limnit Break (Weapon - Pistol),Limnit Break (wapen - pistool),Limnit Break (оружие - пистолет),Limnit break (fegyver - pisztoly),Χαρακτηριστικό διάλειμμα (όπλο - πιστόλι),Limnit Break (Silah - Tabanca),Limnit Break (Vũ khí - Súng lục),Limnit Break (Senjata - Pistol),Limnit Break (senjata - pistol)
1931477043,돌파 ( 무기 - 소총 ),Limnit Break (weapon - AR),Limnit Break（武器-AR）,Limnit Break（武器-AR）,Limnit Break (Waffe - AR),Break Limnit (arma - AR),Break Limnit (arma - AR),Break limnit (arme - AR),Limnit Break (Arma - AR),Limnit Break (wapen - AR),Limnit Break (оружие - AR),Limnit szünet (fegyver - AR),Break Break (Weapon - AR),Limnit Break (Silah - AR),Limnit Break (vũ khí - AR),Limnit Break (Senjata - AR),Limnit Break (senjata - AR)
1931477044,돌파 ( 무기 - 저격총 ),Limnit Break (weapon - SR),Limnit Break（武器-SR）,Limnit Break（武器-SR）,Limnit Break (Waffe - SR),Break Limnit (arma - SR),Break Limnit (arma - SR),Break limnit (arme - sr),Limnit Break (Weapon - SR),Limnit Break (wapen - SR),Limnit Break (оружие - SR),Limnit szünet (fegyver - sr),Χαρακτηριστικό διάλειμμα (όπλο - SR),Limnit Break (Silah - SR),Limnit Break (vũ khí - SR),Limnit Break (Senjata - Sr),Limnit Break (senjata - SR)
1931477045,돌파 ( 무기 - 산탄총 ),Limnit Break (weapon - SG),Limnit Break（武器-SG）,Limnit Break（武器-SG）,Limnit Break (Waffe - SG),Break Limnit (arma - SG),Break Limnit (arma - SG),Break limnit (arme - sg),Limnit Break (Arma - SG),Limnit Break (wapen - SG),Limnit Break (оружие - SG),Limnit szünet (fegyver - SG),Χαρακτηριστικό διάλειμμα (όπλο - SG),Limnit Break (Silah - SG),Limnit Break (vũ khí - SG),Limnit Break (Senjata - SG),Limnit Break (Senjata - SG)
1931477046,돌파 ( 무기 - 수류탄 ),Limnit Break (weapon - Explosive),Limnit Break（武器 - 爆発物）,Limnit Break（武器 - 爆炸）,Limnit Break (Waffe - Spreng),Break Limnit (Arma - Explosivo),Break Limnit (arma - explosivo),Break limnit (arme - explosif),Limnit Break (Weapon - Explosive),Limnit Break (wapen - explosief),Limnit Break (оружие - взрывчатка),Limnit break (fegyver - robbanó),Break Break (Weapon - Εκρηκτικό),Limnit Break (Silah - Patlayıcı),Limnit Break (vũ khí - nổ),Limnit Break (Senjata - Letupan),Limnit Break (senjata - eksplosif)
1931477047,돌파 ( 장비 ),Limnit Break (gear),Limnit Break（ギア）,limnit断裂（齿轮）,Limnit Break (Ausrüstung),Break Limnit (equipo),Break Limnit (engrenagem),Break Limnit (équipement),Limnit Break (Gear),Limnit Break (versnelling),Limnit Break (передача),Limnit break (felszerelés),Χαρακτηριστικό διάλειμμα (εργαλεία),Limnit Break (dişli),Limnit Break (Gear),Limnit Break (gear),Limnit Break (Gear)
1931477048,돌파 ( 장비 - 머리 ),Limnit Break (gear - head),Limnit Break（ギア - ヘッド）,limnit休息（齿轮 - 头）,Limnit Break (Gang - Kopf),Limnit Break (equipo - Cabeza),Break Limnit (engrenagem - cabeça),Break Limnit (Gear - Head),Limnit Break (Gear - Head),Limnit Break (versnelling - kop),Limnit Break (Gear - Head),Limnit törés (fogaskerék - fej),Χαρακτηριστικό διάλειμμα (Gear - Head),Limnit Break (dişli - kafa),Limnit Break (Gear - Head),Limnit Break (Gear - Head),Limnit Break (Gear - Head)
1931477049,돌파 ( 장비 - 상의 ),Limnit Break (gear - upper),Limnit Break（ギア - アッパー）,limnit断裂（齿轮 - 上）,Limnit Break (Getriebe - obere),Break Limnit (equipo - superior),Break Limnit (engrenagem - superior),Break limnit (équipement - supérieur),Limnit Break (Gear - Upper),Limnit Break (versnelling - boven),Limnit Break (Gear - Upper),Limnit törés (felszerelés - felső),Χαρακτηριστικό διάλειμμα (Gear - Upper),Limnit Break (dişli - üst),Limnit Break (Gear - Upper),Limnit Break (Gear - Atas),Limnit Break (Gear - Atas)
1931477050,돌파 ( 장비 - 장갑 ),Limnit Break (gear - hands),Limnit Break（ギア - ハンド）,limnit断裂（齿轮 - 手）,Limnit Break (Ausrüstung - Hände),Limnit Break (Gear - Hands),Break Limnit (engrenagem - mãos),Break limnit (équipement - mains),Limnit Break (Gear - Hands),Limnit Break (Gear - Hands),Limnit Break (передача - руки),Limnit törés (fogaskerék - kezek),Χαρακτηριστικό διάλειμμα (Gear - Hands),Limnit Break (dişli - eller),Limnit Break (Gear - Hands),Limnit Break (Gear - Tangan),Limnit Break (Gear - Hands)
1931477051,돌파 ( 장비 - 하의 ),Limnit Break (gear - lower),Limnit Break（ギア - 低い）,limnit断裂（齿轮 - 下）,Limnit Break (Gear - niedriger),Break de Limnit (engranaje - más bajo),Break Limnit (engrenagem - inferior),Break Limnit (équipement - inférieur),Limnit Break (Gear - inferiore),Limnit Break (versnelling - lager),Limnit Break (передача - нижняя),Limnit törés (fogaskerék - alacsonyabb),Χαρακτηριστικό διάλειμμα (Gear - Lower),Limnit Break (dişli - daha düşük),Limnit Break (Gear - Lower),Limnit Break (gear - lebih rendah),Limnit Break (Gear - Lower)
1931477052,제작 ( 도구 ),Craft (tool),クラフト（ツール）,工艺（工具）,Handwerk (Werkzeug),Craft (herramienta),Artesanato (ferramenta),Craft (outil),Imbarcazione (strumento),Craft (Tool),Ремесло (инструмент),Kézműves (eszköz),Craft (εργαλείο),Zanaat (araç),Craft (Công cụ),Kerajinan (alat),Kerajinan (alat)
1931477053,제작 ( 장비 ),Craft (gear),クラフト（ギア）,工艺（装备）,Handwerk (Ausrüstung),Craft (equipo),Artesanato (engrenagem),Craft (équipement),Imbarcazione (attrezzatura),Craft (Gear),Ремесло (передача),Kézműves (felszerelés),Craft (εργαλεία),Zanaat (dişli),Craft (Gear),Kerajinan (gear),Kerajinan (perlengkapan)
1931477054,제작 ( 파츠 ),Craft (parts),クラフト（部品）,工艺（零件）,Handwerk (Teile),Artesanía (piezas),Artesanato (peças),Artisanat (pièces),Craft (parti),Craft (onderdelen),Ремесло (детали),Kézműves (alkatrészek),Craft (ανταλλακτικά),Zanaat (parçalar),Thủ công (Bộ phận),Kraf (Bahagian),Kerajinan (bagian)
1931477055,강화 ( 캐릭터 ),Activate Character,キャラクターをアクティブにする,激活角色,Charakter aktivieren,Activar personaje,Ativar personagem,Activer le personnage,Attiva personaggio,Activeer karakter,Активировать персонажа,Karakter aktiválása,Ενεργοποίηση χαρακτήρα,Karakteri Etkinleştir,Kích hoạt nhân vật,Aktifkan Aksara,Aktifkan Karakter
1931477056,강화 ( 캐릭터 ),Reinforcement (characters),補強（文字）,加固（字符）,Verstärkung (Zeichen),Refuerzo (caracteres),Reforço (caracteres),Renforcement (caractères),Rinforzo (personaggi),Versterking (tekens),Подкрепление (персонажи),Megerősítés (karakterek),Ενίσχυση (χαρακτήρες),Takviye (karakterler),Củng cố (ký tự),Pengukuhan (watak),Penguatan (karakter)
