PrimaryKey,NameKey,DescKey,Group,icon,Order,Category,Type,OperationType,RangeType,Value,ValueMin,ValueMax,Duration,MaxStackCount,WaitTime,Inteval,PrefabFX
712380679,1879048688,NaN,7737607,ICON_EFFECT_DP2MELEE,1,7,97,2,1,0.014,0.014,0.014,0,1,0,0,
712380680,1879048688,NaN,7737608,ICON_EFFECT_DP2MELEE,1,7,97,2,1,0.016,0.016,0.016,0,1,0,0,
712380681,1879048688,NaN,7737609,ICON_EFFECT_DP2MELEE,1,7,97,2,1,0.018,0.018,0.018,0,1,0,0,
712380682,1879048688,NaN,7737610,ICON_EFFECT_DP2MELEE,1,7,97,2,1,0.02,0.02,0.02,0,1,0,0,
712384769,1879048689,NaN,7741697,ICON_EFFECT_DP2RANGE,1,7,98,2,1,0.001,0.001,0.001,0,1,0,0,
712384770,1879048689,NaN,7741698,ICON_EFFECT_DP2RANGE,1,7,98,2,1,0.002,0.002,0.002,0,1,0,0,
712384771,1879048689,NaN,7741699,ICON_EFFECT_DP2RANGE,1,7,98,2,1,0.003,0.003,0.003,0,1,0,0,
712384772,1879048689,NaN,7741700,ICON_EFFECT_DP2RANGE,1,7,98,2,1,0.004,0.004,0.004,0,1,0,0,
712384773,1879048689,NaN,7741701,ICON_EFFECT_DP2RANGE,1,7,98,2,1,0.005,0.005,0.005,0,1,0,0,
712384774,1879048689,NaN,7741702,ICON_EFFECT_DP2RANGE,1,7,98,2,1,0.006,0.006,0.006,0,1,0,0,
712384775,1879048689,NaN,7741703,ICON_EFFECT_DP2RANGE,1,7,98,2,1,0.007,0.007,0.007,0,1,0,0,
712384776,1879048689,NaN,7741704,ICON_EFFECT_DP2RANGE,1,7,98,2,1,0.008,0.008,0.008,0,1,0,0,
712384777,1879048689,NaN,7741705,ICON_EFFECT_DP2RANGE,1,7,98,2,1,0.009,0.009,0.009,0,1,0,0,
712384778,1879048689,NaN,7741706,ICON_EFFECT_DP2RANGE,1,7,98,2,1,0.01,0.01,0.01,0,1,0,0,
712388865,1879048690,NaN,7745793,ICON_EFFECT_DP2EXPLOSION,1,7,99,2,1,0.001,0.001,0.001,0,1,0,0,
712388866,1879048690,NaN,7745794,ICON_EFFECT_DP2EXPLOSION,1,7,99,2,1,0.002,0.002,0.002,0,1,0,0,
712388867,1879048690,NaN,7745795,ICON_EFFECT_DP2EXPLOSION,1,7,99,2,1,0.003,0.003,0.003,0,1,0,0,
712388868,1879048690,NaN,7745796,ICON_EFFECT_DP2EXPLOSION,1,7,99,2,1,0.004,0.004,0.004,0,1,0,0,
712388869,1879048690,NaN,7745797,ICON_EFFECT_DP2EXPLOSION,1,7,99,2,1,0.005,0.005,0.005,0,1,0,0,
712388870,1879048690,NaN,7745798,ICON_EFFECT_DP2EXPLOSION,1,7,99,2,1,0.006,0.006,0.006,0,1,0,0,
712388871,1879048690,NaN,7745799,ICON_EFFECT_DP2EXPLOSION,1,7,99,2,1,0.007,0.007,0.007,0,1,0,0,
712388872,1879048690,NaN,7745800,ICON_EFFECT_DP2EXPLOSION,1,7,99,2,1,0.008,0.008,0.008,0,1,0,0,
712388873,1879048690,NaN,7745801,ICON_EFFECT_DP2EXPLOSION,1,7,99,2,1,0.009,0.009,0.009,0,1,0,0,
712388874,1879048690,NaN,7745802,ICON_EFFECT_DP2EXPLOSION,1,7,99,2,1,0.01,0.01,0.01,0,1,0,0,
712102145,1879048691,NaN,7459073,ICON_EFFECT_PENETRATECHANCE,1,7,29,3,1,0.002,0.002,0.002,0,1,0,0,
712102146,1879048691,NaN,7459074,ICON_EFFECT_PENETRATECHANCE,1,7,29,3,1,0.004,0.004,0.004,0,1,0,0,
712102147,1879048691,NaN,7459075,ICON_EFFECT_PENETRATECHANCE,1,7,29,3,1,0.006,0.006,0.006,0,1,0,0,
712102148,1879048691,NaN,7459076,ICON_EFFECT_PENETRATECHANCE,1,7,29,3,1,0.008,0.008,0.008,0,1,0,0,
712102149,1879048691,NaN,7459077,ICON_EFFECT_PENETRATECHANCE,1,7,29,3,1,0.01,0.01,0.01,0,1,0,0,
712102150,1879048691,NaN,7459078,ICON_EFFECT_PENETRATECHANCE,1,7,29,3,1,0.012,0.012,0.012,0,1,0,0,
712102151,1879048691,NaN,7459079,ICON_EFFECT_PENETRATECHANCE,1,7,29,3,1,0.014,0.014,0.014,0,1,0,0,
712102152,1879048691,NaN,7459080,ICON_EFFECT_PENETRATECHANCE,1,7,29,3,1,0.016,0.016,0.016,0,1,0,0,
712102153,1879048691,NaN,7459081,ICON_EFFECT_PENETRATECHANCE,1,7,29,3,1,0.018,0.018,0.018,0,1,0,0,
712102154,1879048691,NaN,7459082,ICON_EFFECT_PENETRATECHANCE,1,7,29,3,1,0.02,0.02,0.02,0,1,0,0,
712089857,1879048692,NaN,7446785,ICON_EFFECT_RICOCHETCHANCE,1,7,26,3,1,0.002,0.002,0.002,0,1,0,0,
712089858,1879048692,NaN,7446786,ICON_EFFECT_RICOCHETCHANCE,1,7,26,3,1,0.004,0.004,0.004,0,1,0,0,
712089859,1879048692,NaN,7446787,ICON_EFFECT_RICOCHETCHANCE,1,7,26,3,1,0.006,0.006,0.006,0,1,0,0,
712089860,1879048692,NaN,7446788,ICON_EFFECT_RICOCHETCHANCE,1,7,26,3,1,0.008,0.008,0.008,0,1,0,0,
712089861,1879048692,NaN,7446789,ICON_EFFECT_RICOCHETCHANCE,1,7,26,3,1,0.01,0.01,0.01,0,1,0,0,
712089862,1879048692,NaN,7446790,ICON_EFFECT_RICOCHETCHANCE,1,7,26,3,1,0.012,0.012,0.012,0,1,0,0,
712089863,1879048692,NaN,7446791,ICON_EFFECT_RICOCHETCHANCE,1,7,26,3,1,0.014,0.014,0.014,0,1,0,0,
712089864,1879048692,NaN,7446792,ICON_EFFECT_RICOCHETCHANCE,1,7,26,3,1,0.016,0.016,0.016,0,1,0,0,
712089865,1879048692,NaN,7446793,ICON_EFFECT_RICOCHETCHANCE,1,7,26,3,1,0.018,0.018,0.018,0,1,0,0,
712089866,1879048692,NaN,7446794,ICON_EFFECT_RICOCHETCHANCE,1,7,26,3,1,0.02,0.02,0.02,0,1,0,0,
712352001,1879048693,NaN,7708929,ICON_EFFECT_SPRATIO,1,7,90,2,1,0.02,0.02,0.02,0,1,0,0,
712315137,1879048694,NaN,7672065,ICON_EFFECT_APPI,1,7,81,2,1,0.01,0.01,0.01,0,1,0,0,
712315138,1879048694,NaN,7672066,ICON_EFFECT_APPI,1,7,81,2,1,0.02,0.02,0.02,0,1,0,0,
712315139,1879048694,NaN,7672067,ICON_EFFECT_APPI,1,7,81,2,1,0.03,0.03,0.03,0,1,0,0,
712315140,1879048694,NaN,7672068,ICON_EFFECT_APPI,1,7,81,2,1,0.04,0.04,0.04,0,1,0,0,
712315141,1879048694,NaN,7672069,ICON_EFFECT_APPI,1,7,81,2,1,0.05,0.05,0.05,0,1,0,0,
712315142,1879048694,NaN,7672070,ICON_EFFECT_APPI,1,7,81,2,1,0.06,0.06,0.06,0,1,0,0,
712315143,1879048694,NaN,7672071,ICON_EFFECT_APPI,1,7,81,2,1,0.07,0.07,0.07,0,1,0,0,
712315144,1879048694,NaN,7672072,ICON_EFFECT_APPI,1,7,81,2,1,0.08,0.08,0.08,0,1,0,0,
712315145,1879048694,NaN,7672073,ICON_EFFECT_APPI,1,7,81,2,1,0.09,0.09,0.09,0,1,0,0,
712315146,1879048694,NaN,7672074,ICON_EFFECT_APPI,1,7,81,2,1,0.1,0.1,0.1,0,1,0,0,
712323329,1879048695,NaN,7680257,ICON_EFFECT_APAR,1,7,83,2,1,0.01,0.01,0.01,0,1,0,0,
712323330,1879048695,NaN,7680258,ICON_EFFECT_APAR,1,7,83,2,1,0.02,0.02,0.02,0,1,0,0,
712323331,1879048695,NaN,7680259,ICON_EFFECT_APAR,1,7,83,2,1,0.03,0.03,0.03,0,1,0,0,
712323332,1879048695,NaN,7680260,ICON_EFFECT_APAR,1,7,83,2,1,0.04,0.04,0.04,0,1,0,0,
712323333,1879048695,NaN,7680261,ICON_EFFECT_APAR,1,7,83,2,1,0.05,0.05,0.05,0,1,0,0,
712323334,1879048695,NaN,7680262,ICON_EFFECT_APAR,1,7,83,2,1,0.06,0.06,0.06,0,1,0,0,
712323335,1879048695,NaN,7680263,ICON_EFFECT_APAR,1,7,83,2,1,0.07,0.07,0.07,0,1,0,0,
712323336,1879048695,NaN,7680264,ICON_EFFECT_APAR,1,7,83,2,1,0.08,0.08,0.08,0,1,0,0,
712323337,1879048695,NaN,7680265,ICON_EFFECT_APAR,1,7,83,2,1,0.09,0.09,0.09,0,1,0,0,
712323338,1879048695,NaN,7680266,ICON_EFFECT_APAR,1,7,83,2,1,0.1,0.1,0.1,0,1,0,0,
712331521,1879048696,NaN,7688449,ICON_EFFECT_APSR,1,7,85,2,1,0.01,0.01,0.01,0,1,0,0,
712331522,1879048696,NaN,7688450,ICON_EFFECT_APSR,1,7,85,2,1,0.02,0.02,0.02,0,1,0,0,
712331523,1879048696,NaN,7688451,ICON_EFFECT_APSR,1,7,85,2,1,0.03,0.03,0.03,0,1,0,0,
712331524,1879048696,NaN,7688452,ICON_EFFECT_APSR,1,7,85,2,1,0.04,0.04,0.04,0,1,0,0,
712331525,1879048696,NaN,7688453,ICON_EFFECT_APSR,1,7,85,2,1,0.05,0.05,0.05,0,1,0,0,
712331526,1879048696,NaN,7688454,ICON_EFFECT_APSR,1,7,85,2,1,0.06,0.06,0.06,0,1,0,0,
712331527,1879048696,NaN,7688455,ICON_EFFECT_APSR,1,7,85,2,1,0.07,0.07,0.07,0,1,0,0,
712331528,1879048696,NaN,7688456,ICON_EFFECT_APSR,1,7,85,2,1,0.08,0.08,0.08,0,1,0,0,
712331529,1879048696,NaN,7688457,ICON_EFFECT_APSR,1,7,85,2,1,0.09,0.09,0.09,0,1,0,0,
712331530,1879048696,NaN,7688458,ICON_EFFECT_APSR,1,7,85,2,1,0.1,0.1,0.1,0,1,0,0,
712339713,1879048697,NaN,7696641,ICON_EFFECT_APGE,1,7,87,2,1,0.01,0.01,0.01,0,1,0,0,
712339714,1879048697,NaN,7696642,ICON_EFFECT_APGE,1,7,87,2,1,0.02,0.02,0.02,0,1,0,0,
712339715,1879048697,NaN,7696643,ICON_EFFECT_APGE,1,7,87,2,1,0.03,0.03,0.03,0,1,0,0,
712339716,1879048697,NaN,7696644,ICON_EFFECT_APGE,1,7,87,2,1,0.04,0.04,0.04,0,1,0,0,
712339717,1879048697,NaN,7696645,ICON_EFFECT_APGE,1,7,87,2,1,0.05,0.05,0.05,0,1,0,0,
712339718,1879048697,NaN,7696646,ICON_EFFECT_APGE,1,7,87,2,1,0.06,0.06,0.06,0,1,0,0,
712339719,1879048697,NaN,7696647,ICON_EFFECT_APGE,1,7,87,2,1,0.07,0.07,0.07,0,1,0,0,
712339720,1879048697,NaN,7696648,ICON_EFFECT_APGE,1,7,87,2,1,0.08,0.08,0.08,0,1,0,0,
712339721,1879048697,NaN,7696649,ICON_EFFECT_APGE,1,7,87,2,1,0.09,0.09,0.09,0,1,0,0,
712339722,1879048697,NaN,7696650,ICON_EFFECT_APGE,1,7,87,2,1,0.1,0.1,0.1,0,1,0,0,
712335617,1879048698,NaN,7692545,ICON_EFFECT_APSG,1,7,86,2,1,0.01,0.01,0.01,0,1,0,0,
712335618,1879048698,NaN,7692546,ICON_EFFECT_APSG,1,7,86,2,1,0.02,0.02,0.02,0,1,0,0,
712335619,1879048698,NaN,7692547,ICON_EFFECT_APSG,1,7,86,2,1,0.03,0.03,0.03,0,1,0,0,
712335620,1879048698,NaN,7692548,ICON_EFFECT_APSG,1,7,86,2,1,0.04,0.04,0.04,0,1,0,0,
712335621,1879048698,NaN,7692549,ICON_EFFECT_APSG,1,7,86,2,1,0.05,0.05,0.05,0,1,0,0,
712335622,1879048698,NaN,7692550,ICON_EFFECT_APSG,1,7,86,2,1,0.06,0.06,0.06,0,1,0,0,
712335623,1879048698,NaN,7692551,ICON_EFFECT_APSG,1,7,86,2,1,0.07,0.07,0.07,0,1,0,0,
712335624,1879048698,NaN,7692552,ICON_EFFECT_APSG,1,7,86,2,1,0.08,0.08,0.08,0,1,0,0,
712335625,1879048698,NaN,7692553,ICON_EFFECT_APSG,1,7,86,2,1,0.09,0.09,0.09,0,1,0,0,
712335626,1879048698,NaN,7692554,ICON_EFFECT_APSG,1,7,86,2,1,0.1,0.1,0.1,0,1,0,0,
705761553,1879048474,NaN,1118481,ICON_EFFECT_ATTACKPOWER,1,1,17,2,1,0.2,0.05,0.35,0,1,0,0,
705782033,1879048476,NaN,1138961,ICON_EFFECT_ATTACKRANGE,1,1,22,3,1,4000,2500,5500,0,1,0,0,
705798417,1879048477,NaN,1155345,ICON_EFFECT_RICOCHETCHANCE,1,1,26,3,1,0.35,0.2,0.5,0,1,0,0,
705765649,1879048478,NaN,1122577,ICON_EFFECT_CRITICALCHANCE,1,1,18,3,1,0.025,0.02,0.03,0,1,0,0,
705700113,1879048479,NaN,1057041,ICON_EFFECT_RELOADTIME,1,1,2,2,1,-0.2,-0.25,-0.15,0,1,0,0,
705810705,1879048480,NaN,1167633,ICON_EFFECT_PENETRATECHANCE,1,1,29,3,1,0.25,0.1,0.4,0,1,0,0,
705892625,1879048481,NaN,1249553,ICON_EFFECT_MAGAZINESIZE,1,1,49,3,1,0,0,0,0,1,0,0,
705896721,1879048482,NaN,1253649,ICON_EFFECT_KNOCKBACK,1,1,50,3,5,8000,7000,9000,0,1,0,0,
705786129,1879048483,NaN,1143057,ICON_EFFECT_ACCURACY,1,1,23,2,1,0.15,0.1,0.2,0,1,0,0,
