PrimaryKey,Level,Order,SelectionFactor,SelectionType,ItemKey,Count,CostItemKey,CostItemCount
1644208132,10,4,1,0,572338177,50,572268545,3
1644208133,10,5,1,0,572346369,50,572268545,3
1644208134,10,6,1,0,572350465,50,572268545,3
1644208135,10,7,1,0,572354561,50,572268545,3
1644208136,10,8,0,0,572067841,50,572268545,3
1644208137,10,9,0,0,572071937,50,572268545,3
1644208138,10,10,0,0,572076033,50,572268545,3
1644208139,10,11,0,0,572080129,50,572268545,3
1644208140,10,12,1,0,572133377,1,572268545,50
1644208141,10,13,1,0,572141569,1,572268545,50
1644208142,10,14,1,0,572157953,1,572268545,50
1644208143,10,15,1,0,572149761,1,572268545,50
1644208144,10,16,1,0,572153857,1,572268545,50
1644208145,10,17,0,0,573181953,1,572268545,300
1644208146,10,18,0,0,573181954,1,572268545,300
1644208147,10,19,0,0,573190145,1,572268545,300
1644208148,10,20,0,0,573190146,1,572268545,300
1644208149,10,21,0,0,573206529,1,572268545,300
1644208150,10,22,0,0,573206530,1,572268545,300
1644208151,10,23,0,0,573198337,1,572268545,300
1644208152,10,24,0,0,573198338,1,572268545,300
1644208153,10,25,0,0,573202433,1,572268545,300
1644208154,10,26,0,0,573198338,1,572268545,300
1644208155,10,27,0,0,571936769,1,572268545,100
1644208156,10,28,0,0,571940865,1,572268545,100
1644208157,10,29,0,0,571944961,1,572268545,100
1644208158,10,30,0,0,571949057,1,572268545,100
1644208159,10,31,0,0,572985345,1,572268545,600
1644208160,10,32,0,0,572985346,1,572268545,600
1644208161,10,33,0,0,572989441,1,572268545,600
1644208162,10,34,0,0,572989442,1,572268545,600
1644208163,10,35,0,0,572993537,1,572268545,600
1644208164,10,36,0,0,572993538,1,572268545,600
1644208165,10,37,0,0,572997633,1,572268545,600
1644208166,10,38,0,0,572997634,1,572268545,600
1644208167,10,39,1,0,572289025,10,572268545,500
1644208168,10,40,1,0,572272641,5000,572268545,45
1644208169,10,41,1,0,572284929,2,572272641,20000
1644208170,10,42,1,0,572133377,1,572272641,5000
1644208171,10,43,1,0,572141569,1,572272641,5000
1644208172,10,44,1,0,572157953,1,572272641,5000
1644208173,10,45,1,0,572149761,1,572272641,5000
1644208174,10,46,1,0,572153857,1,572272641,5000
1644208175,10,47,0,0,573181953,1,572272641,30000
1644208176,10,48,0,0,573181954,1,572272641,30000
1644208177,10,49,0,0,573190145,1,572272641,30000
1644208178,10,50,0,0,573190146,1,572272641,30000
1644208179,10,51,0,0,573206529,1,572272641,30000
1644208180,10,52,0,0,573206530,1,572272641,30000
1644208181,10,53,0,0,573198337,1,572272641,30000
1644208182,10,54,0,0,573198338,1,572272641,30000
1644208183,10,55,0,0,573202433,1,572272641,30000
1644208184,10,56,0,0,573198338,1,572272641,30000
1644208185,10,57,0,0,571936769,1,572272641,10000
1644208186,10,58,0,0,571940865,1,572272641,10000
1644208187,10,59,0,0,571944961,1,572272641,10000
1644208188,10,60,0,0,571949057,1,572272641,10000
1644208189,10,61,0,0,572985345,1,572272641,60000
1644208190,10,62,0,0,572985346,1,572272641,60000
1644208191,10,63,0,0,572989441,1,572272641,60000
1644208192,10,64,0,0,572989442,1,572272641,60000
1644208193,10,65,0,0,572993537,1,572272641,60000
1644208194,10,66,0,0,572993538,1,572272641,60000
1644208195,10,67,0,0,572997633,1,572272641,60000
1644208196,10,68,0,0,572997634,1,572272641,60000
1644208197,10,69,1,0,572329985,50,572272641,2500
1644208198,10,70,1,0,572338177,50,572272641,2500
1644208199,10,71,1,0,572346369,50,572272641,2500
1644208200,10,72,1,0,572350465,50,572272641,2500
1644208201,10,73,1,0,572354561,50,572272641,2500
1644208202,10,74,0,0,572067841,50,572272641,2500
1644208203,10,75,0,0,572071937,50,572272641,2500
1644208204,10,76,0,0,572076033,50,572272641,2500
1644208205,10,77,0,0,572080129,50,572272641,2500
1644249089,20,1,1,0,572268545,300,572272641,35000
1644249090,20,2,1,0,572284929,2,572268545,200
1644249091,20,3,1,0,572329985,100,572268545,6
1644249092,20,4,1,0,572338177,100,572268545,6
1644249093,20,5,1,0,572346369,100,572268545,6
1644249094,20,6,1,0,572350465,100,572268545,6
1644249095,20,7,1,0,572354561,100,572268545,6
1644249096,20,8,1,0,572067841,100,572268545,6
1644249097,20,9,1,0,572071937,100,572268545,6
1644249098,20,10,1,0,572076033,100,572268545,6
1644249099,20,11,1,0,572080129,100,572268545,6
1644249100,20,12,1,0,572133377,1,572268545,50
1644249101,20,13,1,0,572141569,1,572268545,50
1644249102,20,14,1,0,572157953,1,572268545,50
1644249103,20,15,1,0,572149761,1,572268545,50
1644249104,20,16,1,0,572153857,1,572268545,50
1644249105,20,17,1,0,573181953,1,572268545,300
1644249106,20,18,1,0,573181954,1,572268545,300
1644249107,20,19,1,0,573190145,1,572268545,300
1644249108,20,20,1,0,573190146,1,572268545,300
1644249109,20,21,1,0,573206529,1,572268545,300
1644249110,20,22,1,0,573206530,1,572268545,300
1644249111,20,23,1,0,573198337,1,572268545,300
1644249112,20,24,1,0,573198338,1,572268545,300
1644249113,20,25,1,0,573202433,1,572268545,300
1644249114,20,26,1,0,573198338,1,572268545,300
1644249115,20,27,1,0,571936769,1,572268545,100
1644249116,20,28,1,0,571940865,1,572268545,100
1644249117,20,29,1,0,571944961,1,572268545,100
1644249118,20,30,1,0,571949057,1,572268545,100
1644249119,20,31,0,0,572985345,1,572268545,600
1644249120,20,32,0,0,572985346,1,572268545,600
1644249121,20,33,0,0,572989441,1,572268545,600
1644249122,20,34,0,0,572989442,1,572268545,600
1644249123,20,35,0,0,572993537,1,572268545,600
1644249124,20,36,0,0,572993538,1,572268545,600
1644249125,20,37,0,0,572997633,1,572268545,600
1644249126,20,38,0,0,572997634,1,572268545,600
1644249127,20,39,1,0,572289025,10,572268545,500
1644249128,20,40,1,0,572272641,5000,572268545,45
1644249129,20,41,1,0,572284929,2,572272641,20000
1644249130,20,42,1,0,572133377,1,572272641,5000
1644249131,20,43,1,0,572141569,1,572272641,5000
1644249132,20,44,1,0,572157953,1,572272641,5000
1644249133,20,45,1,0,572149761,1,572272641,5000
1644249134,20,46,1,0,572153857,1,572272641,5000
1644249135,20,47,1,0,573181953,1,572272641,30000
1644249136,20,48,1,0,573181954,1,572272641,30000
1644249137,20,49,1,0,573190145,1,572272641,30000
1644249138,20,50,1,0,573190146,1,572272641,30000
1644249139,20,51,1,0,573206529,1,572272641,30000
1644249140,20,52,1,0,573206530,1,572272641,30000
1644249141,20,53,1,0,573198337,1,572272641,30000
1644249142,20,54,1,0,573198338,1,572272641,30000
1644249143,20,55,1,0,573202433,1,572272641,30000
1644249144,20,56,1,0,573198338,1,572272641,30000
1644249145,20,57,1,0,571936769,1,572272641,10000
1644249146,20,58,1,0,571940865,1,572272641,10000
1644249147,20,59,1,0,571944961,1,572272641,10000
1644249148,20,60,1,0,571949057,1,572272641,10000
1644249149,20,61,0,0,572985345,1,572272641,60000
1644249150,20,62,0,0,572985346,1,572272641,60000
1644249151,20,63,0,0,572989441,1,572272641,60000
1644249152,20,64,0,0,572989442,1,572272641,60000
1644249153,20,65,0,0,572993537,1,572272641,60000
1644249154,20,66,0,0,572993538,1,572272641,60000
1644249155,20,67,0,0,572997633,1,572272641,60000
1644249156,20,68,0,0,572997634,1,572272641,60000
1644249157,20,69,1,0,572329985,100,572272641,5000
1644249158,20,70,1,0,572338177,100,572272641,5000
1644249159,20,71,1,0,572346369,100,572272641,5000
1644249160,20,72,1,0,572350465,100,572272641,5000
1644249161,20,73,1,0,572354561,100,572272641,5000
1644249162,20,74,1,0,572067841,100,572272641,5000
1644249163,20,75,1,0,572071937,100,572272641,5000
1644249164,20,76,1,0,572076033,100,572272641,5000
1644249165,20,77,1,0,572080129,100,572272641,5000
