PrimaryKey,NameKey,DescKey,Prefab,WeaponPrefab,Grade,Type,Theme,isHunt,isSummon,FirstEpisode,DefenceGroup,ProjectileCount,AnimationType,DamageType,ActionType,DetectionRange,TrackingRange,HelpRange,SightAngle,SightRange,HearingRange,AttackRange,HitEffectGroup,WarheadSpeed,ForceMin,ForceMax,SpeedRun,SpeedWalk,SpeedRotation,StatsValue,AbyssPoint,GoldenPoint,SkillPoint
320935681,1879048206,1895825422,NPC_ELITE_WESTERN18C_NORMAL_GRENADE_01,ITEM_WEAPON_GRENADE_01_G01,2,1,1,1,1,1,0,1,8,2,2,20000,50000,10000,90,7500,3000,15000,2109698,0,8,12,3.8,0.85,1,14217,5,2,2
320935169,1879048207,1895825423,NPC_ELITE_WESTERN18C_NORMAL_SR_01,ITEM_WEAPON_SR_01_G01,2,1,1,1,1,1,0,1,7,1,0,20000,50000,10000,15,20000,3000,20000,0,45,4,6,3.8,0.85,1,14215,5,2,2
321987329,1879048208,1895825424,NPC_BOSS_WESTERN18C_FAT_AR_01,BOSS_WESTERN18C_01,3,2,1,0,0,1,0,1,3,1,0,20000,50000,30000,90,50000,50000,15000,0,28,4,6,3.8,0.85,1,14323,8,10,3
321987330,1879048209,1895825425,NPC_BOSS_WESTERN18C_FAT_AR_02,BOSS_WESTERN18C_01,3,2,1,0,0,1,0,1,3,1,0,20000,50000,30000,90,50000,50000,15000,0,28,4,6,3.8,0.85,1,14323,8,10,3
321987331,1879048210,1895825426,NPC_BOSS_WESTERN18C_FAT_AR_03,BOSS_WESTERN18C_01,3,2,1,0,0,1,0,1,3,1,0,20000,50000,30000,90,50000,50000,15000,0,28,4,6,3.8,0.85,1,14323,8,10,3
321987332,1879048211,1895825427,NPC_BOSS_WESTERN18C_FAT_AR_04,BOSS_WESTERN18C_01,3,2,1,0,0,1,0,1,3,1,0,20000,50000,30000,90,50000,50000,15000,0,28,4,6,3.8,0.85,1,14323,8,10,3
319950849,1879048212,1895825428,NPC_NORMAL_EUROP20CM_NORMAL_KNIFE_01,ITEM_WEAPON_KNIFE_01_G01_NPC3,1,1,2,1,1,6,1,1,0,0,0,20000,50000,7500,45,7500,3000,1800,0,0,4,6,4.2,0.85,1,14110,3,1,1
319951105,1879048213,1895825429,NPC_NORMAL_EUROP20CM_NORMAL_PISTOL_01,ITEM_WEAPON_PISTOL_02_G01,1,1,2,1,1,6,0,1,1,1,0,20000,50000,7500,45,7500,3000,9000,0,18,4,6,3.8,0.85,1,14111,3,1,1
319951617,1879048214,1895825430,NPC_NORMAL_EUROP20CM_NORMAL_AR_01,ITEM_WEAPON_AR_01_G01_NPC,1,1,2,1,1,6,0,1,3,1,0,20000,50000,7500,45,7500,3000,15000,0,28,4,6,3.25,0.85,1,14113,3,1,1
319952385,1879048215,1895825431,NPC_NORMAL_EUROP20CM_NORMAL_SG_01,ITEM_WEAPON_SG_01_G01_NPC,1,1,2,1,1,6,0,10,1,1,0,20000,50000,7500,45,7500,3000,15000,0,28,4,6,3.25,0.85,1,14116,3,1,1
319952641,1879048216,1895825432,NPC_NORMAL_EUROP20CM_NORMAL_GRENADE_01,ITEM_WEAPON_GRENADE_ENEMY01_G01,1,1,2,1,1,6,0,1,8,2,2,20000,50000,7500,45,7500,3000,15000,2109698,0,8,12,3.8,0.85,1,14117,3,1,1
319952897,1879048217,1895825433,NPC_NORMAL_EUROP20CM_NORMAL_FIREBOMB_01,ITEM_WEAPON_GRENADE_FIRE_ENEMY01_G01,1,1,2,1,1,6,0,1,8,2,2,20000,50000,7500,45,7500,3000,15000,2101508,0,8,12,3.8,0.85,1,14118,3,1,1
319952129,1879048218,1895825434,NPC_NORMAL_EUROP20CM_NORMAL_SR_01,ITEM_WEAPON_SR_01_G01,1,1,2,1,1,6,0,1,7,1,0,20000,50000,7500,15,20000,3000,20000,0,45,4,6,3.25,0.85,1,14115,3,1,1
319959809,1879048219,1895825435,NPC_NORMAL_EUROP20CM_TURRET_AR_01,WEAPON_EMPTY_01,1,3,2,1,0,6,0,1,12,2,0,20000,50000,7500,45,30000,3000,30000,0,45,4,6,0,0.85,1,14133,3,1,1
319960833,1879048220,1895825436,NPC_NORMAL_EUROP20CM_TURRET_GRENADE_01,NPC_NORMAL_EUROP20CM_TURRET_GRENADE_01_WEAPON,1,3,2,1,0,6,0,1,10,2,0,20000,50000,7500,45,30000,3000,30000,2109698,0,8,12,0,0.85,1,14137,3,1,1
320999425,1879048221,1895825437,NPC_ELITE_EUROP20CM_NORMAL_KNIFE_01,ITEM_WEAPON_KNIFE_01_G01_NPC4,2,1,2,1,1,6,1,1,0,0,0,20000,50000,10000,45,7500,3000,1800,0,0,4,6,4.2,0.85,1,14210,5,2,2
320999681,1879048222,1895825438,NPC_ELITE_EUROP20CM_NORMAL_PISTOL_01,ITEM_WEAPON_PISTOL_01_G01,2,1,2,1,1,6,0,1,1,1,0,20000,50000,10000,45,7500,3000,9000,0,18,4,6,3.8,0.85,1,14211,5,2,2
321000193,1879048223,1895825439,NPC_ELITE_EUROP20CM_NORMAL_AR_01,ITEM_WEAPON_AR_01_G01,2,1,2,1,1,6,0,1,3,1,0,20000,50000,10000,90,7500,3000,15000,0,28,4,6,3.25,0.85,1,14213,5,2,2
321000961,1879048224,1895825440,NPC_ELITE_EUROP20CM_NORMAL_SG_01,ITEM_WEAPON_SG_01_G01,2,1,2,1,1,6,0,10,1,1,0,20000,50000,10000,90,7500,3000,15000,0,28,4,6,3.25,0.85,1,14216,5,2,2
321001217,1879048225,1895825441,NPC_ELITE_EUROP20CM_NORMAL_GRENADE_01,ITEM_WEAPON_GRENADE_ENEMY01_G01,2,1,2,1,1,6,0,1,8,2,2,20000,50000,10000,90,7500,3000,15000,2109698,0,8,12,3.8,0.85,1,14217,5,2,2
321000705,1879048227,1895825443,NPC_ELITE_EUROP20CM_NORMAL_SR_01,ITEM_WEAPON_SR_01_G01,2,1,2,1,1,6,0,1,7,1,0,20000,50000,10000,15,20000,3000,20000,0,45,4,6,3.8,0.85,1,14215,5,2,2
321008897,1879048228,1895825444,NPC_ELITE_EUROP20CM_TURRET_SR_01,WEAPON_EMPTY_01_SR,2,3,2,1,0,6,0,1,13,2,0,20000,50000,7500,45,30000,3000,30000,0,60,4,6,0,0.85,1,14235,5,2,2
321009409,1879048229,1895825445,NPC_ELITE_EUROP20CM_TURRET_GRENADE_01,NPC_NORMAL_EUROP20CM_TURRET_GRENADE_01_WEAPON,2,3,2,1,0,6,0,1,10,2,0,20000,50000,7500,45,30000,3000,30000,2105603,0,8,12,0,0.85,1,14237,5,2,2
322048257,1879048230,1895825446,NPC_BOSS_EUROP20CM_NORMAL_PISTOL_01,ITEM_WEAPON_PISTOL_ENEMY01_G01,3,1,2,0,0,6,0,1,1,1,0,20000,50000,30000,90,50000,50000,15000,0,45,4,6,6,0.85,1,14311,8,10,3
322048258,1879048231,1895825447,NPC_BOSS_EUROP20CM_NORMAL_PISTOL_02,ITEM_WEAPON_PISTOL_ENEMY01_G01,3,1,2,0,0,6,0,1,1,1,0,20000,50000,30000,90,50000,50000,15000,0,45,4,6,6,0.85,1,14311,8,10,3
322048259,1879048232,1895825448,NPC_BOSS_EUROP20CM_NORMAL_PISTOL_03,ITEM_WEAPON_PISTOL_ENEMY01_G01,3,1,2,0,0,6,0,1,1,1,0,20000,50000,30000,90,50000,50000,15000,0,45,4,6,6,0.85,1,14311,8,10,3
322048260,1879048233,1895825449,NPC_BOSS_EUROP20CM_NORMAL_PISTOL_04,ITEM_WEAPON_PISTOL_ENEMY01_G01,3,1,2,0,0,6,0,1,1,1,0,20000,50000,30000,90,50000,50000,15000,0,45,4,6,6,0.85,1,14311,8,10,3
322048261,1879048234,1895825450,NPC_BOSS_EUROP20CM_NORMAL_PISTOL_05,ITEM_WEAPON_PISTOL_ENEMY01_G01,3,1,2,0,0,6,0,1,1,1,0,20000,50000,30000,90,50000,50000,15000,0,45,4,6,6,0.85,1,14311,8,10,3
324018177,1879048660,1895825782,NPC_GOLDEN_COMMON_FAT_KNIFE_01,,5,2,0,0,0,0,0,1,0,0,3,20000,50000,30000,90,50000,50000,15000,0,45,4,6,4,0.85,1,14520,0,0,3
324019970,1879048660,1895825782,NPC_GOLDEN_COMMON_FAT_GRENADE_02,,5,2,0,0,0,0,0,1,8,2,3,20000,50000,30000,90,50000,50000,15000,0,45,4,6,3.5,0.85,1,14527,0,0,3
