PrimaryKey,Level,TitleKey,Action,RequireCount,SelectionFactor,Order,Point,RewardsKey00,RewardsCount00,RewardsKey01,RewardsCount01
1090519171,12,1879048646,2,3,1,3,20,572268545,2,572272641,500
1090519172,12,1879048647,3,2,1,4,20,572461058,1,572272641,500
1090519173,12,1879048648,4,1,1,5,20,572284929,2,572272641,500
1090519174,12,1879048649,5,1,1,6,20,572289025,2,572272641,500
1090519175,12,1879048650,6,2,1,7,20,572076033,10,572272641,500
1090519176,12,1879048651,7,5,1,8,20,572080129,10,572272641,500
1090519177,12,1879048652,8,2,1,9,20,572268545,2,572272641,500
1090519178,12,1879048653,9,5,1,10,20,572268545,2,572272641,500
1090519179,12,1879048654,10,20,1,11,20,572268545,2,572272641,500
1090519180,12,1879048655,11,10,1,12,20,572329985,20,572272641,500
1090519181,12,1879048656,12,10,1,13,20,572338177,20,572272641,500
1090519182,12,1879048657,13,10,1,14,20,572354561,20,572272641,500
1090519183,12,1879048658,14,10,1,15,20,572346369,20,572272641,500
1090519184,12,1879048659,15,10,1,16,20,572350465,20,572272641,500
