PrimaryKey,Group,Order,SelectionType,SelectionFactor,EffectKey
687866269,4390,10,0,1,705786390
687866270,4390,11,0,1,705896982
687866271,4390,12,0,1,705892886
687866272,4391,1,0,1,705761815
687866273,4391,2,0,1,705962519
687866274,4391,3,0,1,705966615
687866275,4391,4,0,1,705958423
687866276,4391,5,0,1,705782295
687866277,4391,6,0,1,705798679
687866278,4391,7,0,1,705765911
687866279,4391,8,0,1,705700375
687866280,4391,9,0,1,705810967
687866281,4391,10,0,1,705786391
687866282,4391,11,0,1,705896983
687866283,4391,12,0,1,705892887
687866284,4392,1,0,1,705761816
687866285,4392,2,0,1,705962520
687866286,4392,3,0,1,705966616
687866287,4392,4,0,1,705958424
687866288,4392,5,0,1,705782296
687866289,4392,6,0,1,705798680
687866290,4392,7,0,1,705765912
687866291,4392,8,0,1,705700376
687866292,4392,9,0,1,705810968
687866293,4392,10,0,1,705786392
687866294,4392,11,0,1,705896984
687866295,4392,12,0,1,705892888
687866296,4393,1,0,1,705761817
687866297,4393,2,0,1,705962521
687866298,4393,3,0,1,705966617
687866299,4393,4,0,1,705958425
687866300,4393,5,0,1,705782297
687866301,4393,6,0,1,705798681
687866302,4393,7,0,1,705765913
687866303,4393,8,0,1,705700377
687866304,4393,9,0,1,705810969
687866305,4393,10,0,1,705786393
687866306,4393,11,0,1,705896985
687866307,4393,12,0,1,705892889
687866308,4394,1,0,1,705761818
687866309,4394,2,0,1,705962522
687866310,4394,3,0,1,705966618
687866311,4394,4,0,1,705958426
687866312,4394,5,0,1,705782298
687866313,4394,6,0,1,705798682
687866314,4394,7,0,1,705765914
687866315,4394,8,0,1,705700378
687866316,4394,9,0,1,705810970
687866317,4394,10,0,1,705786394
687866318,4394,11,0,1,705896986
687866319,4394,12,0,1,705892890
687866320,4897,1,0,1,705761841
687866321,4897,2,0,1,705962545
687866322,4897,3,0,1,705966641
687866323,4897,4,0,1,705958449
687866324,4897,5,0,1,705782321
687866325,4897,6,0,1,705765937
687866326,4897,7,0,1,705700401
687866327,4897,8,0,1,705892913
687866328,4897,9,0,1,705810993
687866329,4897,10,0,1,705786417
687866330,4897,11,0,1,705815089
687866331,4897,12,0,1,705897009
687866332,4898,1,0,1,705761842
687866333,4898,2,0,1,705962546
687866334,4898,3,0,1,705966642
687866335,4898,4,0,1,705958450
687866336,4898,5,0,1,705782322
687866337,4898,6,0,1,705765938
687866338,4898,7,0,1,705700402
687866339,4898,8,0,1,705892914
687866340,4898,9,0,1,705810994
687866341,4898,10,0,1,705786418
687866342,4898,11,0,1,705815090
687866343,4898,12,0,1,705897010
687866344,4899,1,0,1,705761843
687866345,4899,2,0,1,705962547
687866346,4899,3,0,1,705966643
687866347,4899,4,0,1,705958451
687866348,4899,5,0,1,705782323
687866349,4899,6,0,1,705765939
687866350,4899,7,0,1,705700403
687866351,4899,8,0,1,705892915
687866352,4899,9,0,1,705810995
687866353,4899,10,0,1,705786419
687866354,4899,11,0,1,705815091
687866355,4899,12,0,1,705897011
687866356,4900,1,0,1,705761844
687866357,4900,2,0,1,705962548
687866358,4900,3,0,1,705966644
687866359,4900,4,0,1,705958452
687866360,4900,5,0,1,705782324
687866361,4900,6,0,1,705765940
687866362,4900,7,0,1,705700404
687866363,4900,8,0,1,705892916
687866364,4900,9,0,1,705810996
687866365,4900,10,0,1,705786420
687866366,4900,11,0,1,705815092
687866367,4900,12,0,1,705897012
687866368,4901,1,0,1,705761845
687866369,4901,2,0,1,705962549
687866370,4901,3,0,1,705966645
687866371,4901,4,0,1,705958453
687866372,4901,5,0,1,705782325
687866373,4901,6,0,1,705765941
687866374,4901,7,0,1,705700405
687866375,4901,8,0,1,705892917
687866376,4901,9,0,1,705810997
687866377,4901,10,0,1,705786421
687866378,4901,11,0,1,705815093
687866379,4901,12,0,1,705897013
687866380,5921,1,0,1,705761905
687866381,5921,2,0,1,705962609
687866382,5921,3,0,1,705966705
687866383,5921,4,0,1,705958513
687866384,5921,5,0,1,705782385
687866385,5921,6,0,1,705700465
687866386,5921,7,0,1,705766001
687866387,5921,8,0,1,705790577
687866388,5921,9,0,1,705770097
687866389,5922,1,0,1,705761906
687866390,5922,2,0,1,705962610
687866391,5922,3,0,1,705966706
687866392,5922,4,0,1,705958514
687866393,5922,5,0,1,705782386
687866394,5922,6,0,1,705700466
687866395,5922,7,0,1,705766002
687866396,5922,8,0,1,705790578
687866397,5922,9,0,1,705770098
687866398,5923,1,0,1,705761907
687866399,5923,2,0,1,705962611
687866400,5923,3,0,1,705966707
687866401,5923,4,0,1,705958515
687866402,5923,5,0,1,705782387
687866403,5923,6,0,1,705700467
687866404,5923,7,0,1,705766003
687866405,5923,8,0,1,705790579
687866406,5923,9,0,1,705770099
687866407,5924,1,0,1,705761908
687866408,5924,2,0,1,705962612
687866409,5924,3,0,1,705966708
687866410,5924,4,0,1,705958516
687866411,5924,5,0,1,705782388
687866412,5924,6,0,1,705700468
687866413,5924,7,0,1,705766004
687866414,5924,8,0,1,705790580
687866415,5924,9,0,1,705770100
687866416,5925,1,0,1,705761909
687866417,5925,2,0,1,705962613
687866418,5925,3,0,1,705966709
687866419,5925,4,0,1,705958517
687866420,5925,5,0,1,705782389
687866421,5925,6,0,1,705700469
687866422,5925,7,0,1,705766005
687866423,5925,8,0,1,705790581
687866424,5925,9,0,1,705770101
687866425,5926,1,0,1,705761910
687866426,5926,2,0,1,705962614
687866427,5926,3,0,1,705966710
687866428,5926,4,0,1,705958518
687866429,5926,5,0,1,705782390
687866430,5926,6,0,1,705700470
687866431,5926,7,0,1,705766006
687866432,5926,8,0,1,705790582
687866433,5926,9,0,1,705770102
687866434,5409,1,0,1,705761873
687866435,5409,2,0,1,705962577
687866436,5409,3,0,1,705966673
687866437,5409,4,0,1,705958481
687866438,5409,5,0,1,705782353
687866439,5409,6,0,1,705765969
687866440,5409,7,0,1,705811025
687866441,5409,8,0,1,705892945
687866442,5409,9,0,1,705897041
687866443,5409,10,0,1,705815121
687866444,5409,11,0,1,705708625
687866445,5409,12,0,1,705819217
687866446,5410,1,0,1,705761874
687866447,5410,2,0,1,705962578
687866448,5410,3,0,1,705966674
687866449,5410,4,0,1,705958482
687866450,5410,5,0,1,705782354
687866451,5410,6,0,1,705765970
687866452,5410,7,0,1,705811026
687866453,5410,8,0,1,705892946
687866454,5410,9,0,1,705897042
687866455,5410,10,0,1,705815122
687866456,5410,11,0,1,705708626
687866457,5410,12,0,1,705819218
687866458,5411,1,0,1,705761875
687866459,5411,2,0,1,705962579
687866460,5411,3,0,1,705966675
687866461,5411,4,0,1,705958483
687866462,5411,5,0,1,705782355
687866463,5411,6,0,1,705765971
687866464,5411,7,0,1,705811027
687866465,5411,8,0,1,705892947
687866466,5411,9,0,1,705897043
687866467,5411,10,0,1,705815123
687866468,5411,11,0,1,705708627
687866469,5411,12,0,1,705819219
687866470,5412,1,0,1,705761876
687866471,5412,2,0,1,705962580
687866472,5412,3,0,1,705966676
687866473,5412,4,0,1,705958484
687866474,5412,5,0,1,705782356
687866475,5412,6,0,1,705765972
687866476,5412,7,0,1,705811028
687866477,5412,8,0,1,705892948
687866478,5412,9,0,1,705897044
687866479,5412,10,0,1,705815124
687866480,5412,11,0,1,705708628
687866481,5412,12,0,1,705819220
687866482,5665,1,0,1,705761889
687866483,5665,2,0,1,705962593
687866484,5665,3,0,1,705966689
687866485,5665,4,0,1,705958497
687866486,5665,5,0,1,705782369
687866487,5665,6,0,1,705765985
687866488,5665,7,0,1,705700449
687866489,5665,8,0,1,705823329
687866490,5665,9,0,1,705819233
687866491,5665,10,0,1,705892961
687866492,5665,11,0,1,705897057
687866493,5666,1,0,1,705761890
687866494,5666,2,0,1,705962594
687866495,5666,3,0,1,705966690
687866496,5666,4,0,1,705958498
687866497,5666,5,0,1,705782370
687866498,5666,6,0,1,705765986
687866499,5666,7,0,1,705700450
687866500,5666,8,0,1,705823330
687866501,5666,9,0,1,705819234
687866502,5666,10,0,1,705892962
687866503,5666,11,0,1,705897058
687866504,5667,1,0,1,705761891
687866505,5667,2,0,1,705962595
687866506,5667,3,0,1,705966691
687866507,5667,4,0,1,705958499
687866508,5667,5,0,1,705782371
687866509,5667,6,0,1,705765987
687866510,5667,7,0,1,705700451
687866511,5667,8,0,1,705823331
687866512,5667,9,0,1,705819235
687866513,5667,10,0,1,705892963
687866514,5667,11,0,1,705897059
687866515,5668,1,0,1,705761892
687866516,5668,2,0,1,705962596
687866517,5668,3,0,1,705966692
687866518,5668,4,0,1,705958500
687866519,5668,5,0,1,705782372
687866520,5668,6,0,1,705765988
687866521,5668,7,0,1,705700452
687866522,5668,8,0,1,705823332
687866523,5668,9,0,1,705819236
687866524,5668,10,0,1,705892964
687866525,5668,11,0,1,705897060
687866526,4401,1,0,1,705762065
687866527,4401,2,0,1,705962769
687866528,4401,3,0,1,705966865
687866529,4401,4,0,1,705958673
687866530,4401,5,0,1,705782545
687866531,4401,6,0,1,705798929
687866532,4401,7,0,1,705766161
687866533,4401,8,0,1,705700625
687866534,4401,9,0,1,705811217
687866535,4401,10,0,1,705786641
687866536,4401,11,0,1,705819409
687866537,4401,12,0,1,705897233
687866538,4402,1,0,1,705762066
687866539,4402,2,0,1,705962770
687866540,4402,3,0,1,705966866
687866541,4402,4,0,1,705958674
687866542,4402,5,0,1,705782546
687866543,4402,6,0,1,705798930
687866544,4402,7,0,1,705766162
687866545,4402,8,0,1,705700626
687866546,4402,9,0,1,705811218
687866547,4402,10,0,1,705786642
687866548,4402,11,0,1,705819410
687866549,4402,12,0,1,705897234
687866550,4403,1,0,1,705762067
687866551,4403,2,0,1,705962771
687866552,4403,3,0,1,705966867
687866553,4403,4,0,1,705958675
687866554,4403,5,0,1,705782547
687866555,4403,6,0,1,705798931
687866556,4403,7,0,1,705766163
687866557,4403,8,0,1,705700627
687866558,4403,9,0,1,705811219
687866559,4403,10,0,1,705786643
687866560,4403,11,0,1,705819411
687866561,4403,12,0,1,705897235
687866562,4404,1,0,1,705762068
687866563,4404,2,0,1,705962772
687866564,4404,3,0,1,705966868
687866565,4404,4,0,1,705958676
687866566,4404,5,0,1,705782548
687866567,4404,6,0,1,705798932
687866568,4404,7,0,1,705766164
687866569,4404,8,0,1,705700628
687866570,4404,9,0,1,705811220
687866571,4404,10,0,1,705786644
687866572,4404,11,0,1,705819412
687866573,4404,12,0,1,705897236
687866574,4405,1,0,1,705762069
687866575,4405,2,0,1,705962773
687866576,4405,3,0,1,705966869
687866577,4405,4,0,1,705958677
687866578,4405,5,0,1,705782549
687866579,4405,6,0,1,705798933
687866580,4405,7,0,1,705766165
687866581,4405,8,0,1,705700629
687866582,4405,9,0,1,705811221
687866583,4405,10,0,1,705786645
687866584,4405,11,0,1,705897237
687866585,4405,12,0,1,705893141
687866586,4406,1,0,1,705762070
687866587,4406,2,0,1,705962774
687866588,4406,3,0,1,705966870
687866589,4406,4,0,1,705958678
687866590,4406,5,0,1,705782550
687866591,4406,6,0,1,705798934
687866592,4406,7,0,1,705766166
687866593,4406,8,0,1,705700630
687866594,4406,9,0,1,705811222
687866595,4406,10,0,1,705786646
687866596,4406,11,0,1,705897238
687866597,4406,12,0,1,705893142
687866598,4407,1,0,1,705762071
687866599,4407,2,0,1,705962775
687866600,4407,3,0,1,705966871
687866601,4407,4,0,1,705958679
687866602,4407,5,0,1,705782551
687866603,4407,6,0,1,705798935
687866604,4407,7,0,1,705766167
687866605,4407,8,0,1,705700631
687866606,4407,9,0,1,705811223
687866607,4407,10,0,1,705786647
687866608,4407,11,0,1,705897239
687866609,4407,12,0,1,705893143
687866610,4408,1,0,1,705762072
687866611,4408,2,0,1,705962776
687866612,4408,3,0,1,705966872
687866613,4408,4,0,1,705958680
687866614,4408,5,0,1,705782552
687866615,4408,6,0,1,705798936
687866616,4408,7,0,1,705766168
687866617,4408,8,0,1,705700632
687866618,4408,9,0,1,705811224
687866619,4408,10,0,1,705786648
687866620,4408,11,0,1,705897240
687866621,4408,12,0,1,705893144
687866622,4409,1,0,1,705762073
687866623,4409,2,0,1,705962777
687866624,4409,3,0,1,705966873
687866625,4409,4,0,1,705958681
687866626,4409,5,0,1,705782553
687866627,4409,6,0,1,705798937
687866628,4409,7,0,1,705766169
687866629,4409,8,0,1,705700633
687866630,4409,9,0,1,705811225
687866631,4409,10,0,1,705786649
687866632,4409,11,0,1,705897241
687866633,4409,12,0,1,705893145
687866634,4410,1,0,1,705762074
687866635,4410,2,0,1,705962778
687866636,4410,3,0,1,705966874
687866637,4410,4,0,1,705958682
687866638,4410,5,0,1,705782554
687866639,4410,6,0,1,705798938
687866640,4410,7,0,1,705766170
687866641,4410,8,0,1,705700634
687866642,4410,9,0,1,705811226
687866643,4410,10,0,1,705786650
687866644,4410,11,0,1,705897242
687866645,4410,12,0,1,705893146
687866646,4913,1,0,1,705762097
687866647,4913,2,0,1,705962801
687866648,4913,3,0,1,705966897
687866649,4913,4,0,1,705958705
687866650,4913,5,0,1,705782577
687866651,4913,6,0,1,705766193
687866652,4913,7,0,1,705700657
687866653,4913,8,0,1,705893169
687866654,4913,9,0,1,705811249
687866655,4913,10,0,1,705786673
687866656,4913,11,0,1,705815345
687866657,4913,12,0,1,705897265
687866658,4914,1,0,1,705762098
687866659,4914,2,0,1,705962802
687866660,4914,3,0,1,705966898
687866661,4914,4,0,1,705958706
687866662,4914,5,0,1,705782578
687866663,4914,6,0,1,705766194
687866664,4914,7,0,1,705700658
687866665,4914,8,0,1,705893170
687866666,4914,9,0,1,705811250
687866667,4914,10,0,1,705786674
687866668,4914,11,0,1,705815346
687866669,4914,12,0,1,705897266
687866670,4915,1,0,1,705762099
687866671,4915,2,0,1,705962803
687866672,4915,3,0,1,705966899
687866673,4915,4,0,1,705958707
687866674,4915,5,0,1,705782579
687866675,4915,6,0,1,705766195
687866676,4915,7,0,1,705700659
687866677,4915,8,0,1,705893171
687866678,4915,9,0,1,705811251
687866679,4915,10,0,1,705786675
687866680,4915,11,0,1,705815347
687866681,4915,12,0,1,705897267
687866682,4916,1,0,1,705762100
687866683,4916,2,0,1,705962804
687866684,4916,3,0,1,705966900
687866685,4916,4,0,1,705958708
687866686,4916,5,0,1,705782580
687866687,4916,6,0,1,705766196
687866688,4916,7,0,1,705700660
687866689,4916,8,0,1,705893172
687866690,4916,9,0,1,705811252
687866691,4916,10,0,1,705786676
687866692,4916,11,0,1,705815348
687866693,4916,12,0,1,705897268
687866694,4917,1,0,1,705762101
687866695,4917,2,0,1,705962805
687866696,4917,3,0,1,705966901
687866697,4917,4,0,1,705958709
687866698,4917,5,0,1,705782581
687866699,4917,6,0,1,705766197
