PrimaryKey,NameKey,DescKey,ContentsForGetKey00,ContentsForGetKey01,ContentsForGetKey02,ContentsForGetKey03,ContentsForGetKey04,ContentsForGetKey05,ContentsForGetKey06,ContentsForGetKey07,ContentsForGetKey08,ContentsForGetKey09,ContentsForUseKey00,ContentsForUseKey01,ContentsForUseKey02,ContentsForUseKey03,ContentsForUseKey04,ContentsForUseKey05,ContentsForUseKey06,ContentsForUseKey07,ContentsForUseKey08,ContentsForUseKey09,Type,SubType,Grade,icon,IconSymbol,Prefab,MaxStackCount
572354561,1879048251,1895825467,1930428420,1930428418,1930428421,1930428428,1930428431,0,0,0,0,0,1931477021,1931477036,1931477052,0,0,0,0,0,0,0,13,7,1,ICON_MATERIAL_MATERIAL_GRENADE_01,ICON_MATERIAL_MATERIAL,ITEM_MATERIAL_MATERIAL_GRENADE_01,999999999
572334081,1879048271,1895825487,1930428420,1930428418,1930428421,1930428428,1930428431,0,0,0,0,0,1931477016,1931477030,1931477052,0,0,0,0,0,0,0,13,2,1,ICON_MATERIAL_MATERIAL_SMG_01,ICON_MATERIAL_MATERIAL,ITEM_MATERIAL_MATERIAL_SMG_01,999999999
572350465,1879048252,1895825468,1930428420,1930428418,1930428421,1930428428,1930428431,0,0,0,0,0,1931477020,1931477035,1931477052,0,0,0,0,0,0,0,13,6,1,ICON_MATERIAL_MATERIAL_SG_01,ICON_MATERIAL_MATERIAL,ITEM_MATERIAL_MATERIAL_SG_01,999999999
572346369,1879048253,1895825469,1930428420,1930428418,1930428421,1930428428,1930428431,0,0,0,0,0,1931477019,1931477034,1931477052,0,0,0,0,0,0,0,13,5,1,ICON_MATERIAL_MATERIAL_SR_01,ICON_MATERIAL_MATERIAL,ITEM_MATERIAL_MATERIAL_SR_01,999999999
572067841,1879048272,1895825488,1930428420,1930428419,1930428421,1930428428,1930428431,0,0,0,0,0,1931477022,1931477037,0,0,0,0,0,0,0,0,9,1,1,ICON_MATERIAL_MATERIALG_HEAD_01,ICON_MATERIAL_MATERIALG,ITEM_MATERIAL_MATERIALG_HEAD_01,999999999
572071937,1879048273,1895825489,1930428420,1930428419,1930428421,1930428428,1930428431,0,0,0,0,0,1931477023,1931477038,0,0,0,0,0,0,0,0,9,2,1,ICON_MATERIAL_MATERIALG_UPPER_01,ICON_MATERIAL_MATERIALG,ITEM_MATERIAL_MATERIALG_UPPER_01,999999999
572076033,1879048274,1895825490,1930428420,1930428419,1930428421,1930428428,1930428431,0,0,0,0,0,1931477024,1931477039,0,0,0,0,0,0,0,0,9,3,1,ICON_MATERIAL_MATERIALG_HANDS_01,ICON_MATERIAL_MATERIALG,ITEM_MATERIAL_MATERIALG_HANDS_01,999999999
572080129,1879048275,1895825491,1930428420,1930428419,1930428421,1930428428,1930428431,0,0,0,0,0,1931477025,1931477040,0,0,0,0,0,0,0,0,9,4,1,ICON_MATERIAL_MATERIALG_LOWER_01,ICON_MATERIAL_MATERIALG,ITEM_MATERIAL_MATERIALG_LOWER_01,999999999
572198913,1879048276,1895825492,1930428418,0,0,0,0,0,0,0,0,0,1931477061,0,0,0,0,0,0,0,0,0,11,1,1,ICON_MATERIAL_TOKEN_NORMALWEAPON_01,ICON_MATERIAL_TOKEN,ITEM_MATERIAL_TOKEN_NORMALWEAPON_01,999999999
572203009,1879048277,1895825493,1930428431,1930428421,0,0,0,0,0,0,0,0,1931477062,0,0,0,0,0,0,0,0,0,11,2,1,ICON_MATERIAL_TOKEN_RAREWEAPON_01,ICON_MATERIAL_TOKEN,ITEM_MATERIAL_TOKEN_RAREWEAPON_01,999999999
572207105,1879048278,1895825494,1930428431,1930428421,0,0,0,0,0,0,0,0,1931477064,0,0,0,0,0,0,0,0,0,11,3,1,ICON_MATERIAL_TOKEN_MATERIAL_01,ICON_MATERIAL_TOKEN,ITEM_MATERIAL_TOKEN_MATERIAL_01,999999999
572280833,1879048279,1895825495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,1,ICON_MATERIAL_CURRENCY_BOOSTER_01,ICON_MATERIAL_CURRENCY,ITEM_MATERIAL_CURRENCY_BOOSTER_01,999999999
572276737,1879048280,1895825496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,1,ICON_MATERIAL_CURRENCY_WEAPONCHIP_01,ICON_MATERIAL_CURRENCY,ITEM_MATERIAL_CURRENCY_WEAPONCHIP_01,999999999
573325313,1879048280,1895825496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,2,ICON_MATERIAL_CURRENCY_WEAPONCHIP_01,ICON_MATERIAL_CURRENCY,ITEM_MATERIAL_CURRENCY_WEAPONCHIP_01,999999999
574373889,1879048280,1895825496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,3,ICON_MATERIAL_CURRENCY_WEAPONCHIP_01,ICON_MATERIAL_CURRENCY,ITEM_MATERIAL_CURRENCY_WEAPONCHIP_01,999999999
575422465,1879048280,1895825496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,4,ICON_MATERIAL_CURRENCY_WEAPONCHIP_01,ICON_MATERIAL_CURRENCY,ITEM_MATERIAL_CURRENCY_WEAPONCHIP_01,999999999
576471041,1879048280,1895825496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,5,ICON_MATERIAL_CURRENCY_WEAPONCHIP_01,ICON_MATERIAL_CURRENCY,ITEM_MATERIAL_CURRENCY_WEAPONCHIP_01,999999999
577519617,1879048280,1895825496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,6,ICON_MATERIAL_CURRENCY_WEAPONCHIP_01,ICON_MATERIAL_CURRENCY,ITEM_MATERIAL_CURRENCY_WEAPONCHIP_01,999999999
578568193,1879048280,1895825496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,7,ICON_MATERIAL_CURRENCY_WEAPONCHIP_01,ICON_MATERIAL_CURRENCY,ITEM_MATERIAL_CURRENCY_WEAPONCHIP_01,999999999
575934465,1879048673,1895825795,1930428428,1930428435,0,0,0,0,0,0,0,0,1931477055,1931477056,0,0,0,0,0,0,0,0,4,1,5,ICON_MATERIAL_CCARD_AVATAR1_01,ICON_MATERIAL_CCARD,ITEM_MATERIAL_CCARD_AVATAR1_01,999999999
575938562,1879048674,1895825796,1930428428,1930428435,0,0,0,0,0,0,0,0,1931477055,1931477056,0,0,0,0,0,0,0,0,4,2,5,ICON_MATERIAL_CCARD_AVATAR2_02,ICON_MATERIAL_CCARD,ITEM_MATERIAL_CCARD_AVATAR2_02,999999999
575942659,1879048675,1895825797,1930428428,1930428435,0,0,0,0,0,0,0,0,1931477055,1931477056,0,0,0,0,0,0,0,0,4,3,5,ICON_MATERIAL_CCARD_AVATAR3_03,ICON_MATERIAL_CCARD,ITEM_MATERIAL_CCARD_AVATAR3_03,999999999
575946756,1879048676,1895825798,1930428428,1930428435,0,0,0,0,0,0,0,0,1931477055,1931477056,0,0,0,0,0,0,0,0,4,4,5,ICON_MATERIAL_CCARD_AVATAR4_04,ICON_MATERIAL_CCARD,ITEM_MATERIAL_CCARD_AVATAR4_04,999999999
571785471,1879048281,1895825497,1930428428,1930428421,1930428436,0,0,0,0,0,0,0,1931477056,0,0,0,0,0,0,0,0,0,4,12,1,ICON_MATERIAL_CCARD_G1_255,ICON_MATERIAL_CCARD,ITEM_MATERIAL_CCARD_G1_255,999999999
572838143,1879048282,1895825498,1930428428,1930428421,1930428436,0,0,0,0,0,0,0,1931477056,0,0,0,0,0,0,0,0,0,4,13,2,ICON_MATERIAL_CCARD_G2_255,ICON_MATERIAL_CCARD,ITEM_MATERIAL_CCARD_G2_255,999999999
573890815,1879048283,1895825499,1930428428,1930428421,1930428436,0,0,0,0,0,0,0,1931477056,0,0,0,0,0,0,0,0,0,4,14,3,ICON_MATERIAL_CCARD_G3_255,ICON_MATERIAL_CCARD,ITEM_MATERIAL_CCARD_G3_255,999999999
574943487,1879048284,1895825500,1930428428,1930428421,1930428436,0,0,0,0,0,0,0,1931477056,0,0,0,0,0,0,0,0,0,4,15,4,ICON_MATERIAL_CCARD_G4_255,ICON_MATERIAL_CCARD,ITEM_MATERIAL_CCARD_G4_255,999999999
572133377,1879048422,1895825638,1930428428,1930428431,0,0,0,0,0,0,0,0,1931477042,1931477054,0,0,0,0,0,0,0,0,10,1,1,ICON_MATERIAL_PART_PISTOL_01,ICON_MATERIAL_PART,ITEM_MATERIAL_PART_PISTOL_01,999999999
573181953,1879048422,1895825638,1930428428,1930428431,0,0,0,0,0,0,0,0,1931477042,1931477054,0,0,0,0,0,0,0,0,10,1,2,ICON_MATERIAL_PART_PISTOL_01,ICON_MATERIAL_PART,ITEM_MATERIAL_PART_PISTOL_01,999999999
574230529,1879048422,1895825638,1930428428,1930428431,0,0,0,0,0,0,0,0,1931477042,1931477054,0,0,0,0,0,0,0,0,10,1,3,ICON_MATERIAL_PART_PISTOL_01,ICON_MATERIAL_PART,ITEM_MATERIAL_PART_PISTOL_01,999999999
575279105,1879048422,1895825638,1930428428,1930428431,0,0,0,0,0,0,0,0,1931477042,1931477054,0,0,0,0,0,0,0,0,10,1,4,ICON_MATERIAL_PART_PISTOL_01,ICON_MATERIAL_PART,ITEM_MATERIAL_PART_PISTOL_01,999999999
576327681,1879048422,1895825638,1930428428,1930428431,0,0,0,0,0,0,0,0,1931477042,1931477054,0,0,0,0,0,0,0,0,10,1,5,ICON_MATERIAL_PART_PISTOL_01,ICON_MATERIAL_PART,ITEM_MATERIAL_PART_PISTOL_01,999999999
577376257,1879048422,1895825638,1930428428,1930428431,0,0,0,0,0,0,0,0,1931477042,1931477054,0,0,0,0,0,0,0,0,10,1,6,ICON_MATERIAL_PART_PISTOL_01,ICON_MATERIAL_PART,ITEM_MATERIAL_PART_PISTOL_01,999999999
573181954,1879048423,1895825639,1930428428,1930428431,1930428436,0,0,0,0,0,0,0,1931477042,1931477054,0,0,0,0,0,0,0,0,10,1,2,ICON_MATERIAL_PART_PISTOL_02,ICON_MATERIAL_PART,ITEM_MATERIAL_PART_PISTOL_02,999999999
574230530,1879048423,1895825639,1930428428,1930428431,1930428436,0,0,0,0,0,0,0,1931477042,1931477054,0,0,0,0,0,0,0,0,10,1,3,ICON_MATERIAL_PART_PISTOL_02,ICON_MATERIAL_PART,ITEM_MATERIAL_PART_PISTOL_02,999999999
575279106,1879048423,1895825639,1930428428,1930428431,1930428436,0,0,0,0,0,0,0,1931477042,1931477054,0,0,0,0,0,0,0,0,10,1,4,ICON_MATERIAL_PART_PISTOL_02,ICON_MATERIAL_PART,ITEM_MATERIAL_PART_PISTOL_02,999999999
576327682,1879048423,1895825639,1930428428,1930428431,1930428436,0,0,0,0,0,0,0,1931477042,1931477054,0,0,0,0,0,0,0,0,10,1,5,ICON_MATERIAL_PART_PISTOL_02,ICON_MATERIAL_PART,ITEM_MATERIAL_PART_PISTOL_02,999999999
577376258,1879048423,1895825639,1930428428,1930428431,1930428436,0,0,0,0,0,0,0,1931477042,1931477054,0,0,0,0,0,0,0,0,10,1,6,ICON_MATERIAL_PART_PISTOL_02,ICON_MATERIAL_PART,ITEM_MATERIAL_PART_PISTOL_02,999999999
574230531,1879048424,1895825640,1930428428,1930428431,1930428436,0,0,0,0,0,0,0,1931477042,1931477054,0,0,0,0,0,0,0,0,10,1,3,ICON_MATERIAL_PART_PISTOL_03,ICON_MATERIAL_PART,ITEM_MATERIAL_PART_PISTOL_03,999999999
575279107,1879048424,1895825640,1930428428,1930428431,1930428436,0,0,0,0,0,0,0,1931477042,1931477054,0,0,0,0,0,0,0,0,10,1,4,ICON_MATERIAL_PART_PISTOL_03,ICON_MATERIAL_PART,ITEM_MATERIAL_PART_PISTOL_03,999999999
576327683,1879048424,1895825640,1930428428,1930428431,1930428436,0,0,0,0,0,0,0,1931477042,1931477054,0,0,0,0,0,0,0,0,10,1,5,ICON_MATERIAL_PART_PISTOL_03,ICON_MATERIAL_PART,ITEM_MATERIAL_PART_PISTOL_03,999999999
577376259,1879048424,1895825640,1930428428,1930428431,1930428436,0,0,0,0,0,0,0,1931477042,1931477054,0,0,0,0,0,0,0,0,10,1,6,ICON_MATERIAL_PART_PISTOL_03,ICON_MATERIAL_PART,ITEM_MATERIAL_PART_PISTOL_03,999999999
575279108,1879048425,1895825641,1930428428,1930428431,1930428436,0,0,0,0,0,0,0,1931477042,1931477054,0,0,0,0,0,0,0,0,10,1,4,ICON_MATERIAL_PART_PISTOL_04,ICON_MATERIAL_PART,ITEM_MATERIAL_PART_PISTOL_04,999999999
576327684,1879048425,1895825641,1930428428,1930428431,1930428436,0,0,0,0,0,0,0,1931477042,1931477054,0,0,0,0,0,0,0,0,10,1,5,ICON_MATERIAL_PART_PISTOL_04,ICON_MATERIAL_PART,ITEM_MATERIAL_PART_PISTOL_04,999999999
577376260,1879048425,1895825641,1930428428,1930428431,1930428436,0,0,0,0,0,0,0,1931477042,1931477054,0,0,0,0,0,0,0,0,10,1,6,ICON_MATERIAL_PART_PISTOL_04,ICON_MATERIAL_PART,ITEM_MATERIAL_PART_PISTOL_04,999999999
572141569,1879048429,1895825645,1930428428,1930428431,0,0,0,0,0,0,0,0,1931477042,1931477054,0,0,0,0,0,0,0,0,10,3,1,ICON_MATERIAL_PART_AR_01,ICON_MATERIAL_PART,ITEM_MATERIAL_PART_AR_01,999999999
573190145,1879048429,1895825645,1930428428,1930428431,0,0,0,0,0,0,0,0,1931477043,1931477054,0,0,0,0,0,0,0,0,10,3,2,ICON_MATERIAL_PART_AR_01,ICON_MATERIAL_PART,ITEM_MATERIAL_PART_AR_01,999999999
574238721,1879048429,1895825645,1930428428,1930428431,0,0,0,0,0,0,0,0,1931477043,1931477054,0,0,0,0,0,0,0,0,10,3,3,ICON_MATERIAL_PART_AR_01,ICON_MATERIAL_PART,ITEM_MATERIAL_PART_AR_01,999999999
575287297,1879048429,1895825645,1930428428,1930428431,0,0,0,0,0,0,0,0,1931477043,1931477054,0,0,0,0,0,0,0,0,10,3,4,ICON_MATERIAL_PART_AR_01,ICON_MATERIAL_PART,ITEM_MATERIAL_PART_AR_01,999999999
576335873,1879048429,1895825645,1930428428,1930428431,0,0,0,0,0,0,0,0,1931477043,1931477054,0,0,0,0,0,0,0,0,10,3,5,ICON_MATERIAL_PART_AR_01,ICON_MATERIAL_PART,ITEM_MATERIAL_PART_AR_01,999999999
577384449,1879048429,1895825645,1930428428,1930428431,0,0,0,0,0,0,0,0,1931477043,1931477054,0,0,0,0,0,0,0,0,10,3,6,ICON_MATERIAL_PART_AR_01,ICON_MATERIAL_PART,ITEM_MATERIAL_PART_AR_01,999999999
573190146,1879048430,1895825646,1930428428,1930428431,1930428436,0,0,0,0,0,0,0,1931477043,1931477054,0,0,0,0,0,0,0,0,10,3,2,ICON_MATERIAL_PART_AR_02,ICON_MATERIAL_PART,ITEM_MATERIAL_PART_AR_02,999999999
574238722,1879048430,1895825646,1930428428,1930428431,1930428436,0,0,0,0,0,0,0,1931477043,1931477054,0,0,0,0,0,0,0,0,10,3,3,ICON_MATERIAL_PART_AR_02,ICON_MATERIAL_PART,ITEM_MATERIAL_PART_AR_02,999999999
575287298,1879048430,1895825646,1930428428,1930428431,1930428436,0,0,0,0,0,0,0,1931477043,1931477054,0,0,0,0,0,0,0,0,10,3,4,ICON_MATERIAL_PART_AR_02,ICON_MATERIAL_PART,ITEM_MATERIAL_PART_AR_02,999999999
576335874,1879048430,1895825646,1930428428,1930428431,1930428436,0,0,0,0,0,0,0,1931477043,1931477054,0,0,0,0,0,0,0,0,10,3,5,ICON_MATERIAL_PART_AR_02,ICON_MATERIAL_PART,ITEM_MATERIAL_PART_AR_02,999999999
577384450,1879048430,1895825646,1930428428,1930428431,1930428436,0,0,0,0,0,0,0,1931477043,1931477054,0,0,0,0,0,0,0,0,10,3,6,ICON_MATERIAL_PART_AR_02,ICON_MATERIAL_PART,ITEM_MATERIAL_PART_AR_02,999999999
574238723,1879048431,1895825647,1930428428,1930428431,1930428436,0,0,0,0,0,0,0,1931477043,1931477054,0,0,0,0,0,0,0,0,10,3,3,ICON_MATERIAL_PART_AR_03,ICON_MATERIAL_PART,ITEM_MATERIAL_PART_AR_03,999999999
575287299,1879048431,1895825647,1930428428,1930428431,1930428436,0,0,0,0,0,0,0,1931477043,1931477054,0,0,0,0,0,0,0,0,10,3,4,ICON_MATERIAL_PART_AR_03,ICON_MATERIAL_PART,ITEM_MATERIAL_PART_AR_03,999999999
576335875,1879048431,1895825647,1930428428,1930428431,1930428436,0,0,0,0,0,0,0,1931477043,1931477054,0,0,0,0,0,0,0,0,10,3,5,ICON_MATERIAL_PART_AR_03,ICON_MATERIAL_PART,ITEM_MATERIAL_PART_AR_03,999999999
577384451,1879048431,1895825647,1930428428,1930428431,1930428436,0,0,0,0,0,0,0,1931477043,1931477054,0,0,0,0,0,0,0,0,10,3,6,ICON_MATERIAL_PART_AR_03,ICON_MATERIAL_PART,ITEM_MATERIAL_PART_AR_03,999999999
575287300,1879048432,1895825648,1930428428,1930428431,1930428436,0,0,0,0,0,0,0,1931477043,1931477054,0,0,0,0,0,0,0,0,10,3,4,ICON_MATERIAL_PART_AR_04,ICON_MATERIAL_PART,ITEM_MATERIAL_PART_AR_04,999999999
576335876,1879048432,1895825648,1930428428,1930428431,1930428436,0,0,0,0,0,0,0,1931477043,1931477054,0,0,0,0,0,0,0,0,10,3,5,ICON_MATERIAL_PART_AR_04,ICON_MATERIAL_PART,ITEM_MATERIAL_PART_AR_04,999999999
577384452,1879048432,1895825648,1930428428,1930428431,1930428436,0,0,0,0,0,0,0,1931477043,1931477054,0,0,0,0,0,0,0,0,10,3,6,ICON_MATERIAL_PART_AR_04,ICON_MATERIAL_PART,ITEM_MATERIAL_PART_AR_04,999999999
572157953,1879048436,1895825652,1930428428,1930428431,0,0,0,0,0,0,0,0,1931477043,1931477054,0,0,0,0,0,0,0,0,10,7,1,ICON_MATERIAL_PART_GRENADE_01,ICON_MATERIAL_PART,ITEM_MATERIAL_PART_GRENADE_01,999999999
573206529,1879048436,1895825652,1930428428,1930428431,0,0,0,0,0,0,0,0,1931477046,1931477054,0,0,0,0,0,0,0,0,10,7,2,ICON_MATERIAL_PART_GRENADE_01,ICON_MATERIAL_PART,ITEM_MATERIAL_PART_GRENADE_01,999999999
574255105,1879048436,1895825652,1930428428,1930428431,0,0,0,0,0,0,0,0,1931477046,1931477054,0,0,0,0,0,0,0,0,10,7,3,ICON_MATERIAL_PART_GRENADE_01,ICON_MATERIAL_PART,ITEM_MATERIAL_PART_GRENADE_01,999999999
575303681,1879048436,1895825652,1930428428,1930428431,0,0,0,0,0,0,0,0,1931477046,1931477054,0,0,0,0,0,0,0,0,10,7,4,ICON_MATERIAL_PART_GRENADE_01,ICON_MATERIAL_PART,ITEM_MATERIAL_PART_GRENADE_01,999999999
576352257,1879048436,1895825652,1930428428,1930428431,0,0,0,0,0,0,0,0,1931477046,1931477054,0,0,0,0,0,0,0,0,10,7,5,ICON_MATERIAL_PART_GRENADE_01,ICON_MATERIAL_PART,ITEM_MATERIAL_PART_GRENADE_01,999999999
577400833,1879048436,1895825652,1930428428,1930428431,0,0,0,0,0,0,0,0,1931477046,1931477054,0,0,0,0,0,0,0,0,10,7,6,ICON_MATERIAL_PART_GRENADE_01,ICON_MATERIAL_PART,ITEM_MATERIAL_PART_GRENADE_01,999999999
573206530,1879048437,1895825653,1930428428,1930428431,1930428436,0,0,0,0,0,0,0,1931477046,1931477054,0,0,0,0,0,0,0,0,10,7,2,ICON_MATERIAL_PART_GRENADE_02,ICON_MATERIAL_PART,ITEM_MATERIAL_PART_GRENADE_02,999999999
574255106,1879048437,1895825653,1930428428,1930428431,1930428436,0,0,0,0,0,0,0,1931477046,1931477054,0,0,0,0,0,0,0,0,10,7,3,ICON_MATERIAL_PART_GRENADE_02,ICON_MATERIAL_PART,ITEM_MATERIAL_PART_GRENADE_02,999999999
575303682,1879048437,1895825653,1930428428,1930428431,1930428436,0,0,0,0,0,0,0,1931477046,1931477054,0,0,0,0,0,0,0,0,10,7,4,ICON_MATERIAL_PART_GRENADE_02,ICON_MATERIAL_PART,ITEM_MATERIAL_PART_GRENADE_02,999999999
576352258,1879048437,1895825653,1930428428,1930428431,1930428436,0,0,0,0,0,0,0,1931477046,1931477054,0,0,0,0,0,0,0,0,10,7,5,ICON_MATERIAL_PART_GRENADE_02,ICON_MATERIAL_PART,ITEM_MATERIAL_PART_GRENADE_02,999999999
577400834,1879048437,1895825653,1930428428,1930428431,1930428436,0,0,0,0,0,0,0,1931477046,1931477054,0,0,0,0,0,0,0,0,10,7,6,ICON_MATERIAL_PART_GRENADE_02,ICON_MATERIAL_PART,ITEM_MATERIAL_PART_GRENADE_02,999999999
574255107,1879048438,1895825654,1930428428,1930428431,1930428436,0,0,0,0,0,0,0,1931477046,1931477054,0,0,0,0,0,0,0,0,10,7,3,ICON_MATERIAL_PART_GRENADE_03,ICON_MATERIAL_PART,ITEM_MATERIAL_PART_GRENADE_03,999999999
575303683,1879048438,1895825654,1930428428,1930428431,1930428436,0,0,0,0,0,0,0,1931477046,1931477054,0,0,0,0,0,0,0,0,10,7,4,ICON_MATERIAL_PART_GRENADE_03,ICON_MATERIAL_PART,ITEM_MATERIAL_PART_GRENADE_03,999999999
576352259,1879048438,1895825654,1930428428,1930428431,1930428436,0,0,0,0,0,0,0,1931477046,1931477054,0,0,0,0,0,0,0,0,10,7,5,ICON_MATERIAL_PART_GRENADE_03,ICON_MATERIAL_PART,ITEM_MATERIAL_PART_GRENADE_03,999999999
577400835,1879048438,1895825654,1930428428,1930428431,1930428436,0,0,0,0,0,0,0,1931477046,1931477054,0,0,0,0,0,0,0,0,10,7,6,ICON_MATERIAL_PART_GRENADE_03,ICON_MATERIAL_PART,ITEM_MATERIAL_PART_GRENADE_03,999999999
575303684,1879048439,1895825655,1930428428,1930428431,1930428436,0,0,0,0,0,0,0,1931477046,1931477054,0,0,0,0,0,0,0,0,10,7,4,ICON_MATERIAL_PART_GRENADE_04,ICON_MATERIAL_PART,ITEM_MATERIAL_PART_GRENADE_04,999999999
576352260,1879048439,1895825655,1930428428,1930428431,1930428436,0,0,0,0,0,0,0,1931477046,1931477054,0,0,0,0,0,0,0,0,10,7,5,ICON_MATERIAL_PART_GRENADE_04,ICON_MATERIAL_PART,ITEM_MATERIAL_PART_GRENADE_04,999999999
577400836,1879048439,1895825655,1930428428,1930428431,1930428436,0,0,0,0,0,0,0,1931477046,1931477054,0,0,0,0,0,0,0,0,10,7,6,ICON_MATERIAL_PART_GRENADE_04,ICON_MATERIAL_PART,ITEM_MATERIAL_PART_GRENADE_04,999999999
572149761,1879048443,1895825659,1930428428,1930428431,0,0,0,0,0,0,0,0,1931477044,1931477054,0,0,0,0,0,0,0,0,10,5,1,ICON_MATERIAL_PART_SR_01,ICON_MATERIAL_PART,ITEM_MATERIAL_PART_SR_01,999999999
573198337,1879048443,1895825659,1930428428,1930428431,0,0,0,0,0,0,0,0,1931477044,1931477054,0,0,0,0,0,0,0,0,10,5,2,ICON_MATERIAL_PART_SR_01,ICON_MATERIAL_PART,ITEM_MATERIAL_PART_SR_01,999999999
574246913,1879048443,1895825659,1930428428,1930428431,0,0,0,0,0,0,0,0,1931477044,1931477054,0,0,0,0,0,0,0,0,10,5,3,ICON_MATERIAL_PART_SR_01,ICON_MATERIAL_PART,ITEM_MATERIAL_PART_SR_01,999999999
575295489,1879048443,1895825659,1930428428,1930428431,0,0,0,0,0,0,0,0,1931477044,1931477054,0,0,0,0,0,0,0,0,10,5,4,ICON_MATERIAL_PART_SR_01,ICON_MATERIAL_PART,ITEM_MATERIAL_PART_SR_01,999999999
