PrimaryKey,NameKey,DescKey,Icon,IconSymbol,Grade,Type,Level,Prefab,MoveSpeed,DefencePowerStandard,HPStandard,EquipEffectGroup,EquipEffectSelectionCount,UpgradeMaterialKey,ReinforceMaterialKey,LimitbreakMaterialKey00,LimitbreakMaterialKey01,LimitbreakMaterialKey02,LimitbreakMaterialKey03,LimitbreakMaterialKey04,LimitbreakMaterialKey05,LimitbreakMaterialKey06,RecycleMaterialKey00,RecycleMaterialKey01,RecycleMaterialKey02,RecycleMaterialKey03,RecycleMaterialKey04,RecycleMaterialCount00,RecycleMaterialCount01,RecycleMaterialCount02,RecycleMaterialCount03,RecycleMaterialCount04
591474689,1879048555,1895825712,ICON_GEAR_HEAD_03_G04,ICON_GEAR_COMMON,4,1,1,ITEM_GEAR_HEAD_03_G04,0,29,44,24899,4,572067841,572284929,571936769,571936770,571936771,571936772,571936773,571936774,571936775,572272641,572067841,572198913,0,0,1000,15,1,0,0
591478785,1879048556,1895825713,ICON_GEAR_HEAD_04_G04,ICON_GEAR_COMMON,4,1,1,ITEM_GEAR_HEAD_04_G04,0,29,44,24900,4,572067841,572284929,571936769,571936770,571936771,571936772,571936773,571936774,571936775,572272641,572067841,572198913,0,0,1000,15,1,0,0
588386305,1879048557,1895825714,ICON_GEAR_UPPER_01_G01,ICON_GEAR_COMMON,1,2,1,ITEM_GEAR_UPPER_01_G01,0,4,29,25105,1,572071937,572284929,571940865,571940866,571940867,571940868,571940869,571940870,571940871,572272641,572071937,572198913,0,0,25,3,1,0,0
588390401,1879048558,1895825715,ICON_GEAR_UPPER_02_G01,ICON_GEAR_COMMON,1,2,1,ITEM_GEAR_UPPER_02_G01,0,4,29,25106,1,572071937,572284929,571940865,571940866,571940867,571940868,571940869,571940870,571940871,572272641,572071937,572198913,0,0,25,3,1,0,0
588394497,1879048559,1895825716,ICON_GEAR_UPPER_03_G01,ICON_GEAR_COMMON,1,2,1,ITEM_GEAR_UPPER_03_G01,0,4,29,25107,1,572071937,572284929,571940865,571940866,571940867,571940868,571940869,571940870,571940871,572272641,572071937,572198913,0,0,25,3,1,0,0
588398593,1879048560,1895825717,ICON_GEAR_UPPER_04_G01,ICON_GEAR_COMMON,1,2,1,ITEM_GEAR_UPPER_04_G01,0,4,29,25108,1,572071937,572284929,571940865,571940866,571940867,571940868,571940869,571940870,571940871,572272641,572071937,572198913,0,0,25,3,1,0,0
589434881,1879048557,1895825714,ICON_GEAR_UPPER_01_G02,ICON_GEAR_COMMON,2,2,1,ITEM_GEAR_UPPER_01_G02,0,6,58,25121,2,572071937,572284929,571940865,571940866,571940867,571940868,571940869,571940870,571940871,572272641,572071937,572198913,0,0,100,6,1,0,0
589438977,1879048558,1895825715,ICON_GEAR_UPPER_02_G02,ICON_GEAR_COMMON,2,2,1,ITEM_GEAR_UPPER_02_G02,0,6,58,25122,2,572071937,572284929,571940865,571940866,571940867,571940868,571940869,571940870,571940871,572272641,572071937,572198913,0,0,100,6,1,0,0
589443073,1879048559,1895825716,ICON_GEAR_UPPER_03_G02,ICON_GEAR_COMMON,2,2,1,ITEM_GEAR_UPPER_03_G02,0,6,58,25123,2,572071937,572284929,571940865,571940866,571940867,571940868,571940869,571940870,571940871,572272641,572071937,572198913,0,0,100,6,1,0,0
589447169,1879048560,1895825717,ICON_GEAR_UPPER_04_G02,ICON_GEAR_COMMON,2,2,1,ITEM_GEAR_UPPER_04_G02,0,6,58,25124,2,572071937,572284929,571940865,571940866,571940867,571940868,571940869,571940870,571940871,572272641,572071937,572198913,0,0,100,6,1,0,0
590483457,1879048557,1895825714,ICON_GEAR_UPPER_01_G03,ICON_GEAR_COMMON,3,2,1,ITEM_GEAR_UPPER_01_G03,0,9,88,25137,3,572071937,572284929,571940865,571940866,571940867,571940868,571940869,571940870,571940871,572272641,572071937,572198913,0,0,500,10,1,0,0
590487553,1879048558,1895825715,ICON_GEAR_UPPER_02_G03,ICON_GEAR_COMMON,3,2,1,ITEM_GEAR_UPPER_02_G03,0,9,88,25138,3,572071937,572284929,571940865,571940866,571940867,571940868,571940869,571940870,571940871,572272641,572071937,572198913,0,0,500,10,1,0,0
590491649,1879048559,1895825716,ICON_GEAR_UPPER_03_G03,ICON_GEAR_COMMON,3,2,1,ITEM_GEAR_UPPER_03_G03,0,9,88,25139,3,572071937,572284929,571940865,571940866,571940867,571940868,571940869,571940870,571940871,572272641,572071937,572198913,0,0,500,10,1,0,0
590495745,1879048560,1895825717,ICON_GEAR_UPPER_04_G03,ICON_GEAR_COMMON,3,2,1,ITEM_GEAR_UPPER_04_G03,0,9,88,25140,3,572071937,572284929,571940865,571940866,571940867,571940868,571940869,571940870,571940871,572272641,572071937,572198913,0,0,500,10,1,0,0
591532033,1879048557,1895825714,ICON_GEAR_UPPER_01_G04,ICON_GEAR_COMMON,4,2,1,ITEM_GEAR_UPPER_01_G04,0,12,117,25153,4,572071937,572284929,571940865,571940866,571940867,571940868,571940869,571940870,571940871,572272641,572071937,572198913,0,0,1000,15,1,0,0
591536129,1879048558,1895825715,ICON_GEAR_UPPER_02_G04,ICON_GEAR_COMMON,4,2,1,ITEM_GEAR_UPPER_02_G04,0,12,117,25154,4,572071937,572284929,571940865,571940866,571940867,571940868,571940869,571940870,571940871,572272641,572071937,572198913,0,0,1000,15,1,0,0
591540225,1879048559,1895825716,ICON_GEAR_UPPER_03_G04,ICON_GEAR_COMMON,4,2,1,ITEM_GEAR_UPPER_03_G04,0,12,117,25155,4,572071937,572284929,571940865,571940866,571940867,571940868,571940869,571940870,571940871,572272641,572071937,572198913,0,0,1000,15,1,0,0
591544321,1879048560,1895825717,ICON_GEAR_UPPER_04_G04,ICON_GEAR_COMMON,4,2,1,ITEM_GEAR_UPPER_04_G04,0,12,117,25156,4,572071937,572284929,571940865,571940866,571940867,571940868,571940869,571940870,571940871,572272641,572071937,572198913,0,0,1000,15,1,0,0
588451841,1879048561,1895825718,ICON_GEAR_HANDS_01_G01,ICON_GEAR_COMMON,1,3,1,ITEM_GEAR_HANDS_01_G01,0,3,33,25361,1,572076033,572284929,571944961,571944962,571944963,571944964,571944965,571944966,571944967,572272641,572076033,572198913,0,0,25,3,1,0,0
588455937,1879048562,1895825719,ICON_GEAR_HANDS_02_G01,ICON_GEAR_COMMON,1,3,1,ITEM_GEAR_HANDS_02_G01,0,3,33,25362,1,572076033,572284929,571944961,571944962,571944963,571944964,571944965,571944966,571944967,572272641,572076033,572198913,0,0,25,3,1,0,0
588460033,1879048563,1895825720,ICON_GEAR_HANDS_03_G01,ICON_GEAR_COMMON,1,3,1,ITEM_GEAR_HANDS_03_G01,0,3,33,25363,1,572076033,572284929,571944961,571944962,571944963,571944964,571944965,571944966,571944967,572272641,572076033,572198913,0,0,25,3,1,0,0
588464129,1879048564,1895825721,ICON_GEAR_HANDS_04_G01,ICON_GEAR_COMMON,1,3,1,ITEM_GEAR_HANDS_04_G01,0,3,33,25364,1,572076033,572284929,571944961,571944962,571944963,571944964,571944965,571944966,571944967,572272641,572076033,572198913,0,0,25,3,1,0,0
589500417,1879048561,1895825718,ICON_GEAR_HANDS_01_G02,ICON_GEAR_COMMON,2,3,1,ITEM_GEAR_HANDS_01_G02,0,5,66,25377,2,572076033,572284929,571944961,571944962,571944963,571944964,571944965,571944966,571944967,572272641,572076033,572198913,0,0,100,6,1,0,0
589504513,1879048562,1895825719,ICON_GEAR_HANDS_02_G02,ICON_GEAR_COMMON,2,3,1,ITEM_GEAR_HANDS_02_G02,0,5,66,25378,2,572076033,572284929,571944961,571944962,571944963,571944964,571944965,571944966,571944967,572272641,572076033,572198913,0,0,100,6,1,0,0
589508609,1879048563,1895825720,ICON_GEAR_HANDS_03_G02,ICON_GEAR_COMMON,2,3,1,ITEM_GEAR_HANDS_03_G02,0,5,66,25379,2,572076033,572284929,571944961,571944962,571944963,571944964,571944965,571944966,571944967,572272641,572076033,572198913,0,0,100,6,1,0,0
589512705,1879048564,1895825721,ICON_GEAR_HANDS_04_G02,ICON_GEAR_COMMON,2,3,1,ITEM_GEAR_HANDS_04_G02,0,5,66,25380,2,572076033,572284929,571944961,571944962,571944963,571944964,571944965,571944966,571944967,572272641,572076033,572198913,0,0,100,6,1,0,0
590548993,1879048561,1895825718,ICON_GEAR_HANDS_01_G03,ICON_GEAR_COMMON,3,3,1,ITEM_GEAR_HANDS_01_G03,0,7,99,25393,3,572076033,572284929,571944961,571944962,571944963,571944964,571944965,571944966,571944967,572272641,572076033,572198913,0,0,500,10,1,0,0
590553089,1879048562,1895825719,ICON_GEAR_HANDS_02_G03,ICON_GEAR_COMMON,3,3,1,ITEM_GEAR_HANDS_02_G03,0,7,99,25394,3,572076033,572284929,571944961,571944962,571944963,571944964,571944965,571944966,571944967,572272641,572076033,572198913,0,0,500,10,1,0,0
590557185,1879048563,1895825720,ICON_GEAR_HANDS_03_G03,ICON_GEAR_COMMON,3,3,1,ITEM_GEAR_HANDS_03_G03,0,7,99,25395,3,572076033,572284929,571944961,571944962,571944963,571944964,571944965,571944966,571944967,572272641,572076033,572198913,0,0,500,10,1,0,0
590561281,1879048564,1895825721,ICON_GEAR_HANDS_04_G03,ICON_GEAR_COMMON,3,3,1,ITEM_GEAR_HANDS_04_G03,0,7,99,25396,3,572076033,572284929,571944961,571944962,571944963,571944964,571944965,571944966,571944967,572272641,572076033,572198913,0,0,500,10,1,0,0
591597569,1879048561,1895825718,ICON_GEAR_HANDS_01_G04,ICON_GEAR_COMMON,4,3,1,ITEM_GEAR_HANDS_01_G04,0,9,132,25409,4,572076033,572284929,571944961,571944962,571944963,571944964,571944965,571944966,571944967,572272641,572076033,572198913,0,0,1000,15,1,0,0
591601665,1879048562,1895825719,ICON_GEAR_HANDS_02_G04,ICON_GEAR_COMMON,4,3,1,ITEM_GEAR_HANDS_02_G04,0,9,132,25410,4,572076033,572284929,571944961,571944962,571944963,571944964,571944965,571944966,571944967,572272641,572076033,572198913,0,0,1000,15,1,0,0
591605761,1879048563,1895825720,ICON_GEAR_HANDS_03_G04,ICON_GEAR_COMMON,4,3,1,ITEM_GEAR_HANDS_03_G04,0,9,132,25411,4,572076033,572284929,571944961,571944962,571944963,571944964,571944965,571944966,571944967,572272641,572076033,572198913,0,0,1000,15,1,0,0
591609857,1879048564,1895825721,ICON_GEAR_HANDS_04_G04,ICON_GEAR_COMMON,4,3,1,ITEM_GEAR_HANDS_04_G04,0,9,132,25412,4,572076033,572284929,571944961,571944962,571944963,571944964,571944965,571944966,571944967,572272641,572076033,572198913,0,0,1000,15,1,0,0
588517377,1879048565,1895825722,ICON_GEAR_LOWER_01_G01,ICON_GEAR_COMMON,1,4,1,ITEM_GEAR_LOWER_01_G01,0,8,14,25617,1,572080129,572284929,571949057,571949058,571949059,571949060,571949061,571949062,571949063,572272641,572080129,572198913,0,0,25,3,1,0,0
588521473,1879048566,1895825723,ICON_GEAR_LOWER_02_G01,ICON_GEAR_COMMON,1,4,1,ITEM_GEAR_LOWER_02_G01,0,8,14,25618,1,572080129,572284929,571949057,571949058,571949059,571949060,571949061,571949062,571949063,572272641,572080129,572198913,0,0,25,3,1,0,0
588525569,1879048567,1895825724,ICON_GEAR_LOWER_03_G01,ICON_GEAR_COMMON,1,4,1,ITEM_GEAR_LOWER_03_G01,0,8,14,25619,1,572080129,572284929,571949057,571949058,571949059,571949060,571949061,571949062,571949063,572272641,572080129,572198913,0,0,25,3,1,0,0
588529665,1879048568,1895825725,ICON_GEAR_LOWER_04_G01,ICON_GEAR_COMMON,1,4,1,ITEM_GEAR_LOWER_04_G01,0,8,14,25620,1,572080129,572284929,571949057,571949058,571949059,571949060,571949061,571949062,571949063,572272641,572080129,572198913,0,0,25,3,1,0,0
589565953,1879048565,1895825722,ICON_GEAR_LOWER_01_G02,ICON_GEAR_COMMON,2,4,1,ITEM_GEAR_LOWER_01_G02,0,13,29,25633,2,572080129,572284929,571949057,571949058,571949059,571949060,571949061,571949062,571949063,572272641,572080129,572198913,0,0,100,6,1,0,0
589570049,1879048566,1895825723,ICON_GEAR_LOWER_02_G02,ICON_GEAR_COMMON,2,4,1,ITEM_GEAR_LOWER_02_G02,0,13,29,25634,2,572080129,572284929,571949057,571949058,571949059,571949060,571949061,571949062,571949063,572272641,572080129,572198913,0,0,100,6,1,0,0
589574145,1879048567,1895825724,ICON_GEAR_LOWER_03_G02,ICON_GEAR_COMMON,2,4,1,ITEM_GEAR_LOWER_03_G02,0,13,29,25635,2,572080129,572284929,571949057,571949058,571949059,571949060,571949061,571949062,571949063,572272641,572080129,572198913,0,0,100,6,1,0,0
589578241,1879048568,1895825725,ICON_GEAR_LOWER_04_G02,ICON_GEAR_COMMON,2,4,1,ITEM_GEAR_LOWER_04_G02,0,13,29,25636,2,572080129,572284929,571949057,571949058,571949059,571949060,571949061,571949062,571949063,572272641,572080129,572198913,0,0,100,6,1,0,0
590614529,1879048565,1895825722,ICON_GEAR_LOWER_01_G03,ICON_GEAR_COMMON,3,4,1,ITEM_GEAR_LOWER_01_G03,0,19,44,25649,3,572080129,572284929,571949057,571949058,571949059,571949060,571949061,571949062,571949063,572272641,572080129,572198913,0,0,500,10,1,0,0
590618625,1879048566,1895825723,ICON_GEAR_LOWER_02_G03,ICON_GEAR_COMMON,3,4,1,ITEM_GEAR_LOWER_02_G03,0,19,44,25650,3,572080129,572284929,571949057,571949058,571949059,571949060,571949061,571949062,571949063,572272641,572080129,572198913,0,0,500,10,1,0,0
590622721,1879048567,1895825724,ICON_GEAR_LOWER_03_G03,ICON_GEAR_COMMON,3,4,1,ITEM_GEAR_LOWER_03_G03,0,19,44,25651,3,572080129,572284929,571949057,571949058,571949059,571949060,571949061,571949062,571949063,572272641,572080129,572198913,0,0,500,10,1,0,0
590626817,1879048568,1895825725,ICON_GEAR_LOWER_04_G03,ICON_GEAR_COMMON,3,4,1,ITEM_GEAR_LOWER_04_G03,0,19,44,25652,3,572080129,572284929,571949057,571949058,571949059,571949060,571949061,571949062,571949063,572272641,572080129,572198913,0,0,500,10,1,0,0
591663105,1879048565,1895825722,ICON_GEAR_LOWER_01_G04,ICON_GEAR_COMMON,4,4,1,ITEM_GEAR_LOWER_01_G04,0,25,58,25665,4,572080129,572284929,571949057,571949058,571949059,571949060,571949061,571949062,571949063,572272641,572080129,572198913,0,0,1000,15,1,0,0
591667201,1879048566,1895825723,ICON_GEAR_LOWER_02_G04,ICON_GEAR_COMMON,4,4,1,ITEM_GEAR_LOWER_02_G04,0,25,58,25666,4,572080129,572284929,571949057,571949058,571949059,571949060,571949061,571949062,571949063,572272641,572080129,572198913,0,0,1000,15,1,0,0
591671297,1879048567,1895825724,ICON_GEAR_LOWER_03_G04,ICON_GEAR_COMMON,4,4,1,ITEM_GEAR_LOWER_03_G04,0,25,58,25667,4,572080129,572284929,571949057,571949058,571949059,571949060,571949061,571949062,571949063,572272641,572080129,572198913,0,0,1000,15,1,0,0
591675393,1879048568,1895825725,ICON_GEAR_LOWER_04_G04,ICON_GEAR_COMMON,4,4,1,ITEM_GEAR_LOWER_04_G04,0,25,58,25668,4,572080129,572284929,571949057,571949058,571949059,571949060,571949061,571949062,571949063,572272641,572080129,572198913,0,0,1000,15,1,0,0
