PrimaryKey,Lv,Exp,HP,DP,RewardCharacterKey,RewardWeaponKey,RewardItemKey00,RewardItemCount00,RewardItemKey01,RewardItemCount01,RewardItemKey02,RewardItemCount02,RewardItemKey03,RewardItemCount03,RewardItemKey04,RewardItemCount04,RewardItemKey05,RewardItemCount05,RewardItemKey06,RewardItemCount06,RewardItemKey07,RewardItemCount07,StandardNPCLevel,TargetQuestPoint,QuestRewardsKey00,QuestRewardsCount00,QuestRewardsKey01,QuestRewardsCount01,BonusTargetPoint,Standard,BonusMaintain,BonusChapterMaintain
16777227,11,144,600,40,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,105,120,572198913,10,572203009,10,120,105,1800000,60000
16777228,12,155,650,44,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,115,120,572198913,10,572203009,10,120,115,1800000,60000
16777229,13,165,700,48,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,140,120,572198913,10,572203009,10,120,140,1800000,60000
16777230,14,176,750,51,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,150,120,572198913,10,572203009,10,120,150,1800000,60000
16777231,15,186,800,55,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,185,120,572198913,10,572203009,10,120,185,1800000,60000
16777232,16,196,850,59,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,195,120,572198913,10,572203009,10,120,195,1800000,60000
16777233,17,207,900,62,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,240,120,572198913,10,572203009,10,120,240,1800000,60000
16777234,18,217,950,66,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,250,120,572198913,10,572203009,10,120,250,1800000,60000
16777235,19,227,1000,70,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,305,120,572198913,10,572203009,10,120,305,1800000,60000
16777236,20,237,1050,74,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,325,120,572198913,10,572203009,10,120,325,1800000,60000
16777237,21,247,1100,77,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,390,120,572198913,10,572203009,10,120,390,1800000,60000
16777238,22,257,1150,81,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,415,120,572198913,10,572203009,10,120,415,1800000,60000
16777239,23,267,1200,85,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,490,120,572198913,10,572203009,10,120,490,1800000,60000
16777240,24,276,1250,88,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,565,120,572198913,10,572203009,10,120,565,1800000,60000
16777241,25,286,1300,92,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,595,120,572198913,10,572203009,10,120,595,1800000,60000
16777242,26,296,1350,96,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,680,120,572198913,10,572203009,10,120,680,1800000,60000
16777243,27,306,1400,99,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,770,120,572198913,10,572203009,10,120,770,1800000,60000
16777244,28,315,1450,103,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,800,120,572198913,10,572203009,10,120,800,1800000,60000
16777245,29,325,1500,107,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,900,120,572198913,10,572203009,10,120,900,1800000,60000
16777246,30,335,1550,111,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1005,120,572198913,10,572203009,10,120,1005,1800000,60000
16777247,31,344,1600,114,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1115,120,572198913,10,572203009,10,120,1115,1800000,60000
16777248,32,354,1650,118,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1150,120,572198913,10,572203009,10,120,1150,1800000,60000
16777249,33,363,1700,122,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1265,120,572198913,10,572203009,10,120,1265,1800000,60000
16777250,34,373,1750,125,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1270,120,572198913,10,572203009,10,120,1270,1800000,60000
16777251,35,382,1800,129,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1275,120,572198913,10,572203009,10,120,1275,1800000,60000
16777252,36,392,1850,133,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1280,120,572198913,10,572203009,10,120,1280,1800000,60000
16777253,37,401,1900,136,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1285,120,572198913,10,572203009,10,120,1285,1800000,60000
16777254,38,411,1950,140,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1290,120,572198913,10,572203009,10,120,1290,1800000,60000
16777255,39,420,2000,144,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1295,120,572198913,10,572203009,10,120,1295,1800000,60000
16777256,40,429,2050,148,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1300,120,572198913,10,572203009,10,120,1300,1800000,60000
16777257,41,439,2100,151,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1305,120,572198913,10,572203009,10,120,1305,1800000,60000
16777258,42,448,2150,155,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1310,120,572198913,10,572203009,10,120,1310,1800000,60000
16777259,43,457,2200,159,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1315,120,572198913,10,572203009,10,120,1315,1800000,60000
16777260,44,467,2250,162,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1320,120,572198913,10,572203009,10,120,1320,1800000,60000
16777261,45,476,2300,166,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1325,120,572198913,10,572203009,10,120,1325,1800000,60000
16777262,46,485,2350,170,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1330,120,572198913,10,572203009,10,120,1330,1800000,60000
16777263,47,494,2400,173,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1335,120,572198913,10,572203009,10,120,1335,1800000,60000
16777264,48,503,2450,177,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1340,120,572198913,10,572203009,10,120,1340,1800000,60000
16777265,49,513,2500,181,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1345,120,572198913,10,572203009,10,120,1345,1800000,60000
16777266,50,522,2550,185,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1350,120,572198913,10,572203009,10,120,1350,1800000,60000
16777267,51,531,2600,188,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1355,120,572198913,10,572203009,10,120,1355,1800000,60000
16777268,52,540,2650,192,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1360,120,572198913,10,572203009,10,120,1360,1800000,60000
16777269,53,549,2700,196,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1365,120,572198913,10,572203009,10,120,1365,1800000,60000
16777270,54,558,2750,199,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1370,120,572198913,10,572203009,10,120,1370,1800000,60000
16777271,55,567,2800,203,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1375,120,572198913,10,572203009,10,120,1375,1800000,60000
16777272,56,576,2850,207,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1380,120,572198913,10,572203009,10,120,1380,1800000,60000
16777273,57,585,2900,210,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1385,120,572198913,10,572203009,10,120,1385,1800000,60000
16777274,58,594,2950,214,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1390,120,572198913,10,572203009,10,120,1390,1800000,60000
16777275,59,603,3000,218,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1395,120,572198913,10,572203009,10,120,1395,1800000,60000
16777276,60,612,3050,222,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1400,120,572198913,10,572203009,10,120,1400,1800000,60000
16777277,61,621,3100,225,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1405,120,572198913,10,572203009,10,120,1405,1800000,60000
16777278,62,630,3150,229,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1410,120,572198913,10,572203009,10,120,1410,1800000,60000
16777279,63,639,3200,233,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1415,120,572198913,10,572203009,10,120,1415,1800000,60000
16777280,64,648,3250,236,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1420,120,572198913,10,572203009,10,120,1420,1800000,60000
16777281,65,657,3300,240,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1425,120,572198913,10,572203009,10,120,1425,1800000,60000
16777282,66,666,3350,244,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1430,120,572198913,10,572203009,10,120,1430,1800000,60000
16777283,67,675,3400,247,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1435,120,572198913,10,572203009,10,120,1435,1800000,60000
16777284,68,683,3450,251,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1440,120,572198913,10,572203009,10,120,1440,1800000,60000
16777285,69,692,3500,255,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1445,120,572198913,10,572203009,10,120,1445,1800000,60000
16777286,70,701,3550,259,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1450,120,572198913,10,572203009,10,120,1450,1800000,60000
16777287,71,710,3600,262,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1455,120,572198913,10,572203009,10,120,1455,1800000,60000
16777288,72,719,3650,266,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1460,120,572198913,10,572203009,10,120,1460,1800000,60000
16777289,73,727,3700,270,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1465,120,572198913,10,572203009,10,120,1465,1800000,60000
16777290,74,736,3750,273,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1470,120,572198913,10,572203009,10,120,1470,1800000,60000
16777291,75,745,3800,277,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1475,120,572198913,10,572203009,10,120,1475,1800000,60000
16777292,76,754,3850,281,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1480,120,572198913,10,572203009,10,120,1480,1800000,60000
16777293,77,763,3900,284,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1485,120,572198913,10,572203009,10,120,1485,1800000,60000
16777294,78,771,3950,288,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1490,120,572198913,10,572203009,10,120,1490,1800000,60000
16777295,79,780,4000,292,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1495,120,572198913,10,572203009,10,120,1495,1800000,60000
16777296,80,789,4050,296,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1500,120,572198913,10,572203009,10,120,1500,1800000,60000
16777297,81,797,4100,299,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1505,120,572198913,10,572203009,10,120,1505,1800000,60000
16777298,82,806,4150,303,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1510,120,572198913,10,572203009,10,120,1510,1800000,60000
16777299,83,815,4200,307,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1515,120,572198913,10,572203009,10,120,1515,1800000,60000
16777300,84,823,4250,310,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1520,120,572198913,10,572203009,10,120,1520,1800000,60000
16777301,85,832,4300,314,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1525,120,572198913,10,572203009,10,120,1525,1800000,60000
16777302,86,841,4350,318,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1530,120,572198913,10,572203009,10,120,1530,1800000,60000
16777303,87,849,4400,321,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1535,120,572198913,10,572203009,10,120,1535,1800000,60000
16777304,88,858,4450,325,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1540,120,572198913,10,572203009,10,120,1540,1800000,60000
16777305,89,867,4500,329,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1545,120,572198913,10,572203009,10,120,1545,1800000,60000
16777306,90,875,4550,333,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1550,120,572198913,10,572203009,10,120,1550,1800000,60000
16777307,91,884,4600,336,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1555,120,572198913,10,572203009,10,120,1555,1800000,60000
16777308,92,893,4650,340,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1560,120,572198913,10,572203009,10,120,1560,1800000,60000
16777309,93,901,4700,344,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1565,120,572198913,10,572203009,10,120,1565,1800000,60000
16777310,94,910,4750,347,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1570,120,572198913,10,572203009,10,120,1570,1800000,60000
16777311,95,918,4800,351,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1575,120,572198913,10,572203009,10,120,1575,1800000,60000
16777312,96,927,4850,355,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1580,120,572198913,10,572203009,10,120,1580,1800000,60000
16777313,97,935,4900,358,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1585,120,572198913,10,572203009,10,120,1585,1800000,60000
16777314,98,944,4950,362,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1590,120,572198913,10,572203009,10,120,1590,1800000,60000
16777315,99,952,5000,366,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1595,120,572198913,10,572203009,10,120,1595,1800000,60000
16777316,100,961,5050,370,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1600,120,572198913,10,572203009,10,120,1600,1800000,60000
16777317,101,969,5100,373,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1605,120,572198913,10,572203009,10,120,1605,1800000,60000
16777318,102,978,5150,377,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1610,120,572198913,10,572203009,10,120,1610,1800000,60000
16777319,103,986,5200,381,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1615,120,572198913,10,572203009,10,120,1615,1800000,60000
16777320,104,995,5250,384,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1620,120,572198913,10,572203009,10,120,1620,1800000,60000
16777321,105,1003,5300,388,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1625,120,572198913,10,572203009,10,120,1625,1800000,60000
16777322,106,1012,5350,392,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1630,120,572198913,10,572203009,10,120,1630,1800000,60000
16777323,107,1020,5400,395,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1635,120,572198913,10,572203009,10,120,1635,1800000,60000
16777324,108,1029,5450,399,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1640,120,572198913,10,572203009,10,120,1640,1800000,60000
16777325,109,1037,5500,403,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1645,120,572198913,10,572203009,10,120,1645,1800000,60000
16777326,110,1046,5550,407,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1650,120,572198913,10,572203009,10,120,1650,1800000,60000
16777327,111,1054,5600,410,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1655,120,572198913,10,572203009,10,120,1655,1800000,60000
16777328,112,1063,5650,414,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1660,120,572198913,10,572203009,10,120,1660,1800000,60000
16777329,113,1071,5700,418,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1665,120,572198913,10,572203009,10,120,1665,1800000,60000
16777330,114,1079,5750,421,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1670,120,572198913,10,572203009,10,120,1670,1800000,60000
16777331,115,1088,5800,425,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1675,120,572198913,10,572203009,10,120,1675,1800000,60000
16777332,116,1096,5850,429,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1680,120,572198913,10,572203009,10,120,1680,1800000,60000
16777333,117,1105,5900,432,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1685,120,572198913,10,572203009,10,120,1685,1800000,60000
16777334,118,1113,5950,436,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1690,120,572198913,10,572203009,10,120,1690,1800000,60000
16777335,119,1121,6000,440,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1695,120,572198913,10,572203009,10,120,1695,1800000,60000
16777336,120,1130,6050,444,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1700,120,572198913,10,572203009,10,120,1700,1800000,60000
16777337,121,1138,6100,447,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1705,120,572198913,10,572203009,10,120,1705,1800000,60000
16777338,122,1146,6150,451,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1710,120,572198913,10,572203009,10,120,1710,1800000,60000
16777339,123,1155,6200,455,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1715,120,572198913,10,572203009,10,120,1715,1800000,60000
16777340,124,1163,6250,458,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1720,120,572198913,10,572203009,10,120,1720,1800000,60000
16777341,125,1171,6300,462,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1725,120,572198913,10,572203009,10,120,1725,1800000,60000
16777342,126,1180,6350,466,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1730,120,572198913,10,572203009,10,120,1730,1800000,60000
16777343,127,1188,6400,469,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1735,120,572198913,10,572203009,10,120,1735,1800000,60000
16777344,128,1196,6450,473,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1740,120,572198913,10,572203009,10,120,1740,1800000,60000
16777345,129,1205,6500,477,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1745,120,572198913,10,572203009,10,120,1745,1800000,60000
16777346,130,1213,6550,481,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1750,120,572198913,10,572203009,10,120,1750,1800000,60000
16777347,131,1221,6600,484,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1755,120,572198913,10,572203009,10,120,1755,1800000,60000
16777348,132,1230,6650,488,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1760,120,572198913,10,572203009,10,120,1760,1800000,60000
16777349,133,1238,6700,492,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1765,120,572198913,10,572203009,10,120,1765,1800000,60000
16777350,134,1246,6750,495,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1770,120,572198913,10,572203009,10,120,1770,1800000,60000
16777351,135,1254,6800,499,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1775,120,572198913,10,572203009,10,120,1775,1800000,60000
16777352,136,1263,6850,503,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1780,120,572198913,10,572203009,10,120,1780,1800000,60000
16777353,137,1271,6900,506,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1785,120,572198913,10,572203009,10,120,1785,1800000,60000
16777354,138,1279,6950,510,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1790,120,572198913,10,572203009,10,120,1790,1800000,60000
16777355,139,1287,7000,514,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1795,120,572198913,10,572203009,10,120,1795,1800000,60000
16777356,140,1296,7050,518,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1800,120,572198913,10,572203009,10,120,1800,1800000,60000
16777357,141,1304,7100,521,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1805,120,572198913,10,572203009,10,120,1805,1800000,60000
16777358,142,1312,7150,525,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1810,120,572198913,10,572203009,10,120,1810,1800000,60000
16777359,143,1320,7200,529,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1815,120,572198913,10,572203009,10,120,1815,1800000,60000
16777360,144,1329,7250,532,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1820,120,572198913,10,572203009,10,120,1820,1800000,60000
16777361,145,1337,7300,536,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1825,120,572198913,10,572203009,10,120,1825,1800000,60000
16777362,146,1345,7350,540,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1830,120,572198913,10,572203009,10,120,1830,1800000,60000
16777363,147,1353,7400,543,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1835,120,572198913,10,572203009,10,120,1835,1800000,60000
16777364,148,1361,7450,547,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1840,120,572198913,10,572203009,10,120,1840,1800000,60000
16777365,149,1370,7500,551,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1845,120,572198913,10,572203009,10,120,1845,1800000,60000
16777366,150,1378,7550,555,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1850,120,572198913,10,572203009,10,120,1850,1800000,60000
16777367,151,1386,7600,558,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1855,120,572198913,10,572203009,10,120,1855,1800000,60000
16777368,152,1394,7650,562,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1860,120,572198913,10,572203009,10,120,1860,1800000,60000
16777369,153,1402,7700,566,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1865,120,572198913,10,572203009,10,120,1865,1800000,60000
16777370,154,1410,7750,569,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1870,120,572198913,10,572203009,10,120,1870,1800000,60000
16777371,155,1419,7800,573,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1875,120,572198913,10,572203009,10,120,1875,1800000,60000
16777372,156,1427,7850,577,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1880,120,572198913,10,572203009,10,120,1880,1800000,60000
16777373,157,1435,7900,580,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1885,120,572198913,10,572203009,10,120,1885,1800000,60000
16777374,158,1443,7950,584,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1890,120,572198913,10,572203009,10,120,1890,1800000,60000
16777375,159,1451,8000,588,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1895,120,572198913,10,572203009,10,120,1895,1800000,60000
16777376,160,1459,8050,592,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1900,120,572198913,10,572203009,10,120,1900,1800000,60000
16777377,161,1467,8100,595,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1905,120,572198913,10,572203009,10,120,1905,1800000,60000
16777378,162,1476,8150,599,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1910,120,572198913,10,572203009,10,120,1910,1800000,60000
16777379,163,1484,8200,603,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1915,120,572198913,10,572203009,10,120,1915,1800000,60000
16777380,164,1492,8250,606,0,0,572268545,5,572272641,500,0,0,0,0,0,0,0,0,0,0,0,0,1920,120,572198913,10,572203009,10,120,1920,1800000,60000
