PrimaryKey,NameKey,DescKey,Group,Order,SelectionType,SelectionFactor,Skill
385876024,NaN,NaN,58,2,0,1,369102865
385876025,NaN,NaN,60,1,1,0,369103121
385876026,NaN,NaN,61,1,1,0,369101329
385876027,NaN,NaN,61,2,1,0,369101329
385876028,NaN,NaN,61,3,1,0,369101329
385876029,NaN,NaN,61,4,1,0,369101329
385876030,NaN,NaN,61,5,1,0,369101329
385876031,NaN,NaN,61,6,1,0,369102097
385876032,NaN,NaN,67,1,0,1,369099281
385876033,NaN,NaN,67,2,0,1,369102353
385876034,NaN,NaN,67,3,0,1,369102865
385876035,NaN,NaN,70,1,1,0,369103889
385876036,NaN,NaN,71,1,1,0,369101329
385876037,NaN,NaN,71,2,1,0,369101329
385876038,NaN,NaN,71,3,1,0,369101329
385876039,NaN,NaN,71,4,1,0,369101329
385876040,NaN,NaN,71,5,1,0,369101329
385876041,NaN,NaN,71,6,1,0,369102097
385876042,NaN,NaN,77,1,0,1,369102609
385876043,NaN,NaN,77,2,0,1,369099537
385876044,NaN,NaN,77,3,0,1,369099281
385876045,NaN,NaN,80,1,1,0,369103889
385876046,NaN,NaN,81,1,1,0,369101329
385876047,NaN,NaN,81,2,1,0,369101329
385876048,NaN,NaN,81,3,1,0,369101329
385876049,NaN,NaN,81,4,1,0,369101329
385876050,NaN,NaN,81,5,1,0,369101329
385876051,NaN,NaN,81,6,1,0,369102097
385876052,NaN,NaN,87,1,0,1,369102609
385876053,NaN,NaN,87,2,0,1,369099537
385876054,NaN,NaN,87,3,0,1,369102865
385876055,NaN,NaN,90,1,1,0,369103889
385876056,NaN,NaN,91,1,1,0,369101329
385876057,NaN,NaN,91,2,1,0,369101329
385876058,NaN,NaN,91,3,1,0,369101329
385876059,NaN,NaN,91,4,1,0,369101329
385876060,NaN,NaN,91,5,1,0,369101329
385876061,NaN,NaN,91,6,1,0,369102097
385876062,NaN,NaN,97,1,0,1,369102609
385876063,NaN,NaN,97,2,0,1,369099537
385876064,NaN,NaN,99,1,1,0,369103889
385876065,NaN,NaN,100,1,1,0,369101329
385876066,NaN,NaN,100,2,1,0,369101329
385876067,NaN,NaN,100,3,1,0,369101329
385876068,NaN,NaN,100,4,1,0,369101329
385876069,NaN,NaN,100,5,1,0,369101329
385876070,NaN,NaN,100,6,1,0,369102097
385876071,NaN,NaN,106,1,0,1,369102609
385876072,NaN,NaN,106,2,0,1,369102865
385876073,NaN,NaN,108,1,1,0,369103889
385876074,NaN,NaN,109,1,1,0,369101329
385876075,NaN,NaN,109,2,1,0,369101329
385876076,NaN,NaN,109,3,1,0,369101329
385876077,NaN,NaN,109,4,1,0,369101329
385876078,NaN,NaN,109,5,1,0,369101329
385876079,NaN,NaN,109,6,1,0,369102097
385876080,NaN,NaN,109,7,1,0,369102097
385876081,NaN,NaN,116,1,0,1,369102609
385876082,NaN,NaN,116,2,0,1,369102865
385876083,NaN,NaN,118,1,1,1,369103121
385876084,NaN,NaN,118,2,1,1,369103889
385876085,NaN,NaN,120,1,1,0,369101329
385876086,NaN,NaN,120,2,1,0,369101329
385876087,NaN,NaN,120,3,1,0,369101329
385876088,NaN,NaN,120,4,1,0,369101329
385876089,NaN,NaN,120,5,1,0,369101329
385876090,NaN,NaN,120,6,1,0,369102097
385876091,NaN,NaN,120,7,1,0,369102097
385876092,NaN,NaN,127,1,0,1,369102609
385876093,NaN,NaN,127,2,0,1,369102865
385876094,NaN,NaN,129,1,1,1,369103121
385876095,NaN,NaN,129,2,1,1,369103889
385876096,NaN,NaN,131,1,1,0,369101329
385876097,NaN,NaN,131,2,1,0,369101329
385876098,NaN,NaN,131,3,1,0,369101329
385876099,NaN,NaN,131,4,1,0,369101329
385876100,NaN,NaN,131,5,1,0,369101329
385876101,NaN,NaN,131,6,1,0,369102097
385876102,NaN,NaN,131,7,1,0,369102097
385876103,NaN,NaN,138,1,0,1,369102609
385876104,NaN,NaN,138,2,0,1,369102865
385876105,NaN,NaN,140,1,0,1,369103121
385876106,NaN,NaN,140,2,0,1,369103889
385876107,NaN,NaN,142,1,1,0,369101329
385876108,NaN,NaN,142,2,1,0,369101329
385876109,NaN,NaN,142,3,1,0,369101329
385876110,NaN,NaN,142,4,1,0,369101329
385876111,NaN,NaN,142,5,1,0,369101329
385876112,NaN,NaN,142,6,1,0,369102097
385876113,NaN,NaN,142,7,1,0,369102097
385876114,NaN,NaN,149,1,0,1,369102609
385876115,NaN,NaN,149,2,0,1,369102865
385876116,NaN,NaN,151,1,1,0,369103121
385876117,NaN,NaN,151,2,1,0,369103889
385876118,NaN,NaN,153,1,1,0,369101329
385876119,NaN,NaN,153,2,1,0,369101329
385876120,NaN,NaN,153,3,1,0,369101329
385876121,NaN,NaN,153,4,1,0,369101329
385876122,NaN,NaN,153,5,1,0,369101329
385876123,NaN,NaN,153,6,1,0,369101329
385876124,NaN,NaN,153,7,1,0,369102097
385876125,NaN,NaN,160,1,0,1,369102609
385876126,NaN,NaN,160,2,0,1,369102865
385876127,NaN,NaN,162,1,1,0,369103121
385876128,NaN,NaN,162,2,1,0,369103889
