PrimaryKey,Type,Difficulty,Order,ColorIndex,Icon,WaveType,CountAppearNPC,NPCGroup,StandardNPCLevel,CountNPC,RatioHP,RatioAimTime,RatioPowerAttack,timeWave,IntervalNPC,IntervalWave,RewardGroup
960626703,4,2,15,6,ICON_RANK_G6_Base,0,2,6,390,30,0.74,1.2,0.89,20000,300,5000,1310962
960692225,4,3,1,3,ICON_RANK_G3_Base,0,2,3,550,40,0.65,1.1,0.75,20000,300,5000,1310739
960692226,4,3,2,3,ICON_RANK_G3_Base,0,2,3,555,40,0.66,1.1,0.76,20000,300,5000,1310755
960692227,4,3,3,3,ICON_RANK_G3_Base,0,2,3,560,40,0.67,1.1,0.77,20000,300,5000,1310771
960692228,4,3,4,3,ICON_RANK_G3_Base,0,2,3,565,40,0.68,1.1,0.78,20000,300,5000,1310787
960692229,4,3,5,4,ICON_RANK_G4_Base,0,2,4,570,40,0.69,1.1,0.79,20000,300,5000,1310803
960692230,4,3,6,4,ICON_RANK_G4_Base,0,2,4,575,40,0.7,1.1,0.8,20000,300,5000,1310819
960692231,4,3,7,4,ICON_RANK_G4_Base,0,2,4,580,40,0.71,1.1,0.81,20000,300,5000,1310835
960692232,4,3,8,4,ICON_RANK_G4_Base,0,2,4,585,40,0.72,1.1,0.82,20000,300,5000,1310851
960692233,4,3,9,5,ICON_RANK_G5_Base,0,2,5,590,40,0.73,1.1,0.83,20000,300,5000,1310867
960692234,4,3,10,5,ICON_RANK_G5_Base,0,2,5,595,40,0.74,1.1,0.84,20000,300,5000,1310883
960692235,4,3,11,5,ICON_RANK_G5_Base,0,2,5,600,40,0.75,1.1,0.86,20000,300,5000,1310899
960692236,4,3,12,6,ICON_RANK_G6_Base,0,2,6,605,40,0.76,1.1,0.88,20000,300,5000,1310915
960692237,4,3,13,6,ICON_RANK_G6_Base,0,2,6,610,40,0.77,1.1,0.9,20000,300,5000,1310931
960692238,4,3,14,6,ICON_RANK_G6_Base,0,2,6,615,40,0.78,1.1,0.92,20000,300,5000,1310947
960692239,4,3,15,7,ICON_RANK_G7_Base,0,2,7,620,40,0.79,1.1,0.94,20000,300,5000,1310963
960757761,4,4,1,4,ICON_RANK_G4_Base,0,3,4,800,60,0.7,1,0.8,20000,300,5000,1310740
960757762,4,4,2,4,ICON_RANK_G4_Base,0,3,4,805,60,0.71,1,0.81,20000,300,5000,1310756
960757763,4,4,3,4,ICON_RANK_G4_Base,0,3,4,810,60,0.72,1,0.82,20000,300,5000,1310772
960757764,4,4,4,4,ICON_RANK_G4_Base,0,3,4,815,60,0.73,1,0.83,20000,300,5000,1310788
960757765,4,4,5,5,ICON_RANK_G5_Base,0,3,5,820,60,0.74,1,0.84,20000,300,5000,1310804
960757766,4,4,6,5,ICON_RANK_G5_Base,0,3,5,825,60,0.75,1,0.85,20000,300,5000,1310820
960757767,4,4,7,5,ICON_RANK_G5_Base,0,3,5,830,60,0.76,1,0.86,20000,300,5000,1310836
960757768,4,4,8,5,ICON_RANK_G5_Base,0,3,5,835,60,0.77,1,0.87,20000,300,5000,1310852
960757769,4,4,9,6,ICON_RANK_G6_Base,0,3,6,840,60,0.78,1,0.88,20000,300,5000,1310868
960757770,4,4,10,6,ICON_RANK_G6_Base,0,3,6,845,60,0.79,1,0.89,20000,300,5000,1310884
960757771,4,4,11,6,ICON_RANK_G6_Base,0,3,6,850,60,0.8,1,0.91,20000,300,5000,1310900
960757772,4,4,12,7,ICON_RANK_G7_Base,0,3,7,855,60,0.81,1,0.93,20000,300,5000,1310916
960757773,4,4,13,7,ICON_RANK_G7_Base,0,3,7,860,60,0.82,1,0.95,20000,300,5000,1310932
960757774,4,4,14,7,ICON_RANK_G7_Base,0,3,7,865,60,0.83,1,0.97,20000,300,5000,1310948
960757775,4,4,15,8,ICON_RANK_G8_Base,0,3,8,870,60,0.84,1,0.99,20000,300,5000,1310964
