PrimaryKey,NameKey,DescKey,RewardExp,RewardPassExp,MaxCountRevive,ReviveItemKey,ReviveItemCount,Episode,Order,Type,StandardLevel,RewardGroup,RewardItemKey,RewardItemCount
823135491,1879048384,1895825600,50,10,5,572268545,20,13,3,1,480,1114353,0,0
823135492,1879048385,1895825601,50,10,5,572268545,20,13,4,1,485,1114353,0,0
823135493,1879048386,1895825602,50,10,5,572268545,20,13,5,1,490,1114353,0,0
823135494,1879048387,1895825603,50,10,5,572268545,20,13,6,1,495,1114353,0,0
823135495,1879048388,1895825604,50,10,5,572268545,20,13,7,1,500,1114353,0,0
823135496,1879048389,1895825605,100,20,5,572268545,20,13,8,1,505,1114369,0,0
823135745,1879048390,1895825606,50,10,5,572268545,20,14,1,1,565,1114353,0,0
823135746,1879048391,1895825607,50,10,5,572268545,20,14,2,1,570,1114353,0,0
823135747,1879048392,1895825608,50,10,5,572268545,20,14,3,1,575,1114353,0,0
823135748,1879048393,1895825609,50,10,5,572268545,20,14,4,1,580,1114353,0,0
823135749,1879048394,1895825610,50,10,5,572268545,20,14,5,1,585,1114353,0,0
823135750,1879048395,1895825611,50,10,5,572268545,20,14,6,1,590,1114353,0,0
823135751,1879048396,1895825612,50,10,5,572268545,20,14,7,1,595,1114353,0,0
823135752,1879048397,1895825613,100,20,5,572268545,20,14,8,1,600,1114369,0,0
823136001,1879048398,1895825614,50,10,5,572268545,20,15,1,1,665,1114353,0,0
823136002,1879048399,1895825615,50,10,5,572268545,20,15,2,1,670,1114353,0,0
823136003,1879048400,1895825616,50,10,5,572268545,20,15,3,1,675,1114353,0,0
823136004,1879048401,1895825617,50,10,5,572268545,20,15,4,1,680,1114353,0,0
823136005,1879048402,1895825618,50,10,5,572268545,20,15,5,1,685,1114353,0,0
823136006,1879048403,1895825619,50,10,5,572268545,20,15,6,1,690,1114353,0,0
823136007,1879048404,1895825620,50,10,5,572268545,20,15,7,1,695,1114353,0,0
823136008,1879048405,1895825621,100,20,5,572268545,20,15,8,1,700,1114369,575946756,20
823136257,1879048709,1895825831,50,10,5,572268545,20,16,1,1,770,1114353,0,0
823136258,1879048710,1895825832,50,10,5,572268545,20,16,2,1,775,1114353,0,0
823136259,1879048711,1895825833,50,10,5,572268545,20,16,3,1,780,1114353,0,0
823136260,1879048712,1895825834,50,10,5,572268545,20,16,4,1,785,1114353,0,0
823136261,1879048713,1895825835,50,10,5,572268545,20,16,5,1,790,1114353,0,0
823136262,1879048714,1895825836,50,10,5,572268545,20,16,6,1,795,1114353,0,0
823136263,1879048715,1895825837,50,10,5,572268545,20,16,7,1,800,1114353,0,0
823136264,1879048716,1895825838,100,20,5,572268545,20,16,8,1,805,1114369,0,0
823136513,1879048717,1895825839,50,10,5,572268545,20,17,1,1,880,1114353,0,0
823136514,1879048718,1895825840,50,10,5,572268545,20,17,2,1,885,1114353,0,0
823136515,1879048719,1895825841,50,10,5,572268545,20,17,3,1,890,1114353,0,0
823136516,1879048720,1895825842,50,10,5,572268545,20,17,4,1,895,1114353,0,0
823136517,1879048721,1895825843,50,10,5,572268545,20,17,5,1,900,1114353,0,0
823136518,1879048722,1895825844,50,10,5,572268545,20,17,6,1,905,1114353,0,0
823136519,1879048723,1895825845,50,10,5,572268545,20,17,7,1,910,1114353,0,0
823136520,1879048724,1895825846,100,20,5,572268545,20,17,8,1,915,1114369,0,0
823136769,1879048725,1895825847,50,10,5,572268545,20,18,1,1,995,1114353,0,0
823136770,1879048726,1895825848,50,10,5,572268545,20,18,2,1,1000,1114353,0,0
823136771,1879048727,1895825849,50,10,5,572268545,20,18,3,1,1005,1114353,0,0
823136772,1879048728,1895825850,50,10,5,572268545,20,18,4,1,1010,1114353,0,0
823136773,1879048729,1895825851,50,10,5,572268545,20,18,5,1,1015,1114353,0,0
823136774,1879048730,1895825852,50,10,5,572268545,20,18,6,1,1020,1114353,0,0
823136775,1879048731,1895825853,50,10,5,572268545,20,18,7,1,1025,1114353,0,0
823136776,1879048732,1895825854,100,20,5,572268545,20,18,8,1,1030,1114369,0,0
823137025,1879048733,1895825855,50,10,5,572268545,20,19,1,1,1115,1114353,0,0
823137026,1879048734,1895825856,50,10,5,572268545,20,19,2,1,1120,1114353,0,0
823137027,1879048735,1895825857,50,10,5,572268545,20,19,3,1,1125,1114353,0,0
823137028,1879048736,1895825858,50,10,5,572268545,20,19,4,1,1130,1114353,0,0
823137029,1879048737,1895825859,50,10,5,572268545,20,19,5,1,1135,1114353,0,0
823137030,1879048738,1895825860,50,10,5,572268545,20,19,6,1,1140,1114353,0,0
823137031,1879048739,1895825861,50,10,5,572268545,20,19,7,1,1145,1114353,0,0
823137032,1879048740,1895825862,100,20,5,572268545,20,19,8,1,1150,1114369,0,0
823137281,1879048741,1895825863,50,10,5,572268545,20,20,1,1,1240,1114353,0,0
823137282,1879048742,1895825864,50,10,5,572268545,20,20,2,1,1245,1114353,0,0
823137283,1879048743,1895825865,50,10,5,572268545,20,20,3,1,1250,1114353,0,0
823137284,1879048744,1895825866,50,10,5,572268545,20,20,4,1,1255,1114353,0,0
823137285,1879048745,1895825867,50,10,5,572268545,20,20,5,1,1260,1114353,0,0
823137286,1879048746,1895825868,50,10,5,572268545,20,20,6,1,1265,1114353,0,0
823137287,1879048747,1895825869,50,10,5,572268545,20,20,7,1,1270,1114353,0,0
823137288,1879048748,1895825870,100,20,5,572268545,20,20,8,1,1275,1114369,0,0
