PrimaryKey,Level,HitRate,PowerAttack,PowerDefence,HP,AimTime,SelectionFactorAttack,SelectionFactorSkillGroup,AttackSkillGroup,HPSkillGroup25,HPSkillGroup50,HPSkillGroup75,ContinuouslySkillGroup,RewardGroup,MidiumRewardGroup10,MidiumRewardGroup20,MidiumRewardGroup30,MidiumRewardGroup40,MidiumRewardGroup50,MidiumRewardGroup60,MidiumRewardGroup70,MidiumRewardGroup80,MidiumRewardGroup90
340918357,85,2000,89,104,26950,0,,,0,0,0,0,0,3474769,3278161,3278161,3278161,3278161,3474769,3278161,3278161,3278161,3278161
340918362,90,2000,89,104,28478,0,,,0,0,0,0,0,3474849,3278241,3278241,3278241,3278241,3474849,3278241,3278241,3278241,3278241
340918367,95,2000,89,104,30041,0,,,0,0,0,0,0,3474929,3278321,3278321,3278321,3278321,3474929,3278321,3278321,3278321,3278321
340918372,100,2000,89,104,31641,0,,,0,0,0,0,0,3475009,3278401,3278401,3278401,3278401,3475009,3278401,3278401,3278401,3278401
340918377,105,2000,97,110,35029,0,,,0,0,0,0,0,3475089,3278481,3278481,3278481,3278481,3475089,3278481,3278481,3278481,3278481
340918382,110,2000,97,110,36790,0,,,0,0,0,0,0,3475169,3278561,3278561,3278561,3278561,3475169,3278561,3278561,3278561,3278561
340918387,115,2000,107,115,40519,0,,,0,0,0,0,0,3475249,3278641,3278641,3278641,3278641,3475249,3278641,3278641,3278641,3278641
340918392,120,2000,107,115,42449,0,,,0,0,0,0,0,3475329,3278721,3278721,3278721,3278721,3475329,3278721,3278721,3278721,3278721
340918397,125,2000,107,115,44418,0,,,0,0,0,0,0,3475409,3278801,3278801,3278801,3278801,3475409,3278801,3278801,3278801,3278801
340918402,130,2000,107,115,46428,0,,,0,0,0,0,0,3475489,3278881,3278881,3278881,3278881,3475489,3278881,3278881,3278881,3278881
340918407,135,2000,107,115,48479,0,,,0,0,0,0,0,3475569,3278961,3278961,3278961,3278961,3475569,3278961,3278961,3278961,3278961
340918412,140,2000,117,121,52977,0,,,0,0,0,0,0,3475649,3279041,3279041,3279041,3279041,3475649,3279041,3279041,3279041,3279041
340918417,145,2000,117,121,55209,0,,,0,0,0,0,0,3475729,3279121,3279121,3279121,3279121,3475729,3279121,3279121,3279121,3279121
340918422,150,2000,126,126,60097,0,,,0,0,0,0,0,3475809,3279201,3279201,3279201,3279201,3475809,3279201,3279201,3279201,3279201
340918427,155,2000,126,126,62519,0,,,0,0,0,0,0,3475889,3279281,3279281,3279281,3279281,3475889,3279281,3279281,3279281,3279281
340918432,160,2000,126,126,64985,0,,,0,0,0,0,0,3475969,3279361,3279361,3279361,3279361,3475969,3279361,3279361,3279361,3279361
340918437,165,2000,126,126,67495,0,,,0,0,0,0,0,3476049,3279441,3279441,3279441,3279441,3476049,3279441,3279441,3279441,3279441
340918442,170,2000,126,126,70049,0,,,0,0,0,0,0,3476129,3279521,3279521,3279521,3279521,3476129,3279521,3279521,3279521,3279521
340918447,175,2000,126,126,72647,0,,,0,0,0,0,0,3476209,3279601,3279601,3279601,3279601,3476209,3279601,3279601,3279601,3279601
340918452,180,2000,126,126,75290,0,,,0,0,0,0,0,3476289,3279681,3279681,3279681,3279681,3476289,3279681,3279681,3279681,3279681
340918457,185,2000,137,132,81366,0,,,0,0,0,0,0,3476369,3279761,3279761,3279761,3279761,3476369,3279761,3279761,3279761,3279761
340918462,190,2000,137,132,84216,0,,,0,0,0,0,0,3476449,3279841,3279841,3279841,3279841,3476449,3279841,3279841,3279841,3279841
340918467,195,2000,147,137,90740,0,,,0,0,0,0,0,3476529,3279921,3279921,3279921,3279921,3476529,3279921,3279921,3279921,3279921
340918472,200,2000,147,137,93804,0,,,0,0,0,0,0,3476609,3280001,3280001,3280001,3280001,3476609,3280001,3280001,3280001,3280001
340918477,205,2000,147,137,96916,0,,,0,0,0,0,0,3476689,3280081,3280081,3280081,3280081,3476689,3280081,3280081,3280081,3280081
340918482,210,2000,147,137,100076,0,,,0,0,0,0,0,3476769,3280161,3280161,3280161,3280161,3476769,3280161,3280161,3280161,3280161
340918487,215,2000,147,137,103283,0,,,0,0,0,0,0,3476849,3280241,3280241,3280241,3280241,3476849,3280241,3280241,3280241,3280241
340918492,220,2000,147,137,106539,0,,,0,0,0,0,0,3476929,3280321,3280321,3280321,3280321,3476929,3280321,3280321,3280321,3280321
340918497,225,2000,147,137,109842,0,,,0,0,0,0,0,3477009,3280401,3280401,3280401,3280401,3477009,3280401,3280401,3280401,3280401
340918502,230,2000,147,137,113194,0,,,0,0,0,0,0,3477089,3280481,3280481,3280481,3280481,3477089,3280481,3280481,3280481,3280481
340918507,235,2000,147,137,116593,0,,,0,0,0,0,0,3477169,3280561,3280561,3280561,3280561,3477169,3280561,3280561,3280561,3280561
340918512,240,2000,157,143,124842,0,,,0,0,0,0,0,3477249,3280641,3280641,3280641,3280641,3477249,3280641,3280641,3280641,3280641
340918517,245,2000,157,143,128477,0,,,0,0,0,0,0,3477329,3280721,3280721,3280721,3280721,3477329,3280721,3280721,3280721,3280721
340918522,250,2000,168,148,137245,0,,,0,0,0,0,0,3477409,3280801,3280801,3280801,3280801,3477409,3280801,3280801,3280801,3280801
340918527,255,2000,168,148,141123,0,,,0,0,0,0,0,3477489,3280881,3280881,3280881,3280881,3477489,3280881,3280881,3280881,3280881
340918532,260,2000,168,148,145053,0,,,0,0,0,0,0,3477569,3280961,3280961,3280961,3280961,3477569,3280961,3280961,3280961,3280961
340918537,265,2000,168,148,149035,0,,,0,0,0,0,0,3477649,3281041,3281041,3281041,3281041,3477649,3281041,3281041,3281041,3281041
340918542,270,2000,168,148,153068,0,,,0,0,0,0,0,3477729,3281121,3281121,3281121,3281121,3477729,3281121,3281121,3281121,3281121
340918547,275,2000,168,148,157154,0,,,0,0,0,0,0,3477809,3281201,3281201,3281201,3281201,3477809,3281201,3281201,3281201,3281201
340918552,280,2000,168,148,161291,0,,,0,0,0,0,0,3477889,3281281,3281281,3281281,3281281,3477889,3281281,3281281,3281281,3281281
340918557,285,2000,168,148,165480,0,,,0,0,0,0,0,3477969,3281361,3281361,3281361,3281361,3477969,3281361,3281361,3281361,3281361
340918562,290,2000,168,148,169720,0,,,0,0,0,0,0,3478049,3281441,3281441,3281441,3281441,3478049,3281441,3281441,3281441,3281441
340918567,295,2000,168,148,174013,0,,,0,0,0,0,0,3478129,3281521,3281521,3281521,3281521,3478129,3281521,3281521,3281521,3281521
340918572,300,2000,168,148,178357,0,,,0,0,0,0,0,3478209,3281601,3281601,3281601,3281601,3478209,3281601,3281601,3281601,3281601
340918577,305,2000,180,154,189521,0,,,0,0,0,0,0,3478289,3281681,3281681,3281681,3281681,3478289,3281681,3281681,3281681,3281681
340918582,310,2000,180,154,194133,0,,,0,0,0,0,0,3478369,3281761,3281761,3281761,3281761,3478369,3281761,3281761,3281761,3281761
340918587,315,2000,180,154,198800,0,,,0,0,0,0,0,3478449,3281841,3281841,3281841,3281841,3478449,3281841,3281841,3281841,3281841
340918592,320,2000,180,154,203519,0,,,0,0,0,0,0,3478529,3281921,3281921,3281921,3281921,3478529,3281921,3281921,3281921,3281921
340918597,325,2000,191,159,215732,0,,,0,0,0,0,0,3478609,3282001,3282001,3282001,3282001,3478609,3282001,3282001,3282001,3282001
340918602,330,2000,191,159,220731,0,,,0,0,0,0,0,3478689,3282081,3282081,3282081,3282081,3478689,3282081,3282081,3282081,3282081
340918607,335,2000,191,159,225786,0,,,0,0,0,0,0,3478769,3282161,3282161,3282161,3282161,3478769,3282161,3282161,3282161,3282161
340918612,340,2000,191,159,230897,0,,,0,0,0,0,0,3478849,3282241,3282241,3282241,3282241,3478849,3282241,3282241,3282241,3282241
340918617,345,2000,191,159,236063,0,,,0,0,0,0,0,3478929,3282321,3282321,3282321,3282321,3478929,3282321,3282321,3282321,3282321
340918622,350,2000,191,159,241285,0,,,0,0,0,0,0,3479009,3282401,3282401,3282401,3282401,3479009,3282401,3282401,3282401,3282401
340918627,355,2000,191,159,246562,0,,,0,0,0,0,0,3479089,3282481,3282481,3282481,3282481,3479089,3282481,3282481,3282481,3282481
340918632,360,2000,191,159,251895,0,,,0,0,0,0,0,3479169,3282561,3282561,3282561,3282561,3479169,3282561,3282561,3282561,3282561
340918637,365,2000,191,159,257284,0,,,0,0,0,0,0,3479249,3282641,3282641,3282641,3282641,3479249,3282641,3282641,3282641,3282641
340918642,370,2000,191,159,262728,0,,,0,0,0,0,0,3479329,3282721,3282721,3282721,3282721,3479329,3282721,3282721,3282721,3282721
340918647,375,2000,191,159,268228,0,,,0,0,0,0,0,3479409,3282801,3282801,3282801,3282801,3479409,3282801,3282801,3282801,3282801
340918652,380,2000,191,159,273783,0,,,0,0,0,0,0,3479489,3282881,3282881,3282881,3282881,3479489,3282881,3282881,3282881,3282881
340918657,385,2000,191,159,279394,0,,,0,0,0,0,0,3479569,3282961,3282961,3282961,3282961,3479569,3282961,3282961,3282961,3282961
340918662,390,2000,202,165,294891,0,,,0,0,0,0,0,3479649,3283041,3283041,3283041,3283041,3479649,3283041,3283041,3283041,3283041
340918667,395,2000,202,165,300810,0,,,0,0,0,0,0,3479729,3283121,3283121,3283121,3283121,3479729,3283121,3283121,3283121,3283121
340918672,400,2000,202,165,306787,0,,,0,0,0,0,0,3479809,3283201,3283201,3283201,3283201,3479809,3283201,3283201,3283201,3283201
340918677,405,2000,202,165,312822,0,,,0,0,0,0,0,3479889,3283281,3283281,3283281,3283281,3479889,3283281,3283281,3283281,3283281
340918682,410,2000,202,165,318914,0,,,0,0,0,0,0,3479969,3283361,3283361,3283361,3283361,3479969,3283361,3283361,3283361,3283361
340918687,415,2000,215,170,335898,0,,,0,0,0,0,0,3480049,3283441,3283441,3283441,3283441,3480049,3283441,3283441,3283441,3283441
340918692,420,2000,215,170,342312,0,,,0,0,0,0,0,3480129,3283521,3283521,3283521,3283521,3480129,3283521,3283521,3283521,3283521
340918697,425,2000,215,170,348786,0,,,0,0,0,0,0,3480209,3283601,3283601,3283601,3283601,3480209,3283601,3283601,3283601,3283601
340918702,430,2000,215,170,355319,0,,,0,0,0,0,0,3480289,3283681,3283681,3283681,3283681,3480289,3283681,3283681,3283681,3283681
340918707,435,2000,215,170,361911,0,,,0,0,0,0,0,3480369,3283761,3283761,3283761,3283761,3480369,3283761,3283761,3283761,3283761
340918712,440,2000,215,170,368562,0,,,0,0,0,0,0,3480449,3283841,3283841,3283841,3283841,3480449,3283841,3283841,3283841,3283841
340918717,445,2000,215,170,375273,0,,,0,0,0,0,0,3480529,3283921,3283921,3283921,3283921,3480529,3283921,3283921,3283921,3283921
340918722,450,2000,215,170,382044,0,,,0,0,0,0,0,3480609,3284001,3284001,3284001,3284001,3480609,3284001,3284001,3284001,3284001
340918727,455,2000,215,170,388874,0,,,0,0,0,0,0,3480689,3284081,3284081,3284081,3284081,3480689,3284081,3284081,3284081,3284081
340918732,460,2000,215,170,395763,0,,,0,0,0,0,0,3480769,3284161,3284161,3284161,3284161,3480769,3284161,3284161,3284161,3284161
340918737,465,2000,215,170,402712,0,,,0,0,0,0,0,3480849,3284241,3284241,3284241,3284241,3480849,3284241,3284241,3284241,3284241
340918742,470,2000,215,170,409720,0,,,0,0,0,0,0,3480929,3284321,3284321,3284321,3284321,3480929,3284321,3284321,3284321,3284321
340918747,475,2000,215,170,416788,0,,,0,0,0,0,0,3481009,3284401,3284401,3284401,3284401,3481009,3284401,3284401,3284401,3284401
340918752,480,2000,215,170,423915,0,,,0,0,0,0,0,3481089,3284481,3284481,3284481,3284481,3481089,3284481,3284481,3284481,3284481
340918757,485,2000,215,170,431101,0,,,0,0,0,0,0,3481169,3284561,3284561,3284561,3284561,3481169,3284561,3284561,3284561,3284561
340918762,490,2000,227,176,452488,0,,,0,0,0,0,0,3481249,3284641,3284641,3284641,3284641,3481249,3284641,3284641,3284641,3284641
340918767,495,2000,227,176,460029,0,,,0,0,0,0,0,3481329,3284721,3284721,3284721,3284721,3481329,3284721,3284721,3284721,3284721
340918772,500,2000,227,176,467631,0,,,0,0,0,0,0,3481409,3284801,3284801,3284801,3284801,3481409,3284801,3284801,3284801,3284801
340918777,505,2000,227,176,475295,0,,,0,0,0,0,0,3481489,3284881,3284881,3284881,3284881,3481489,3284881,3284881,3284881,3284881
340918782,510,2000,227,176,483020,0,,,0,0,0,0,0,3481569,3284961,3284961,3284961,3284961,3481569,3284961,3284961,3284961,3284961
340918787,515,2000,227,176,490806,0,,,0,0,0,0,0,3481649,3285041,3285041,3285041,3285041,3481649,3285041,3285041,3285041,3285041
340918792,520,2000,227,176,498654,0,,,0,0,0,0,0,3481729,3285121,3285121,3285121,3285121,3481729,3285121,3285121,3285121,3285121
340918797,525,2000,227,176,506563,0,,,0,0,0,0,0,3481809,3285201,3285201,3285201,3285201,3481809,3285201,3285201,3285201,3285201
340918802,530,2000,227,176,514533,0,,,0,0,0,0,0,3481889,3285281,3285281,3285281,3285281,3481889,3285281,3285281,3285281,3285281
340918807,535,2000,227,176,522565,0,,,0,0,0,0,0,3481969,3285361,3285361,3285361,3285361,3481969,3285361,3285361,3285361,3285361
340918812,540,2000,227,176,530658,0,,,0,0,0,0,0,3482049,3285441,3285441,3285441,3285441,3482049,3285441,3285441,3285441,3285441
340918817,545,2000,227,176,538812,0,,,0,0,0,0,0,3482129,3285521,3285521,3285521,3285521,3482129,3285521,3285521,3285521,3285521
340918822,550,2000,227,176,547028,0,,,0,0,0,0,0,3482209,3285601,3285601,3285601,3285601,3482209,3285601,3285601,3285601,3285601
340918827,555,2000,227,176,555305,0,,,0,0,0,0,0,3482289,3285681,3285681,3285681,3285681,3482289,3285681,3285681,3285681,3285681
340918832,560,2000,227,176,563644,0,,,0,0,0,0,0,3482369,3285761,3285761,3285761,3285761,3482369,3285761,3285761,3285761,3285761
340918837,565,2000,239,181,589920,0,,,0,0,0,0,0,3482449,3285841,3285841,3285841,3285841,3482449,3285841,3285841,3285841,3285841
340918842,570,2000,239,181,598645,0,,,0,0,0,0,0,3482529,3285921,3285921,3285921,3285921,3482529,3285921,3285921,3285921,3285921
340918847,575,2000,239,181,607434,0,,,0,0,0,0,0,3482609,3286001,3286001,3286001,3286001,3482609,3286001,3286001,3286001,3286001
340918852,580,2000,239,181,616286,0,,,0,0,0,0,0,3482689,3286081,3286081,3286081,3286081,3482689,3286081,3286081,3286081,3286081
340918857,585,2000,239,181,625202,0,,,0,0,0,0,0,3482769,3286161,3286161,3286161,3286161,3482769,3286161,3286161,3286161,3286161
340918862,590,2000,239,181,634180,0,,,0,0,0,0,0,3482849,3286241,3286241,3286241,3286241,3482849,3286241,3286241,3286241,3286241
340918867,595,2000,252,187,662714,0,,,0,0,0,0,0,3482929,3286321,3286321,3286321,3286321,3482929,3286321,3286321,3286321,3286321
340918872,600,2000,252,187,672095,0,,,0,0,0,0,0,3483009,3286401,3286401,3286401,3286401,3483009,3286401,3286401,3286401,3286401
340918877,605,2000,252,187,681541,0,,,0,0,0,0,0,3483089,3286481,3286481,3286481,3286481,3483089,3286481,3286481,3286481,3286481
340918882,610,2000,252,187,691052,0,,,0,0,0,0,0,3483169,3286561,3286561,3286561,3286561,3483169,3286561,3286561,3286561,3286561
340918887,615,2000,252,187,700629,0,,,0,0,0,0,0,3483249,3286641,3286641,3286641,3286641,3483249,3286641,3286641,3286641,3286641
340918892,620,2000,252,187,710271,0,,,0,0,0,0,0,3483329,3286721,3286721,3286721,3286721,3483329,3286721,3286721,3286721,3286721
340918897,625,2000,252,187,719978,0,,,0,0,0,0,0,3483409,3286801,3286801,3286801,3286801,3483409,3286801,3286801,3286801,3286801
340918902,630,2000,252,187,729750,0,,,0,0,0,0,0,3483489,3286881,3286881,3286881,3286881,3483489,3286881,3286881,3286881,3286881
340918907,635,2000,252,187,739587,0,,,0,0,0,0,0,3483569,3286961,3286961,3286961,3286961,3483569,3286961,3286961,3286961,3286961
340918912,640,2000,252,187,749490,0,,,0,0,0,0,0,3483649,3287041,3287041,3287041,3287041,3483649,3287041,3287041,3287041,3287041
340918917,645,2000,252,187,759457,0,,,0,0,0,0,0,3483729,3287121,3287121,3287121,3287121,3483729,3287121,3287121,3287121,3287121
340918922,650,2000,252,187,769490,0,,,0,0,0,0,0,3483809,3287201,3287201,3287201,3287201,3483809,3287201,3287201,3287201,3287201
340918927,655,2000,252,187,779588,0,,,0,0,0,0,0,3483889,3287281,3287281,3287281,3287281,3483889,3287281,3287281,3287281,3287281
340918932,660,2000,252,187,789751,0,,,0,0,0,0,0,3483969,3287361,3287361,3287361,3287361,3483969,3287361,3287361,3287361,3287361
340918937,665,2000,252,187,799980,0,,,0,0,0,0,0,3484049,3287441,3287441,3287441,3287441,3484049,3287441,3287441,3287441,3287441
340918942,670,2000,252,187,810273,0,,,0,0,0,0,0,3484129,3287521,3287521,3287521,3287521,3484129,3287521,3287521,3287521,3287521
340918947,675,2000,252,187,820632,0,,,0,0,0,0,0,3484209,3287601,3287601,3287601,3287601,3484209,3287601,3287601,3287601,3287601
340918952,680,2000,266,192,855499,0,,,0,0,0,0,0,3484289,3287681,3287681,3287681,3287681,3484289,3287681,3287681,3287681,3287681
340918957,685,2000,266,192,866296,0,,,0,0,0,0,0,3484369,3287761,3287761,3287761,3287761,3484369,3287761,3287761,3287761,3287761
340918962,690,2000,266,192,877161,0,,,0,0,0,0,0,3484449,3287841,3287841,3287841,3287841,3484449,3287841,3287841,3287841,3287841
340918967,695,2000,266,192,888093,0,,,0,0,0,0,0,3484529,3287921,3287921,3287921,3287921,3484529,3287921,3287921,3287921,3287921
340918972,700,2000,266,192,899091,0,,,0,0,0,0,0,3484609,3288001,3288001,3288001,3288001,3484609,3288001,3288001,3288001,3288001
340918977,705,2000,266,192,910157,0,,,0,0,0,0,0,3484689,3288081,3288081,3288081,3288081,3484689,3288081,3288081,3288081,3288081
340918982,710,2000,266,192,921290,0,,,0,0,0,0,0,3484769,3288161,3288161,3288161,3288161,3484769,3288161,3288161,3288161,3288161
340918987,715,2000,266,192,932491,0,,,0,0,0,0,0,3484849,3288241,3288241,3288241,3288241,3484849,3288241,3288241,3288241,3288241
340918992,720,2000,266,192,943758,0,,,0,0,0,0,0,3484929,3288321,3288321,3288321,3288321,3484929,3288321,3288321,3288321,3288321
340918997,725,2000,266,192,955092,0,,,0,0,0,0,0,3485009,3288401,3288401,3288401,3288401,3485009,3288401,3288401,3288401,3288401
340919002,730,2000,266,192,966494,0,,,0,0,0,0,0,3485089,3288481,3288481,3288481,3288481,3485089,3288481,3288481,3288481,3288481
340919007,735,2000,266,192,977962,0,,,0,0,0,0,0,3485169,3288561,3288561,3288561,3288561,3485169,3288561,3288561,3288561,3288561
340919012,740,2000,266,192,989498,0,,,0,0,0,0,0,3485249,3288641,3288641,3288641,3288641,3485249,3288641,3288641,3288641,3288641
340919017,745,2000,266,192,1001100,0,,,0,0,0,0,0,3485329,3288721,3288721,3288721,3288721,3485329,3288721,3288721,3288721,3288721
340919022,750,2000,266,192,1012770,0,,,0,0,0,0,0,3485409,3288801,3288801,3288801,3288801,3485409,3288801,3288801,3288801,3288801
340919027,755,2000,266,192,1024507,0,,,0,0,0,0,0,3485489,3288881,3288881,3288881,3288881,3485489,3288881,3288881,3288881,3288881
340919032,760,2000,266,192,1036311,0,,,0,0,0,0,0,3485569,3288961,3288961,3288961,3288961,3485569,3288961,3288961,3288961,3288961
340919037,765,2000,266,192,1048182,0,,,0,0,0,0,0,3485649,3289041,3289041,3289041,3289041,3485649,3289041,3289041,3289041,3289041
340919042,770,2000,279,198,1090410,0,,,0,0,0,0,0,3485729,3289121,3289121,3289121,3289121,3485729,3289121,3289121,3289121,3289121
340919047,775,2000,279,198,1102758,0,,,0,0,0,0,0,3485809,3289201,3289201,3289201,3289201,3485809,3289201,3289201,3289201,3289201
340919052,780,2000,279,198,1115175,0,,,0,0,0,0,0,3485889,3289281,3289281,3289281,3289281,3485889,3289281,3289281,3289281,3289281
340919057,785,2000,279,198,1127661,0,,,0,0,0,0,0,3485969,3289361,3289361,3289361,3289361,3485969,3289361,3289361,3289361,3289361
340919062,790,2000,279,198,1140217,0,,,0,0,0,0,0,3486049,3289441,3289441,3289441,3289441,3486049,3289441,3289441,3289441,3289441
340919067,795,2000,279,198,1152841,0,,,0,0,0,0,0,3486129,3289521,3289521,3289521,3289521,3486129,3289521,3289521,3289521,3289521
340919072,800,2000,293,203,1197910,0,,,0,0,0,0,0,3486209,3289601,3289601,3289601,3289601,3486209,3289601,3289601,3289601,3289601
340919077,805,2000,293,203,1211027,0,,,0,0,0,0,0,3486289,3289681,3289681,3289681,3289681,3486289,3289681,3289681,3289681,3289681
340919082,810,2000,293,203,1224215,0,,,0,0,0,0,0,3486369,3289761,3289761,3289761,3289761,3486369,3289761,3289761,3289761,3289761
340919087,815,2000,293,203,1237474,0,,,0,0,0,0,0,3486449,3289841,3289841,3289841,3289841,3486449,3289841,3289841,3289841,3289841
340919092,820,2000,293,203,1250803,0,,,0,0,0,0,0,3486529,3289921,3289921,3289921,3289921,3486529,3289921,3289921,3289921,3289921
340919097,825,2000,293,203,1264204,0,,,0,0,0,0,0,3486609,3290001,3290001,3290001,3290001,3486609,3290001,3290001,3290001,3290001
340919102,830,2000,293,203,1277676,0,,,0,0,0,0,0,3486689,3290081,3290081,3290081,3290081,3486689,3290081,3290081,3290081,3290081
340919107,835,2000,293,203,1291218,0,,,0,0,0,0,0,3486769,3290161,3290161,3290161,3290161,3486769,3290161,3290161,3290161,3290161
340919112,840,2000,293,203,1304831,0,,,0,0,0,0,0,3486849,3290241,3290241,3290241,3290241,3486849,3290241,3290241,3290241,3290241
340919117,845,2000,293,203,1318516,0,,,0,0,0,0,0,3486929,3290321,3290321,3290321,3290321,3486929,3290321,3290321,3290321,3290321
340919122,850,2000,293,203,1332271,0,,,0,0,0,0,0,3487009,3290401,3290401,3290401,3290401,3487009,3290401,3290401,3290401,3290401
340919127,855,2000,293,203,1346097,0,,,0,0,0,0,0,3487089,3290481,3290481,3290481,3290481,3487089,3290481,3290481,3290481,3290481
340919132,860,2000,293,203,1359994,0,,,0,0,0,0,0,3487169,3290561,3290561,3290561,3290561,3487169,3290561,3290561,3290561,3290561
340919137,865,2000,293,203,1373962,0,,,0,0,0,0,0,3487249,3290641,3290641,3290641,3290641,3487249,3290641,3290641,3290641,3290641
340919142,870,2000,293,203,1388001,0,,,0,0,0,0,0,3487329,3290721,3290721,3290721,3290721,3487329,3290721,3290721,3290721,3290721
340919147,875,2000,293,203,1402111,0,,,0,0,0,0,0,3487409,3290801,3290801,3290801,3290801,3487409,3290801,3290801,3290801,3290801
340919152,880,2000,293,203,1416292,0,,,0,0,0,0,0,3487489,3290881,3290881,3290881,3290881,3487489,3290881,3290881,3290881,3290881
340919157,885,2000,293,203,1430544,0,,,0,0,0,0,0,3487569,3290961,3290961,3290961,3290961,3487569,3290961,3290961,3290961,3290961
340919162,890,2000,293,203,1444866,0,,,0,0,0,0,0,3487649,3291041,3291041,3291041,3291041,3487649,3291041,3291041,3291041,3291041
340919167,895,2000,293,203,1459260,0,,,0,0,0,0,0,3487729,3291121,3291121,3291121,3291121,3487729,3291121,3291121,3291121,3291121
340919172,900,2000,308,209,1513555,0,,,0,0,0,0,0,3487809,3291201,3291201,3291201,3291201,3487809,3291201,3291201,3291201,3291201
340919177,905,2000,308,209,1528483,0,,,0,0,0,0,0,3487889,3291281,3291281,3291281,3291281,3487889,3291281,3291281,3291281,3291281
340919182,910,2000,308,209,1543484,0,,,0,0,0,0,0,3487969,3291361,3291361,3291361,3291361,3487969,3291361,3291361,3291361,3291361
340919187,915,2000,308,209,1558558,0,,,0,0,0,0,0,3488049,3291441,3291441,3291441,3291441,3488049,3291441,3291441,3291441,3291441
340919192,920,2000,308,209,1573705,0,,,0,0,0,0,0,3488129,3291521,3291521,3291521,3291521,3488129,3291521,3291521,3291521,3291521
340919197,925,2000,308,209,1588925,0,,,0,0,0,0,0,3488209,3291601,3291601,3291601,3291601,3488209,3291601,3291601,3291601,3291601
340919202,930,2000,308,209,1604217,0,,,0,0,0,0,0,3488289,3291681,3291681,3291681,3291681,3488289,3291681,3291681,3291681,3291681
340919207,935,2000,308,209,1619583,0,,,0,0,0,0,0,3488369,3291761,3291761,3291761,3291761,3488369,3291761,3291761,3291761,3291761
340919212,940,2000,308,209,1635021,0,,,0,0,0,0,0,3488449,3291841,3291841,3291841,3291841,3488449,3291841,3291841,3291841,3291841
340919217,945,2000,308,209,1650532,0,,,0,0,0,0,0,3488529,3291921,3291921,3291921,3291921,3488529,3291921,3291921,3291921,3291921
340919222,950,2000,308,209,1666116,0,,,0,0,0,0,0,3488609,3292001,3292001,3292001,3292001,3488609,3292001,3292001,3292001,3292001
340919227,955,2000,308,209,1681773,0,,,0,0,0,0,0,3488689,3292081,3292081,3292081,3292081,3488689,3292081,3292081,3292081,3292081
340919232,960,2000,308,209,1697502,0,,,0,0,0,0,0,3488769,3292161,3292161,3292161,3292161,3488769,3292161,3292161,3292161,3292161
340919237,965,2000,308,209,1713305,0,,,0,0,0,0,0,3488849,3292241,3292241,3292241,3292241,3488849,3292241,3292241,3292241,3292241
