PrimaryKey,CharacterKey,Lv,RequireItemKey00,RequireItemCount00,RequireItemKey01,RequireItemCount01,HP,DP,MoveSpeed
402718756,286523648,36,573890815,200,572272641,15000,2775,61,11
402718757,286523648,37,573890815,200,572272641,15000,2850,63,11
402718758,286523648,38,573890815,200,572272641,15000,2925,64,11
402718759,286523648,39,573890815,200,572272641,15000,3000,66,11
402718760,286523648,40,573890815,200,572272641,15000,3075,68,11
402718761,286523648,41,573890815,200,572272641,15000,3150,70,11
402718762,286523648,42,573890815,200,572272641,15000,3225,71,11
402718763,286523648,43,573890815,200,572272641,15000,3300,73,11
402718764,286523648,44,573890815,200,572272641,15000,3375,75,11
402718765,286523648,45,573890815,250,572272641,32000,3450,76,11
402718766,286523648,46,0,250,572272641,32000,3525,78,11
402718767,286523648,47,0,250,572272641,32000,3600,80,11
402718768,286523648,48,0,250,572272641,32000,3675,82,11
402718769,286523648,49,0,250,572272641,32000,3750,83,11
402718770,286523648,50,0,250,572272641,32000,3825,85,11
402718771,286523648,51,0,250,572272641,32000,3900,87,11
402718772,286523648,52,0,250,572272641,32000,3975,88,11
402718773,286523648,53,0,250,572272641,32000,4050,90,11
402718774,286523648,54,0,250,572272641,32000,4125,92,11
402718775,286523648,55,0,250,572272641,32000,4200,94,11
402718776,286523648,56,0,250,572272641,32000,4275,95,11
402718777,286523648,57,0,250,572272641,32000,4350,97,11
402718778,286523648,58,0,250,572272641,32000,4425,99,11
402718779,286523648,59,0,250,572272641,32000,4500,100,11
402718780,286523648,60,0,300,572272641,55000,4575,102,11
402784257,286523904,1,571785471,100,572272641,1000,150,1,11
402784258,286523904,2,571785471,100,572272641,1000,225,3,11
402784259,286523904,3,571785471,100,572272641,1000,300,5,11
402784260,286523904,4,571785471,100,572272641,1000,375,6,11
402784261,286523904,5,571785471,100,572272641,1000,450,8,11
402784262,286523904,6,571785471,100,572272641,1000,525,10,11
402784263,286523904,7,571785471,100,572272641,1000,600,11,11
402784264,286523904,8,571785471,100,572272641,1000,675,13,11
402784265,286523904,9,571785471,100,572272641,1000,750,15,11
402784266,286523904,10,571785471,100,572272641,1000,825,17,11
402784267,286523904,11,571785471,100,572272641,1000,900,18,11
402784268,286523904,12,571785471,100,572272641,1000,975,20,11
402784269,286523904,13,571785471,100,572272641,1000,1050,22,11
402784270,286523904,14,571785471,100,572272641,1000,1125,23,11
402784271,286523904,15,571785471,150,572272641,5000,1200,25,11
402784272,286523904,16,572838143,150,572272641,5000,1275,27,11
402784273,286523904,17,572838143,150,572272641,5000,1350,29,11
402784274,286523904,18,572838143,150,572272641,5000,1425,30,11
402784275,286523904,19,572838143,150,572272641,5000,1500,32,11
402784276,286523904,20,572838143,150,572272641,5000,1575,34,11
402784277,286523904,21,572838143,150,572272641,5000,1650,35,11
402784278,286523904,22,572838143,150,572272641,5000,1725,37,11
402784279,286523904,23,572838143,150,572272641,5000,1800,39,11
402784280,286523904,24,572838143,150,572272641,5000,1875,41,11
402784281,286523904,25,572838143,150,572272641,5000,1950,42,11
402784282,286523904,26,572838143,150,572272641,5000,2025,44,11
402784283,286523904,27,572838143,150,572272641,5000,2100,46,11
402784284,286523904,28,572838143,150,572272641,5000,2175,47,11
402784285,286523904,29,572838143,150,572272641,5000,2250,49,11
402784286,286523904,30,572838143,200,572272641,15000,2325,51,11
402784287,286523904,31,573890815,200,572272641,15000,2400,53,11
402784288,286523904,32,573890815,200,572272641,15000,2475,54,11
402784289,286523904,33,573890815,200,572272641,15000,2550,56,11
402784290,286523904,34,573890815,200,572272641,15000,2625,58,11
402784291,286523904,35,573890815,200,572272641,15000,2700,59,11
402784292,286523904,36,573890815,200,572272641,15000,2775,61,11
402784293,286523904,37,573890815,200,572272641,15000,2850,63,11
402784294,286523904,38,573890815,200,572272641,15000,2925,64,11
402784295,286523904,39,573890815,200,572272641,15000,3000,66,11
402784296,286523904,40,573890815,200,572272641,15000,3075,68,11
402784297,286523904,41,573890815,200,572272641,15000,3150,70,11
402784298,286523904,42,573890815,200,572272641,15000,3225,71,11
402784299,286523904,43,573890815,200,572272641,15000,3300,73,11
402784300,286523904,44,573890815,200,572272641,15000,3375,75,11
402784301,286523904,45,573890815,250,572272641,32000,3450,76,11
402784302,286523904,46,0,250,572272641,32000,3525,78,11
402784303,286523904,47,0,250,572272641,32000,3600,80,11
402784304,286523904,48,0,250,572272641,32000,3675,82,11
402784305,286523904,49,0,250,572272641,32000,3750,83,11
402784306,286523904,50,0,250,572272641,32000,3825,85,11
402784307,286523904,51,0,250,572272641,32000,3900,87,11
402784308,286523904,52,0,250,572272641,32000,3975,88,11
402784309,286523904,53,0,250,572272641,32000,4050,90,11
402784310,286523904,54,0,250,572272641,32000,4125,92,11
402784311,286523904,55,0,250,572272641,32000,4200,94,11
402784312,286523904,56,0,250,572272641,32000,4275,95,11
402784313,286523904,57,0,250,572272641,32000,4350,97,11
402784314,286523904,58,0,250,572272641,32000,4425,99,11
402784315,286523904,59,0,250,572272641,32000,4500,100,11
402784316,286523904,60,0,300,572272641,55000,4575,102,11
402849793,286524160,1,571785471,100,572272641,1000,150,1,11
402849794,286524160,2,571785471,100,572272641,1000,225,3,11
402849795,286524160,3,571785471,100,572272641,1000,300,5,11
402849796,286524160,4,571785471,100,572272641,1000,375,6,11
402849797,286524160,5,571785471,100,572272641,1000,450,8,11
402849798,286524160,6,571785471,100,572272641,1000,525,10,11
402849799,286524160,7,571785471,100,572272641,1000,600,11,11
402849800,286524160,8,571785471,100,572272641,1000,675,13,11
402849801,286524160,9,571785471,100,572272641,1000,750,15,11
402849802,286524160,10,571785471,100,572272641,1000,825,17,11
402849803,286524160,11,571785471,100,572272641,1000,900,18,11
402849804,286524160,12,571785471,100,572272641,1000,975,20,11
402849805,286524160,13,571785471,100,572272641,1000,1050,22,11
402849806,286524160,14,571785471,100,572272641,1000,1125,23,11
402849807,286524160,15,571785471,150,572272641,5000,1200,25,11
402849808,286524160,16,572838143,150,572272641,5000,1275,27,11
402849809,286524160,17,572838143,150,572272641,5000,1350,29,11
402849810,286524160,18,572838143,150,572272641,5000,1425,30,11
402849811,286524160,19,572838143,150,572272641,5000,1500,32,11
402849812,286524160,20,572838143,150,572272641,5000,1575,34,11
402849813,286524160,21,572838143,150,572272641,5000,1650,35,11
402849814,286524160,22,572838143,150,572272641,5000,1725,37,11
402849815,286524160,23,572838143,150,572272641,5000,1800,39,11
402849816,286524160,24,572838143,150,572272641,5000,1875,41,11
402849817,286524160,25,572838143,150,572272641,5000,1950,42,11
402849818,286524160,26,572838143,150,572272641,5000,2025,44,11
402849819,286524160,27,572838143,150,572272641,5000,2100,46,11
402849820,286524160,28,572838143,150,572272641,5000,2175,47,11
402849821,286524160,29,572838143,150,572272641,5000,2250,49,11
402849822,286524160,30,572838143,200,572272641,15000,2325,51,11
402849823,286524160,31,573890815,200,572272641,15000,2400,53,11
402849824,286524160,32,573890815,200,572272641,15000,2475,54,11
402849825,286524160,33,573890815,200,572272641,15000,2550,56,11
402849826,286524160,34,573890815,200,572272641,15000,2625,58,11
402849827,286524160,35,573890815,200,572272641,15000,2700,59,11
402849828,286524160,36,573890815,200,572272641,15000,2775,61,11
402849829,286524160,37,573890815,200,572272641,15000,2850,63,11
402849830,286524160,38,573890815,200,572272641,15000,2925,64,11
402849831,286524160,39,573890815,200,572272641,15000,3000,66,11
402849832,286524160,40,573890815,200,572272641,15000,3075,68,11
402849833,286524160,41,573890815,200,572272641,15000,3150,70,11
402849834,286524160,42,573890815,200,572272641,15000,3225,71,11
402849835,286524160,43,573890815,200,572272641,15000,3300,73,11
402849836,286524160,44,573890815,200,572272641,15000,3375,75,11
402849837,286524160,45,573890815,250,572272641,32000,3450,76,11
402849838,286524160,46,0,250,572272641,32000,3525,78,11
402849839,286524160,47,0,250,572272641,32000,3600,80,11
402849840,286524160,48,0,250,572272641,32000,3675,82,11
402849841,286524160,49,0,250,572272641,32000,3750,83,11
402849842,286524160,50,0,250,572272641,32000,3825,85,11
402849843,286524160,51,0,250,572272641,32000,3900,87,11
402849844,286524160,52,0,250,572272641,32000,3975,88,11
402849845,286524160,53,0,250,572272641,32000,4050,90,11
402849846,286524160,54,0,250,572272641,32000,4125,92,11
402849847,286524160,55,0,250,572272641,32000,4200,94,11
402849848,286524160,56,0,250,572272641,32000,4275,95,11
402849849,286524160,57,0,250,572272641,32000,4350,97,11
402849850,286524160,58,0,250,572272641,32000,4425,99,11
402849851,286524160,59,0,250,572272641,32000,4500,100,11
402849852,286524160,60,0,300,572272641,55000,4575,102,11
402915329,286524416,1,571785471,100,572272641,1000,150,1,11
402915330,286524416,2,571785471,100,572272641,1000,225,3,11
402915331,286524416,3,571785471,100,572272641,1000,300,5,11
402915332,286524416,4,571785471,100,572272641,1000,375,6,11
402915333,286524416,5,571785471,100,572272641,1000,450,8,11
402915334,286524416,6,571785471,100,572272641,1000,525,10,11
402915335,286524416,7,571785471,100,572272641,1000,600,11,11
402915336,286524416,8,571785471,100,572272641,1000,675,13,11
402915337,286524416,9,571785471,100,572272641,1000,750,15,11
402915338,286524416,10,571785471,100,572272641,1000,825,17,11
402915339,286524416,11,571785471,100,572272641,1000,900,18,11
402915340,286524416,12,571785471,100,572272641,1000,975,20,11
402915341,286524416,13,571785471,100,572272641,1000,1050,22,11
402915342,286524416,14,571785471,100,572272641,1000,1125,23,11
402915343,286524416,15,571785471,150,572272641,5000,1200,25,11
402915344,286524416,16,572838143,150,572272641,5000,1275,27,11
402915345,286524416,17,572838143,150,572272641,5000,1350,29,11
402915346,286524416,18,572838143,150,572272641,5000,1425,30,11
402915347,286524416,19,572838143,150,572272641,5000,1500,32,11
402915348,286524416,20,572838143,150,572272641,5000,1575,34,11
402915349,286524416,21,572838143,150,572272641,5000,1650,35,11
402915350,286524416,22,572838143,150,572272641,5000,1725,37,11
402915351,286524416,23,572838143,150,572272641,5000,1800,39,11
402915352,286524416,24,572838143,150,572272641,5000,1875,41,11
402915353,286524416,25,572838143,150,572272641,5000,1950,42,11
402915354,286524416,26,572838143,150,572272641,5000,2025,44,11
402915355,286524416,27,572838143,150,572272641,5000,2100,46,11
402915356,286524416,28,572838143,150,572272641,5000,2175,47,11
402915357,286524416,29,572838143,150,572272641,5000,2250,49,11
402915358,286524416,30,572838143,200,572272641,15000,2325,51,11
402915359,286524416,31,573890815,200,572272641,15000,2400,53,11
402915360,286524416,32,573890815,200,572272641,15000,2475,54,11
402915361,286524416,33,573890815,200,572272641,15000,2550,56,11
402915362,286524416,34,573890815,200,572272641,15000,2625,58,11
402915363,286524416,35,573890815,200,572272641,15000,2700,59,11
402915364,286524416,36,573890815,200,572272641,15000,2775,61,11
402915365,286524416,37,573890815,200,572272641,15000,2850,63,11
402915366,286524416,38,573890815,200,572272641,15000,2925,64,11
402915367,286524416,39,573890815,200,572272641,15000,3000,66,11
402915368,286524416,40,573890815,200,572272641,15000,3075,68,11
402915369,286524416,41,573890815,200,572272641,15000,3150,70,11
402915370,286524416,42,573890815,200,572272641,15000,3225,71,11
402915371,286524416,43,573890815,200,572272641,15000,3300,73,11
402915372,286524416,44,573890815,200,572272641,15000,3375,75,11
402915373,286524416,45,573890815,250,572272641,32000,3450,76,11
402915374,286524416,46,0,250,572272641,32000,3525,78,11
402915375,286524416,47,0,250,572272641,32000,3600,80,11
402915376,286524416,48,0,250,572272641,32000,3675,82,11
402915377,286524416,49,0,250,572272641,32000,3750,83,11
402915378,286524416,50,0,250,572272641,32000,3825,85,11
402915379,286524416,51,0,250,572272641,32000,3900,87,11
402915380,286524416,52,0,250,572272641,32000,3975,88,11
402915381,286524416,53,0,250,572272641,32000,4050,90,11
402915382,286524416,54,0,250,572272641,32000,4125,92,11
402915383,286524416,55,0,250,572272641,32000,4200,94,11
402915384,286524416,56,0,250,572272641,32000,4275,95,11
402915385,286524416,57,0,250,572272641,32000,4350,97,11
402915386,286524416,58,0,250,572272641,32000,4425,99,11
402915387,286524416,59,0,250,572272641,32000,4500,100,11
402915388,286524416,60,0,300,572272641,55000,4575,102,11
